開始日時：2018/05/07 08:23:29
棋戦：R対局(早指2)
手合割：平手
先手：FirstMemory(2038)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:05/00:00:07)
4 ３三角(22)   ( 0:03/00:00:24)
5 ４八銀(39)   ( 0:02/00:00:09)
6 ２二銀(31)   ( 0:22/00:00:46)
7 ３六歩(37)   ( 0:04/00:00:13)
8 ８四歩(83)   ( 0:22/00:01:08)
9 ７六歩(77)   ( 0:07/00:00:20)
10 ８五歩(84)   ( 0:22/00:01:30)
11 ７八金(69)   ( 0:02/00:00:22)
12 ８六歩(85)   ( 0:22/00:01:52)
13 ８六歩(87)   ( 0:03/00:00:25)
14 ８六飛(82)   ( 0:02/00:01:54)
15 ３七銀(48)   ( 0:22/00:00:47)
16 ３二金(41)   ( 0:03/00:01:57)
17 ４六銀(37)   ( 0:09/00:00:56)
18 ７二銀(71)   ( 0:02/00:01:59)
19 ６八玉(59)   ( 0:28/00:01:24)
20 ８五飛(86)   ( 0:22/00:02:21)
21 ３三角成(88)   ( 0:18/00:01:42)
22 ３三桂(21)   ( 0:21/00:02:42)
23 ８八銀(79)   ( 0:24/00:02:06)
24 ２五飛(85)   ( 0:03/00:02:45)
25 ２五飛(28)   ( 0:38/00:02:44)
26 ２五桂(33)   ( 0:03/00:02:48)
27 ２八飛打     ( 0:08/00:02:52)
28 ２四歩(23)   ( 0:22/00:03:10)
29 ８二歩打     ( 0:03/00:02:55)
30 ３三銀(22)   ( 0:02/00:03:12)
31 ８一歩成(82)   ( 0:14/00:03:09)
32 ８一銀(72)   ( 0:21/00:03:33)
33 ８三角打     ( 0:07/00:03:16)
34 ７二銀(81)   ( 0:22/00:03:55)
35 ５六角成(83)   ( 0:08/00:03:24)
36 ７四角打     ( 0:21/00:04:16)
37 ７四馬(56)   ( 0:28/00:03:52)
38 ７四歩(73)   ( 0:03/00:04:19)
39 ８二角打     ( 0:29/00:04:21)
40 ６四角打     ( 0:02/00:04:21)
41 ６四角成(82)   ( 0:08/00:04:29)
42 ６四歩(63)   ( 0:03/00:04:24)
43 ７七銀(88)   ( 0:37/00:05:06)
44 ６二金(61)   ( 0:21/00:04:45)
45 ３五歩(36)   ( 0:22/00:05:28)
46 ３五歩(34)   ( 0:22/00:05:07)
47 ３五銀(46)   ( 0:04/00:05:32)
48 ８五飛打     ( 0:22/00:05:29)
49 ３四歩打     ( 0:25/00:05:57)
50 ５五角打     ( 0:02/00:05:31)
51 ３三歩成(34)   ( 0:30/00:06:27)
52 ８九飛成(85)   ( 0:22/00:05:53)
53 ３二と(33)   ( 0:26/00:06:53)
54 ４九龍(89)   ( 0:23/00:06:16)
55 ６六銀(77)   ( 0:27/00:07:20)
56 ２八角成(55)   ( 0:22/00:06:38)
57 ３三角打     ( 0:10/00:07:30)
58 ５二玉(51)   ( 0:03/00:06:41)
59 ５五桂打     ( 0:18/00:07:48)
60 ５八飛打     ( 0:22/00:07:03)
61 ７七玉(68)   ( 0:05/00:07:53)
62 ７八飛成(58)   ( 0:04/00:07:07)
63 ７八玉(77)   ( 0:09/00:08:02)
64 ８七金打     ( 0:02/00:07:09)
65 投了
