開始日時：2018/05/07 08:46:02
棋戦：R対局(早指2)
手合割：平手
先手：SKY  BLUE(1738)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:04/00:00:04)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:02/00:00:06)
4 ６二銀(71)   ( 0:21/00:00:42)
5 ６八飛(28)   ( 0:04/00:00:10)
6 １四歩(13)   ( 0:22/00:01:04)
7 １六歩(17)   ( 0:02/00:00:12)
8 ４二玉(51)   ( 0:03/00:01:07)
9 ４八玉(59)   ( 0:02/00:00:14)
10 ３二銀(31)   ( 0:22/00:01:29)
11 ３八玉(48)   ( 0:03/00:00:17)
12 ４四歩(43)   ( 0:22/00:01:51)
13 ２八玉(38)   ( 0:01/00:00:18)
14 ５二金(61)   ( 0:22/00:02:13)
15 １八香(19)   ( 0:09/00:00:27)
16 ３四歩(33)   ( 0:22/00:02:35)
17 １九玉(28)   ( 0:05/00:00:32)
18 ５四歩(53)   ( 0:22/00:02:57)
19 ２八銀(39)   ( 0:01/00:00:33)
20 ５三銀(62)   ( 0:22/00:03:19)
21 ３九金(49)   ( 0:05/00:00:38)
22 ４五歩(44)   ( 0:21/00:03:40)
23 ７五歩(76)   ( 0:05/00:00:43)
24 ８五歩(84)   ( 0:22/00:04:02)
25 ６五歩(66)   ( 0:02/00:00:45)
26 ８八角成(22)   ( 0:23/00:04:25)
27 ８八銀(79)   ( 0:02/00:00:47)
28 ４三銀(32)   ( 0:02/00:04:27)
29 ７七桂(89)   ( 0:03/00:00:50)
30 ４四角打     ( 0:22/00:04:49)
31 ６六角打     ( 0:06/00:00:56)
32 ５五歩(54)   ( 0:22/00:05:11)
33 ７八金(69)   ( 0:04/00:01:00)
34 ３二玉(42)   ( 0:23/00:05:34)
35 ６七金(78)   ( 0:02/00:01:02)
36 ８六歩(85)   ( 0:03/00:05:37)
37 ８六歩(87)   ( 0:03/00:01:05)
38 ８六飛(82)   ( 0:03/00:05:40)
39 ８七歩打     ( 0:01/00:01:06)
40 ８四飛(86)   ( 0:22/00:06:02)
41 ７六金(67)   ( 0:03/00:01:09)
42 ５四飛(84)   ( 0:21/00:06:23)
43 ５八飛(68)   ( 0:05/00:01:14)
44 ３三桂(21)   ( 0:02/00:06:25)
45 ７九銀(88)   ( 0:03/00:01:17)
46 １五歩(14)   ( 0:02/00:06:27)
47 １五歩(16)   ( 0:03/00:01:20)
48 ７四歩(73)   ( 0:02/00:06:29)
49 ６八銀(79)   ( 0:05/00:01:25)
50 ２五桂(33)   ( 0:03/00:06:32)
51 ７四歩(75)   ( 0:04/00:01:29)
52 ７四飛(54)   ( 0:22/00:06:54)
53 ７五歩打     ( 0:04/00:01:33)
54 ８四飛(74)   ( 0:22/00:07:16)
55 ８六歩(87)   ( 0:03/00:01:36)
56 １七歩打     ( 0:21/00:07:37)
57 １七香(18)   ( 0:04/00:01:40)
58 １七桂成(25)   ( 0:22/00:07:59)
59 １七銀(28)   ( 0:02/00:01:42)
60 １七角成(44)   ( 0:03/00:08:02)
61 １七桂(29)   ( 0:03/00:01:45)
62 １六歩打     ( 0:02/00:08:04)
63 ２八玉(19)   ( 0:04/00:01:49)
64 １七歩成(16)   ( 0:22/00:08:26)
65 １七玉(28)   ( 0:02/00:01:51)
66 ４四銀(53)   ( 0:03/00:08:29)
67 ８五歩(86)   ( 0:05/00:01:56)
68 ９四飛(84)   ( 0:02/00:08:31)
69 ８六桂打     ( 0:06/00:02:02)
70 ３五桂打     ( 0:22/00:08:53)
71 ４八金(39)   ( 0:13/00:02:15)
72 ２四香打     ( 0:03/00:08:56)
73 ２八玉(17)   ( 0:08/00:02:23)
74 ２七香成(24)   ( 0:23/00:09:19)
75 ３九玉(28)   ( 0:03/00:02:26)
76 ４六歩(45)   ( 0:02/00:09:21)
77 ４六歩(47)   ( 0:06/00:02:32)
78 ４七歩打     ( 0:22/00:09:43)
79 ４九金(48)   ( 0:03/00:02:35)
80 ３七成香(27)   ( 0:22/00:10:05)
81 ４五歩(46)   ( 0:11/00:02:46)
82 ２七桂成(35)   ( 0:10/00:10:15)
83 ２九歩打     ( 0:11/00:02:57)
84 ４八銀打     ( 0:02/00:10:17)
85 ４八金(49)   ( 0:02/00:02:59)
86 ４八歩成(47)   ( 0:03/00:10:20)
87 ４八飛(58)   ( 0:02/00:03:01)
88 ３八金打     ( 0:01/00:10:21)
89 投了
