開始日時：2018/05/07 09:01:23
棋戦：R対局(早指2)
手合割：平手
先手：taitaibou523(2212)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:04/00:00:04)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:01/00:00:05)
4 ８五歩(84)   ( 0:02/00:00:23)
5 ７八金(69)   ( 0:01/00:00:06)
6 ３二金(41)   ( 0:22/00:00:45)
7 ６八銀(79)   ( 0:01/00:00:07)
8 ３四歩(33)   ( 0:22/00:01:07)
9 ５六歩(57)   ( 0:03/00:00:10)
10 ８六歩(85)   ( 0:22/00:01:29)
11 ８六歩(87)   ( 0:02/00:00:12)
12 ８六飛(82)   ( 0:03/00:01:32)
13 ５七銀(68)   ( 0:01/00:00:13)
14 ８七歩打     ( 0:23/00:01:55)
15 ７九角(88)   ( 0:01/00:00:14)
16 １四歩(13)   ( 0:02/00:01:57)
17 ９六歩(97)   ( 0:02/00:00:16)
18 ８二飛(86)   ( 0:22/00:02:19)
19 ９七角(79)   ( 0:03/00:00:19)
20 １三角(22)   ( 0:03/00:02:22)
21 ４六歩(47)   ( 0:09/00:00:28)
22 ３三桂(21)   ( 0:21/00:02:43)
23 ５八飛(28)   ( 0:26/00:00:54)
24 ４二銀(31)   ( 0:22/00:03:05)
25 ８六歩打     ( 0:09/00:01:03)
26 ８八歩成(87)   ( 0:23/00:03:28)
27 ８八金(78)   ( 0:03/00:01:06)
28 ４四歩(43)   ( 0:02/00:03:30)
29 ４八金(49)   ( 0:28/00:01:34)
30 ４五歩(44)   ( 0:21/00:03:51)
31 ４七金(48)   ( 0:29/00:02:03)
32 ４六歩(45)   ( 0:21/00:04:12)
33 ４六銀(57)   ( 0:02/00:02:05)
34 ８四飛(82)   ( 0:02/00:04:14)
35 ８七金(88)   ( 0:17/00:02:22)
36 ６四飛(84)   ( 0:22/00:04:36)
37 ６八玉(59)   ( 0:29/00:02:51)
38 ４四飛(64)   ( 0:22/00:04:58)
39 ４八飛(58)   ( 0:20/00:03:11)
40 ４六飛(44)   ( 0:02/00:05:00)
41 ４六金(47)   ( 0:01/00:03:12)
42 ４五桂(33)   ( 0:03/00:05:03)
43 ２一飛打     ( 0:27/00:03:39)
44 ６二玉(51)   ( 0:02/00:05:05)
45 １一飛成(21)   ( 0:03/00:03:42)
46 ５七銀打     ( 0:21/00:05:26)
47 ７八玉(68)   ( 0:01/00:03:43)
48 ４八銀(57)   ( 0:03/00:05:29)
49 １三龍(11)   ( 0:13/00:03:56)
50 ５八飛打     ( 0:03/00:05:32)
51 ６八香打     ( 0:08/00:04:04)
52 ５七桂成(45)   ( 0:03/00:05:35)
53 ７九角(97)   ( 0:03/00:04:07)
54 ５九銀(48)   ( 0:22/00:05:57)
55 ８八金(87)   ( 0:10/00:04:17)
56 ６八成桂(57)   ( 0:22/00:06:19)
57 ６八角(79)   ( 0:01/00:04:18)
58 ６八銀(59)   ( 0:03/00:06:22)
59 投了
