開始日時：2018/05/07 09:39:49
棋戦：R対局(15分)
手合割：平手
先手：mutekidazou(2019)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:04/00:00:04)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:11/00:00:15)
4 ６二銀(71)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:05/00:00:20)
6 ３二金(41)   ( 0:03/00:00:27)
7 ７八金(69)   ( 0:18/00:00:38)
8 ７二飛(82)   ( 0:03/00:00:30)
9 ２四歩(25)   ( 0:25/00:01:03)
10 ２四歩(23)   ( 0:22/00:00:52)
11 ２四飛(28)   ( 0:03/00:01:06)
12 ２三歩打     ( 0:03/00:00:55)
13 ２五飛(24)   ( 0:11/00:01:17)
14 ７四歩(73)   ( 0:03/00:00:58)
15 ３八銀(39)   ( 0:02/00:01:19)
16 １四歩(13)   ( 0:22/00:01:20)
17 １六歩(17)   ( 0:05/00:01:24)
18 ７三銀(62)   ( 0:22/00:01:42)
19 ６八玉(59)   ( 0:57/00:02:21)
20 ３四歩(33)   ( 0:03/00:01:45)
21 ４六歩(47)   ( 0:30/00:02:51)
22 ３三金(32)   ( 0:21/00:02:06)
23 ４七銀(38)   ( 0:14/00:03:05)
24 ６四銀(73)   ( 0:22/00:02:28)
25 ３六歩(37)   ( 0:45/00:03:50)
26 ２四歩(23)   ( 0:03/00:02:31)
27 ２八飛(25)   ( 0:19/00:04:09)
28 ７五歩(74)   ( 0:03/00:02:34)
29 ７五歩(76)   ( 0:10/00:04:19)
30 ７五銀(64)   ( 0:02/00:02:36)
31 ３七桂(29)   ( 0:12/00:04:31)
32 ６四銀(75)   ( 0:03/00:02:39)
33 ５八金(49)   ( 1:08/00:05:39)
34 ５四歩(53)   ( 0:21/00:03:00)
35 ９六歩(97)   ( 1:19/00:06:58)
36 ５二金(61)   ( 0:22/00:03:22)
37 ６六歩(67)   ( 2:17/00:09:15)
38 ２三金(33)   ( 0:22/00:03:44)
39 ６七金(58)   ( 0:26/00:09:41)
40 ３二玉(42)   ( 0:22/00:04:06)
41 ５六歩(57)   ( 0:38/00:10:19)
42 ７五銀(64)   ( 0:22/00:04:28)
43 ４五歩(46)   ( 0:27/00:10:46)
44 ６四歩(63)   ( 0:22/00:04:50)
45 ４六銀(47)   ( 0:29/00:11:15)
46 ６五歩(64)   ( 0:22/00:05:12)
47 ４四歩(45)   ( 1:21/00:12:36)
48 ６六歩(65)   ( 0:22/00:05:34)
49 ６六金(67)   ( 0:18/00:12:54)
50 ４四角(22)   ( 0:22/00:05:56)
51 ６五金(66)   ( 1:43/00:14:37)
52 ８八角成(44)   ( 0:23/00:06:19)
53 ８八銀(79)   ( 0:03/00:14:40)
54 ７六銀(75)   ( 0:02/00:06:21)
55 ７三歩打     ( 1:20/00:16:00)
56 ６二飛(72)   ( 0:02/00:06:23)
57 ６三歩打     ( 0:40/00:16:40)
58 ６三飛(62)   ( 0:03/00:06:26)
59 ６四歩打     ( 0:54/00:17:34)
60 ７三飛(63)   ( 0:02/00:06:28)
61 ５四金(65)   ( 0:55/00:18:29)
62 ６七歩打     ( 0:04/00:06:32)
63 ５九玉(68)   ( 0:36/00:19:05)
64 ３九角打     ( 0:03/00:06:35)
65 ２九飛(28)   ( 0:53/00:19:58)
66 ６六角成(39)   ( 0:23/00:06:58)
67 ４七角打     ( 0:55/00:20:53)
68 ６五銀(76)   ( 0:22/00:07:20)
69 投了
