開始日時：2018/05/07 10:30:22
棋戦：R対局(早指2)
手合割：平手
先手：mutekidazou(2019)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ５六歩(57)   ( 0:15/00:00:18)
4 ３二玉(42)   ( 0:22/00:00:43)
5 ５五歩(56)   ( 0:03/00:00:21)
6 ５二飛(82)   ( 0:22/00:01:05)
7 ５八飛(28)   ( 0:06/00:00:27)
8 ７四歩(73)   ( 0:02/00:01:07)
9 ６八銀(79)   ( 0:05/00:00:32)
10 ７二飛(52)   ( 0:22/00:01:29)
11 ５七銀(68)   ( 0:22/00:00:54)
12 ７五歩(74)   ( 0:22/00:01:51)
13 ７五歩(76)   ( 0:03/00:00:57)
14 ７五飛(72)   ( 0:03/00:01:54)
15 ６六銀(57)   ( 0:27/00:01:24)
16 ７四飛(75)   ( 0:02/00:01:56)
17 ４八玉(59)   ( 0:23/00:01:47)
18 ７二銀(71)   ( 0:22/00:02:18)
19 ３八銀(39)   ( 0:08/00:01:55)
20 １四歩(13)   ( 0:22/00:02:40)
21 １六歩(17)   ( 0:09/00:02:04)
22 ７三銀(72)   ( 0:02/00:02:42)
23 ３九玉(48)   ( 0:08/00:02:12)
24 ８四飛(74)   ( 0:22/00:03:04)
25 ７八金(69)   ( 0:06/00:02:18)
26 ６四銀(73)   ( 0:03/00:03:07)
27 ２八玉(39)   ( 0:59/00:03:17)
28 ７四飛(84)   ( 0:22/00:03:29)
29 ９六歩(97)   ( 0:29/00:03:46)
30 ５二金(61)   ( 0:21/00:03:50)
31 ４六歩(47)   ( 0:25/00:04:11)
32 ３四歩(33)   ( 0:22/00:04:12)
33 ７七角(88)   ( 0:26/00:04:37)
34 ９四歩(93)   ( 0:21/00:04:33)
35 ３六歩(37)   ( 0:25/00:05:02)
36 ３三角(22)   ( 0:21/00:04:54)
37 ４七銀(38)   ( 0:25/00:05:27)
38 ４二金(41)   ( 0:22/00:05:16)
39 ３八金(49)   ( 0:11/00:05:38)
40 ７三桂(81)   ( 0:22/00:05:38)
41 ３七桂(29)   ( 0:27/00:06:05)
42 ２四角(33)   ( 0:21/00:05:59)
43 ２六歩(27)   ( 0:27/00:06:32)
44 ３三角(24)   ( 0:22/00:06:21)
45 ８八角(77)   ( 0:58/00:07:30)
46 ２四歩(23)   ( 0:02/00:06:23)
47 ７七角(88)   ( 0:26/00:07:56)
48 ２二銀(31)   ( 0:22/00:06:45)
49 ９八香(99)   ( 0:26/00:08:22)
50 ２三銀(22)   ( 0:22/00:07:07)
51 ８八角(77)   ( 0:29/00:08:51)
52 ５一金(52)   ( 0:02/00:07:09)
53 ７七角(88)   ( 0:28/00:09:19)
54 ４一金(51)   ( 0:22/00:07:31)
55 ８八角(77)   ( 0:24/00:09:43)
56 ３一金(41)   ( 0:03/00:07:34)
57 ７二歩打     ( 0:26/00:10:09)
58 ６五銀(64)   ( 0:22/00:07:56)
59 ５七銀(66)   ( 0:28/00:10:37)
60 ７六銀(65)   ( 0:02/00:07:58)
61 ７一歩成(72)   ( 0:28/00:11:05)
62 ８五桂(73)   ( 0:02/00:08:00)
63 ６六銀(57)   ( 0:24/00:11:29)
64 ６四歩(63)   ( 0:22/00:08:22)
65 ４五桂(37)   ( 0:28/00:11:57)
66 ４四角(33)   ( 0:21/00:08:43)
67 ５四歩(55)   ( 0:28/00:12:25)
68 ５四歩(53)   ( 0:02/00:08:45)
69 ５四飛(58)   ( 0:24/00:12:49)
70 ６七銀成(76)   ( 0:03/00:08:48)
71 ６七金(78)   ( 0:27/00:13:16)
72 ７八飛成(74)   ( 0:03/00:08:51)
73 ５三銀打     ( 0:28/00:13:44)
74 ５三金(42)   ( 0:23/00:09:14)
75 ５三桂成(45)   ( 0:23/00:14:07)
76 ８八龍(78)   ( 0:02/00:09:16)
77 ４三成桂(53)   ( 0:25/00:14:32)
78 ４三玉(32)   ( 0:22/00:09:38)
79 ４四飛(54)   ( 0:24/00:14:56)
80 ４四玉(43)   ( 0:23/00:10:01)
81 ５五銀(66)   ( 0:25/00:15:21)
82 ３三玉(44)   ( 0:02/00:10:03)
83 ４四角打     ( 0:24/00:15:45)
84 ３二玉(33)   ( 0:21/00:10:24)
85 １一角成(44)   ( 0:31/00:16:16)
86 ８九龍(88)   ( 0:22/00:10:46)
87 ４五香打     ( 0:29/00:16:45)
88 ２九飛打     ( 0:02/00:10:48)
89 ３七玉(28)   ( 0:16/00:17:01)
90 ２五桂打     ( 0:02/00:10:50)
91 投了
