開始日時：2018/05/07 11:04:54
棋戦：R対局(早指2)
手合割：平手
先手：intense effort(2197)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:09/00:00:09)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:18/00:00:27)
4 ８四歩(83)   ( 0:03/00:00:24)
5 ２二角成(88)   ( 0:04/00:00:31)
6 ２二銀(31)   ( 0:22/00:00:46)
7 ６八銀(79)   ( 0:01/00:00:32)
8 ７四歩(73)   ( 0:22/00:01:08)
9 ７八金(69)   ( 0:05/00:00:37)
10 ７二銀(71)   ( 0:22/00:01:30)
11 ４八銀(39)   ( 0:10/00:00:47)
12 ７三銀(72)   ( 0:22/00:01:52)
13 ４六歩(47)   ( 0:21/00:01:08)
14 ６四銀(73)   ( 0:22/00:02:14)
15 ４七銀(48)   ( 0:02/00:01:10)
16 ８五歩(84)   ( 0:22/00:02:36)
17 ７七銀(68)   ( 0:01/00:01:11)
18 ４二玉(51)   ( 0:22/00:02:58)
19 ６六歩(67)   ( 0:26/00:01:37)
20 ３二玉(42)   ( 0:24/00:03:22)
21 ５六銀(47)   ( 0:02/00:01:39)
22 ７五歩(74)   ( 0:02/00:03:24)
23 ６五歩(66)   ( 0:21/00:02:00)
24 ７六歩(75)   ( 0:02/00:03:26)
25 ７六銀(77)   ( 0:21/00:02:21)
26 ７三銀(64)   ( 0:03/00:03:29)
27 ７七角打     ( 0:21/00:02:42)
28 ５四歩(53)   ( 0:02/00:03:31)
29 ２五歩(26)   ( 0:21/00:03:03)
30 ５二金(61)   ( 0:02/00:03:33)
31 ２四歩(25)   ( 0:21/00:03:24)
32 ２四歩(23)   ( 0:22/00:03:55)
33 ２四飛(28)   ( 0:02/00:03:26)
34 ２三歩打     ( 0:03/00:03:58)
35 ２八飛(24)   ( 0:06/00:03:32)
36 ４二金(41)   ( 0:02/00:04:00)
37 ５八金(49)   ( 0:21/00:03:53)
38 ５三金(52)   ( 0:02/00:04:02)
39 ３六歩(37)   ( 0:21/00:04:14)
40 ６四歩(63)   ( 0:22/00:04:24)
41 ６八玉(59)   ( 1:07/00:05:21)
42 ７四銀(73)   ( 0:03/00:04:27)
43 ６四歩(65)   ( 0:23/00:05:44)
44 ６四金(53)   ( 0:22/00:04:49)
45 ３五歩(36)   ( 0:39/00:06:23)
46 ７五銀(74)   ( 0:22/00:05:11)
47 ７五銀(76)   ( 0:21/00:06:44)
48 ７五金(64)   ( 0:22/00:05:33)
49 ２四歩打     ( 0:13/00:06:57)
50 ２四歩(23)   ( 0:03/00:05:36)
51 ２三歩打     ( 0:16/00:07:13)
52 ２三銀(22)   ( 0:02/00:05:38)
53 １一角成(77)   ( 0:21/00:07:34)
54 ２二銀打     ( 0:22/00:06:00)
55 ２二馬(11)   ( 0:12/00:07:46)
56 ２二玉(32)   ( 0:02/00:06:02)
57 ４五銀(56)   ( 0:21/00:08:07)
58 ８六歩(85)   ( 0:22/00:06:24)
59 ８六歩(87)   ( 0:09/00:08:16)
60 ７七歩打     ( 0:03/00:06:27)
61 ７七金(78)   ( 0:23/00:08:39)
62 ８六金(75)   ( 0:22/00:06:49)
63 ３四銀(45)   ( 0:23/00:09:02)
64 ３四銀(23)   ( 0:22/00:07:11)
65 ３四歩(35)   ( 0:02/00:09:04)
66 ７七金(86)   ( 0:21/00:07:32)
67 ７七桂(89)   ( 0:17/00:09:21)
68 ８八飛成(82)   ( 0:03/00:07:35)
69 ７八歩打     ( 0:17/00:09:38)
70 ９九龍(88)   ( 0:03/00:07:38)
71 ２三銀打     ( 0:21/00:09:59)
72 ２三玉(22)   ( 0:22/00:08:00)
73 ２四飛(28)   ( 0:21/00:10:20)
74 ２四玉(23)   ( 0:23/00:08:23)
75 ２五歩打     ( 0:14/00:10:34)
76 ３五玉(24)   ( 0:02/00:08:25)
77 投了
