開始日時：2018/05/07 11:29:13
棋戦：R対局(早指2)
手合割：平手
先手：oku+++(1942)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:07/00:00:07)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ７八飛(28)   ( 0:07/00:00:14)
4 ６四歩(63)   ( 0:22/00:00:43)
5 ６六歩(67)   ( 0:04/00:00:18)
6 ３四歩(33)   ( 0:21/00:01:04)
7 ６八銀(79)   ( 0:16/00:00:34)
8 １四歩(13)   ( 0:02/00:01:06)
9 １六歩(17)   ( 0:16/00:00:50)
10 ６二銀(71)   ( 0:03/00:01:09)
11 ５八金(69)   ( 0:03/00:00:53)
12 ７四歩(73)   ( 0:22/00:01:31)
13 ４八玉(59)   ( 0:04/00:00:57)
14 ８四歩(83)   ( 0:03/00:01:34)
15 ３八玉(48)   ( 0:10/00:01:07)
16 ３二玉(42)   ( 0:22/00:01:56)
17 ２八玉(38)   ( 0:05/00:01:12)
18 ８五歩(84)   ( 0:22/00:02:18)
19 ７七角(88)   ( 0:04/00:01:16)
20 ５二金(61)   ( 0:03/00:02:21)
21 ５六歩(57)   ( 0:04/00:01:20)
22 ７三桂(81)   ( 0:21/00:02:42)
23 ８八飛(78)   ( 1:16/00:02:36)
24 ６三銀(62)   ( 0:02/00:02:44)
25 ３八銀(39)   ( 0:12/00:02:48)
26 ５四銀(63)   ( 0:22/00:03:06)
27 ５七銀(68)   ( 0:17/00:03:05)
28 ４二金(41)   ( 0:04/00:03:10)
29 ４六歩(47)   ( 0:04/00:03:09)
30 ６五歩(64)   ( 0:21/00:03:31)
31 ６八飛(88)   ( 0:04/00:03:13)
32 ８六歩(85)   ( 0:22/00:03:53)
33 ８六歩(87)   ( 0:02/00:03:15)
34 ７五歩(74)   ( 0:22/00:04:15)
35 ７五歩(76)   ( 0:04/00:03:19)
36 ６六歩(65)   ( 0:22/00:04:37)
37 ６六角(77)   ( 0:06/00:03:25)
38 ６六角(22)   ( 0:02/00:04:39)
39 ６六銀(57)   ( 0:09/00:03:34)
40 ８六飛(82)   ( 0:03/00:04:42)
41 ８八歩打     ( 0:12/00:03:46)
42 ７九角打     ( 0:02/00:04:44)
43 ７七角打     ( 0:11/00:03:57)
44 ６八角成(79)   ( 0:22/00:05:06)
45 ６八金(58)   ( 0:03/00:04:00)
46 ８一飛(86)   ( 0:03/00:05:09)
47 ５五歩(56)   ( 0:22/00:04:22)
48 ６五銀(54)   ( 0:22/00:05:31)
49 ７四歩(75)   ( 0:27/00:04:49)
50 ７六歩打     ( 0:22/00:05:53)
51 ９五角(77)   ( 0:10/00:04:59)
52 ６六銀(65)   ( 0:03/00:05:56)
53 ７三歩成(74)   ( 0:18/00:05:17)
54 ９四歩(93)   ( 0:03/00:05:59)
55 ６二と(73)   ( 0:05/00:05:22)
56 ９五歩(94)   ( 0:03/00:06:02)
57 ５二と(62)   ( 0:02/00:05:24)
58 ５二金(42)   ( 0:03/00:06:05)
59 投了
