開始日時：2018/05/07 11:44:26
棋戦：R対局(早指2)
手合割：平手
先手：ss16629(1368)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:06/00:00:06)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ５六歩(57)   ( 0:14/00:00:20)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ５五歩(56)   ( 0:03/00:00:23)
6 ６二銀(71)   ( 0:21/00:01:04)
7 ４八銀(39)   ( 0:11/00:00:34)
8 ７四歩(73)   ( 0:22/00:01:26)
9 ５七銀(48)   ( 0:05/00:00:39)
10 ７三銀(62)   ( 0:03/00:01:29)
11 ５六銀(57)   ( 0:02/00:00:41)
12 ８四歩(83)   ( 0:21/00:01:50)
13 ６八銀(79)   ( 0:09/00:00:50)
14 ６四銀(73)   ( 0:22/00:02:12)
15 ５八飛(28)   ( 0:14/00:01:04)
16 ７五歩(74)   ( 0:22/00:02:34)
17 ７五歩(76)   ( 0:13/00:01:17)
18 ７五銀(64)   ( 0:02/00:02:36)
19 ７八金(69)   ( 0:12/00:01:29)
20 ５二金(61)   ( 0:02/00:02:38)
21 ４五銀(56)   ( 0:08/00:01:37)
22 ６四銀(75)   ( 0:02/00:02:40)
23 ３四銀(45)   ( 0:23/00:02:00)
24 ３二銀(31)   ( 0:22/00:03:02)
25 ４五銀(34)   ( 0:17/00:02:17)
26 ４四歩(43)   ( 0:22/00:03:24)
27 ５六銀(45)   ( 0:07/00:02:24)
28 ８五歩(84)   ( 0:02/00:03:26)
29 ７七銀(68)   ( 0:05/00:02:29)
30 ７五銀(64)   ( 0:02/00:03:28)
31 ７六歩打     ( 0:11/00:02:40)
32 ８六歩(85)   ( 0:22/00:03:50)
33 ８六歩(87)   ( 0:05/00:02:45)
34 ８六銀(75)   ( 0:02/00:03:52)
35 ８六銀(77)   ( 0:04/00:02:49)
36 ８六飛(82)   ( 0:03/00:03:55)
37 ８七歩打     ( 0:05/00:02:54)
38 ７六飛(86)   ( 0:03/00:03:58)
39 ６六角(88)   ( 0:10/00:03:04)
40 １四歩(13)   ( 0:21/00:04:19)
41 ７七歩打     ( 0:27/00:03:31)
42 ６六飛(76)   ( 0:21/00:04:40)
43 ６六歩(67)   ( 0:03/00:03:34)
44 １三角(22)   ( 0:03/00:04:43)
45 ４六銀打     ( 0:43/00:04:17)
46 ８八歩打     ( 0:23/00:05:06)
47 ７一飛打     ( 0:30/00:04:47)
48 ８九歩成(88)   ( 0:22/00:05:28)
49 ８一飛成(71)   ( 0:05/00:04:52)
50 ９九と(89)   ( 0:03/00:05:31)
51 ３六桂打     ( 0:29/00:05:21)
52 ４三銀(32)   ( 0:22/00:05:53)
53 ６五銀(56)   ( 0:23/00:05:44)
54 ８九角打     ( 0:22/00:06:15)
55 ４八玉(59)   ( 0:48/00:06:32)
56 ６九銀打     ( 0:21/00:06:36)
57 ６八金(78)   ( 0:17/00:06:49)
58 ５八銀成(69)   ( 0:03/00:06:39)
59 ５八金(68)   ( 0:04/00:06:53)
60 ５六香打     ( 0:02/00:06:41)
61 ３五銀打     ( 0:10/00:07:03)
62 ５八香成(56)   ( 0:22/00:07:03)
63 ５八金(49)   ( 0:02/00:07:05)
64 ２八飛打     ( 0:02/00:07:05)
65 ３八香打     ( 0:16/00:07:21)
66 ２九飛成(28)   ( 0:03/00:07:08)
67 ４四銀(35)   ( 0:22/00:07:43)
68 ４四銀(43)   ( 0:22/00:07:30)
69 ４四桂(36)   ( 0:05/00:07:48)
70 ５七銀打     ( 0:02/00:07:32)
71 投了
