開始日時：2018/05/07 12:24:07
棋戦：R対局(早指2)
手合割：平手
先手：momozukin2(2037)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:15/00:00:16)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ５八金(49)   ( 0:12/00:00:28)
6 ３二金(41)   ( 0:22/00:01:04)
7 ６八金(58)   ( 0:10/00:00:38)
8 ７二銀(71)   ( 0:21/00:01:25)
9 ２五歩(26)   ( 0:29/00:01:07)
10 ８四歩(83)   ( 0:21/00:01:46)
11 ７八金(69)   ( 0:27/00:01:34)
12 ７四歩(73)   ( 0:03/00:01:49)
13 ２四歩(25)   ( 0:11/00:01:45)
14 ２四歩(23)   ( 0:22/00:02:11)
15 ２四飛(28)   ( 0:22/00:02:07)
16 ２三歩打     ( 0:02/00:02:13)
17 ２八飛(24)   ( 0:40/00:02:47)
18 ５二金(61)   ( 0:03/00:02:16)
19 ４八銀(39)   ( 0:14/00:03:01)
20 １四歩(13)   ( 0:22/00:02:38)
21 １六歩(17)   ( 0:10/00:03:11)
22 ７三銀(72)   ( 0:22/00:03:00)
23 ５六歩(57)   ( 0:20/00:03:31)
24 ６四銀(73)   ( 0:22/00:03:22)
25 ５七銀(48)   ( 0:16/00:03:47)
26 ７五歩(74)   ( 0:22/00:03:44)
27 ７五歩(76)   ( 0:25/00:04:12)
28 ７五銀(64)   ( 0:03/00:03:47)
29 ６六銀(57)   ( 1:04/00:05:16)
30 ６六銀(75)   ( 0:03/00:03:50)
31 ６六歩(67)   ( 0:00/00:05:16)
32 ８五歩(84)   ( 0:03/00:03:53)
33 ２五銀打     ( 0:28/00:05:44)
34 ７六銀打     ( 0:23/00:04:16)
35 ３四銀(25)   ( 0:26/00:06:10)
36 ８六歩(85)   ( 0:22/00:04:38)
37 ８六歩(87)   ( 0:01/00:06:11)
38 ８七歩打     ( 0:03/00:04:41)
39 ７七角(88)   ( 0:01/00:06:12)
40 ７七銀成(76)   ( 0:03/00:04:44)
41 ７七金(78)   ( 0:03/00:06:15)
42 ３九角打     ( 0:02/00:04:46)
43 ２七飛(28)   ( 0:21/00:06:36)
44 ６六角(22)   ( 0:21/00:05:07)
45 ６六金(77)   ( 0:21/00:06:57)
46 ６六角成(39)   ( 0:03/00:05:10)
47 ５五角打     ( 0:22/00:07:19)
48 ５五馬(66)   ( 0:22/00:05:32)
49 ５五歩(56)   ( 0:17/00:07:36)
50 ５六角打     ( 0:03/00:05:35)
51 ４五角打     ( 0:40/00:08:16)
52 ４七角成(56)   ( 0:03/00:05:38)
53 ５八銀打     ( 0:30/00:08:46)
54 ３八馬(47)   ( 0:22/00:06:00)
55 ２六飛(27)   ( 0:16/00:09:02)
56 ３五金打     ( 0:22/00:06:22)
57 投了
