開始日時：2018/05/07 12:51:59
棋戦：R対局(早指)
手合割：平手
先手：plm234(2547)
後手：Hefeweizen(2800)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:03/00:00:06)
4 ８四歩(83)   ( 0:02/00:00:23)
5 ２五歩(26)   ( 0:01/00:00:07)
6 ８五歩(84)   ( 0:22/00:00:45)
7 ７八金(69)   ( 0:02/00:00:09)
8 ３二金(41)   ( 0:02/00:00:47)
9 ２四歩(25)   ( 0:01/00:00:10)
10 ２四歩(23)   ( 0:03/00:00:50)
11 ２四飛(28)   ( 0:02/00:00:12)
12 ８六歩(85)   ( 0:03/00:00:53)
13 ８六歩(87)   ( 0:01/00:00:13)
14 ８六飛(82)   ( 0:02/00:00:55)
15 ３四飛(24)   ( 0:04/00:00:17)
16 ４二玉(51)   ( 0:03/00:00:58)
17 ３六飛(34)   ( 0:23/00:00:40)
18 ８四飛(86)   ( 0:22/00:01:20)
19 ２六飛(36)   ( 0:15/00:00:55)
20 ８八角成(22)   ( 0:03/00:01:23)
21 ８八銀(79)   ( 0:27/00:01:22)
22 ４四角打     ( 0:03/00:01:26)
23 ２七飛(26)   ( 0:06/00:01:28)
24 反則勝ち
