開始日時：2018/05/07 12:57:19
棋戦：R対局(早指)
手合割：平手
先手：SABER TIGER(2173)
後手：Hefeweizen(2806)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:05/00:00:05)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:03/00:00:08)
4 ３四歩(33)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:02/00:00:10)
6 ８五歩(84)   ( 0:22/00:00:46)
7 ７八金(69)   ( 0:04/00:00:14)
8 ３二金(41)   ( 0:22/00:01:08)
9 ２四歩(25)   ( 0:05/00:00:19)
10 ２四歩(23)   ( 0:22/00:01:30)
11 ２四飛(28)   ( 0:02/00:00:21)
12 ８六歩(85)   ( 0:03/00:01:33)
13 ８六歩(87)   ( 0:01/00:00:22)
14 ８六飛(82)   ( 0:03/00:01:36)
15 ３四飛(24)   ( 0:02/00:00:24)
16 ３三角(22)   ( 0:21/00:01:57)
17 ５八玉(59)   ( 0:11/00:00:35)
18 ５二玉(51)   ( 0:22/00:02:19)
19 ３六歩(37)   ( 0:02/00:00:37)
20 ７六飛(86)   ( 0:02/00:02:21)
21 ７七角(88)   ( 0:03/00:00:40)
22 ７七角成(33)   ( 0:23/00:02:44)
23 ７七桂(89)   ( 0:02/00:00:42)
24 ５五角打     ( 0:03/00:02:47)
25 ２二歩打     ( 0:02/00:00:44)
26 ３三桂(21)   ( 0:03/00:02:50)
27 ２一歩成(22)   ( 0:02/00:00:46)
28 ４二銀(31)   ( 0:03/00:02:53)
29 ２三歩打     ( 0:02/00:00:48)
30 ２三金(32)   ( 0:02/00:02:55)
31 ８四飛(34)   ( 0:02/00:00:50)
32 ８二歩打     ( 0:03/00:02:58)
33 ６六歩(67)   ( 0:02/00:00:52)
34 ４五桂(33)   ( 0:22/00:03:20)
35 ６七角打     ( 0:04/00:00:56)
36 ６六角(55)   ( 0:03/00:03:23)
37 ６八銀(79)   ( 0:08/00:01:04)
38 ８四角(66)   ( 0:23/00:03:46)
39 ７六角(67)   ( 0:03/00:01:07)
40 ８九飛打     ( 0:03/00:03:49)
41 ６七角(76)   ( 0:03/00:01:10)
42 ２八歩打     ( 0:02/00:03:51)
43 ２八銀(39)   ( 0:19/00:01:29)
44 ５七桂成(45)   ( 0:23/00:04:14)
45 ５七銀(68)   ( 0:02/00:01:31)
46 ４九飛成(89)   ( 0:04/00:04:18)
47 ４九玉(58)   ( 0:01/00:01:32)
48 ５七角成(84)   ( 0:03/00:04:21)
49 ６八飛打     ( 0:23/00:01:55)
50 ３三金(23)   ( 0:03/00:04:24)
51 ６四歩打     ( 0:23/00:02:18)
52 ６四歩(63)   ( 0:23/00:04:47)
53 １一と(21)   ( 0:15/00:02:33)
54 ４七馬(57)   ( 0:22/00:05:09)
55 ２一飛打     ( 0:26/00:02:59)
56 ５七銀打     ( 0:22/00:05:31)
57 ４八歩打     ( 0:28/00:03:27)
58 ３八金打     ( 0:02/00:05:33)
59 投了
