開始日時：2018/05/07 13:12:03
棋戦：R対局(早指2)
手合割：平手
先手：zazabi(1830)
後手：Hefeweizen(2806)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:04/00:00:07)
4 ６四歩(63)   ( 0:21/00:00:42)
5 ６八飛(28)   ( 0:01/00:00:08)
6 ６二銀(71)   ( 0:03/00:00:45)
7 ３八銀(39)   ( 0:03/00:00:11)
8 ７二金(61)   ( 0:22/00:01:07)
9 １六歩(17)   ( 0:01/00:00:12)
10 １四歩(13)   ( 0:22/00:01:29)
11 ４八玉(59)   ( 0:03/00:00:15)
12 ７四歩(73)   ( 0:02/00:01:31)
13 ７八銀(79)   ( 0:04/00:00:19)
14 ７三桂(81)   ( 0:22/00:01:53)
15 ６七銀(78)   ( 0:07/00:00:26)
16 ８四歩(83)   ( 0:03/00:01:56)
17 ３九玉(48)   ( 0:02/00:00:28)
18 ３四歩(33)   ( 0:21/00:02:17)
19 ２八玉(39)   ( 0:02/00:00:30)
20 ２四歩(23)   ( 0:21/00:02:38)
21 ５八金(69)   ( 0:04/00:00:34)
22 ３三角(22)   ( 0:22/00:03:00)
23 ５六銀(67)   ( 0:03/00:00:37)
24 ３二銀(31)   ( 0:24/00:03:24)
25 ９六歩(97)   ( 0:15/00:00:52)
26 ８五歩(84)   ( 0:22/00:03:46)
27 ７七角(88)   ( 0:03/00:00:55)
28 ２三銀(32)   ( 0:03/00:03:49)
29 ６五歩(66)   ( 0:13/00:01:08)
30 ６五歩(64)   ( 0:22/00:04:11)
31 ３三角成(77)   ( 0:05/00:01:13)
32 ３三桂(21)   ( 0:22/00:04:33)
33 ７七桂(89)   ( 0:15/00:01:28)
34 ８六歩(85)   ( 0:22/00:04:55)
35 ６五桂(77)   ( 0:03/00:01:31)
36 ６四歩打     ( 0:04/00:04:59)
37 ７三桂成(65)   ( 0:14/00:01:45)
38 ７三金(72)   ( 0:03/00:05:02)
39 ８六歩(87)   ( 0:25/00:02:10)
40 ８六飛(82)   ( 0:22/00:05:24)
41 ６三歩打     ( 0:03/00:02:13)
42 ６三金(73)   ( 0:03/00:05:27)
43 ５五桂打     ( 0:04/00:02:17)
44 ８九飛成(86)   ( 0:03/00:05:30)
45 ６三桂成(55)   ( 0:13/00:02:30)
46 ６三銀(62)   ( 0:23/00:05:53)
47 ７三金打     ( 0:08/00:02:38)
48 ５二銀(63)   ( 0:22/00:06:15)
49 ６四飛(68)   ( 0:05/00:02:43)
50 ４四桂打     ( 0:22/00:06:37)
51 ７二角打     ( 0:53/00:03:36)
52 １五歩(14)   ( 0:22/00:06:59)
53 ４五銀(56)   ( 0:09/00:03:45)
54 １六歩(15)   ( 0:22/00:07:21)
55 １八歩打     ( 0:12/00:03:57)
56 ５五角打     ( 0:22/00:07:43)
57 ６五飛(64)   ( 0:49/00:04:46)
58 ４五桂(33)   ( 0:03/00:07:46)
59 ４五角成(72)   ( 0:06/00:04:52)
60 ３六桂打     ( 0:02/00:07:48)
61 投了
