開始日時：2018/05/07 13:34:21
棋戦：R対局(早指2)
手合割：平手
先手：Masa0612(1114)
後手：Hefeweizen(2806)
手数----指手---------消費時間--
1 ５六歩(57)   ( 0:05/00:00:05)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ５八飛(28)   ( 0:01/00:00:06)
4 ４二玉(51)   ( 0:03/00:00:24)
5 ４八玉(59)   ( 0:03/00:00:09)
6 ３二玉(42)   ( 0:22/00:00:46)
7 ３八玉(48)   ( 0:01/00:00:10)
8 １四歩(13)   ( 0:22/00:01:08)
9 ２八玉(38)   ( 0:01/00:00:11)
10 ５二金(61)   ( 0:22/00:01:30)
11 ５五歩(56)   ( 0:11/00:00:22)
12 １五歩(14)   ( 0:03/00:01:33)
13 ７六歩(77)   ( 0:06/00:00:28)
14 ６二銀(71)   ( 0:02/00:01:35)
15 ７七角(88)   ( 0:07/00:00:35)
16 ７四歩(73)   ( 0:21/00:01:56)
17 ３六歩(37)   ( 0:07/00:00:42)
18 ７五歩(74)   ( 0:22/00:02:18)
19 ７五歩(76)   ( 0:05/00:00:47)
20 ７二飛(82)   ( 0:02/00:02:20)
21 ５四歩(55)   ( 0:06/00:00:53)
22 ７五飛(72)   ( 0:21/00:02:41)
23 ２二角成(77)   ( 0:06/00:00:59)
24 ２二銀(31)   ( 0:21/00:03:02)
25 ６六角打     ( 0:17/00:01:16)
26 ６四角打     ( 0:21/00:03:23)
27 ３七桂(29)   ( 0:08/00:01:24)
28 ６五飛(75)   ( 0:03/00:03:26)
29 ６八銀(79)   ( 0:24/00:01:48)
30 ３五歩(34)   ( 0:03/00:03:29)
31 １八玉(28)   ( 0:17/00:02:05)
32 ３六歩(35)   ( 0:22/00:03:51)
33 ５三歩成(54)   ( 0:06/00:02:11)
34 ５三銀(62)   ( 0:21/00:04:12)
35 ７七桂(89)   ( 0:05/00:02:16)
36 ６六飛(65)   ( 0:22/00:04:34)
37 ２五桂(37)   ( 0:14/00:02:30)
38 ７六飛(66)   ( 0:22/00:04:56)
39 ６五桂(77)   ( 0:06/00:02:36)
40 １六歩(15)   ( 0:22/00:05:18)
41 ５三桂成(65)   ( 0:31/00:03:07)
42 １七歩成(16)   ( 0:03/00:05:21)
43 ２九玉(18)   ( 0:06/00:03:13)
44 １八角打     ( 0:02/00:05:23)
45 １八香(19)   ( 0:10/00:03:23)
46 １八と(17)   ( 0:01/00:05:24)
47 １八飛(58)   ( 0:05/00:03:28)
48 １八香成(11)   ( 0:02/00:05:26)
49 投了
