開始日時：2018/05/07 14:07:00
棋戦：R対局(早指2)
手合割：平手
先手：arupin(1312)
後手：Hefeweizen(2806)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:05/00:00:05)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:02/00:00:07)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:02/00:00:09)
6 ８五歩(84)   ( 0:02/00:00:44)
7 ７八金(69)   ( 0:02/00:00:11)
8 ３二金(41)   ( 0:03/00:00:47)
9 ２四歩(25)   ( 0:02/00:00:13)
10 ２四歩(23)   ( 0:22/00:01:09)
11 ２四飛(28)   ( 0:02/00:00:15)
12 ４二玉(51)   ( 0:02/00:01:11)
13 ５八玉(59)   ( 0:07/00:00:22)
14 ６二銀(71)   ( 0:21/00:01:32)
15 ３八銀(39)   ( 0:06/00:00:28)
16 ５一金(61)   ( 0:22/00:01:54)
17 ９六歩(97)   ( 0:05/00:00:33)
18 ６四歩(63)   ( 0:22/00:02:16)
19 ３六歩(37)   ( 0:04/00:00:37)
20 １四歩(13)   ( 0:22/00:02:38)
21 ３七桂(29)   ( 0:09/00:00:46)
22 ２三歩打     ( 0:03/00:02:41)
23 ２六飛(24)   ( 0:12/00:00:58)
24 ８六歩(85)   ( 0:22/00:03:03)
25 ８六歩(87)   ( 0:02/00:01:00)
26 ８六飛(82)   ( 0:03/00:03:06)
27 ８七歩打     ( 0:06/00:01:06)
28 ８二飛(86)   ( 0:03/00:03:09)
29 ４八金(49)   ( 0:08/00:01:14)
30 ６三銀(62)   ( 0:21/00:03:30)
31 ４六歩(47)   ( 0:08/00:01:22)
32 ６二金(51)   ( 0:22/00:03:52)
33 ４七銀(38)   ( 0:03/00:01:25)
34 ７四歩(73)   ( 0:22/00:04:14)
35 ４九玉(58)   ( 0:03/00:01:28)
36 ７三桂(81)   ( 0:22/00:04:36)
37 ３八玉(49)   ( 0:05/00:01:33)
38 ８一飛(82)   ( 0:22/00:04:58)
39 １六歩(17)   ( 0:12/00:01:45)
40 ８八角成(22)   ( 0:22/00:05:20)
41 ８八銀(79)   ( 0:03/00:01:48)
42 ３三金(32)   ( 0:03/00:05:23)
43 ２九飛(26)   ( 0:15/00:02:03)
44 ４四歩(43)   ( 0:03/00:05:26)
45 ７七銀(88)   ( 0:04/00:02:07)
46 ２四歩(23)   ( 0:03/00:05:29)
47 ５六歩(57)   ( 0:11/00:02:18)
48 ２三金(33)   ( 0:22/00:05:51)
49 ９五歩(96)   ( 0:13/00:02:31)
50 ３二銀(31)   ( 0:22/00:06:13)
51 ６六銀(77)   ( 0:26/00:02:57)
52 １二香(11)   ( 0:02/00:06:15)
53 ７七桂(89)   ( 0:19/00:03:16)
54 １五歩(14)   ( 0:22/00:06:37)
55 １五歩(16)   ( 0:17/00:03:33)
56 ３三桂(21)   ( 0:21/00:06:58)
57 １四歩(15)   ( 1:02/00:04:35)
58 １一飛(81)   ( 0:22/00:07:20)
59 ２五歩打     ( 0:30/00:05:05)
60 １四香(12)   ( 0:22/00:07:42)
61 １四香(19)   ( 0:05/00:05:10)
62 １四飛(11)   ( 0:03/00:07:45)
63 １九歩打     ( 0:04/00:05:14)
64 ２五歩(24)   ( 0:23/00:08:08)
65 ４九玉(38)   ( 0:12/00:05:26)
66 ２六香打     ( 0:22/00:08:30)
67 ２七香打     ( 0:17/00:05:43)
68 ２七香(26)   ( 0:22/00:08:52)
69 ２七飛(29)   ( 0:02/00:05:45)
70 １九飛成(14)   ( 0:03/00:08:55)
71 ５八玉(49)   ( 0:04/00:05:49)
72 ２六香打     ( 0:03/00:08:58)
73 投了
