開始日時：2018/05/07 14:35:57
棋戦：R対局(長考)
手合割：平手
先手：Hefeweizen(2806)
後手：kansouario(2531)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:13/00:00:13)
3 ６八玉(59)   ( 0:22/00:00:44)
4 ４二銀(31)   ( 0:21/00:00:34)
5 ７六歩(77)   ( 0:22/00:01:06)
6 ４四歩(43)   ( 0:04/00:00:38)
7 ４八銀(39)   ( 0:22/00:01:28)
8 ５四歩(53)   ( 0:02/00:00:40)
9 ７八銀(79)   ( 0:22/00:01:50)
10 ８四歩(83)   ( 0:02/00:00:42)
11 ７九玉(68)   ( 0:22/00:02:12)
12 ８五歩(84)   ( 0:02/00:00:44)
13 ２五歩(26)   ( 0:22/00:02:34)
14 ３三銀(42)   ( 0:02/00:00:46)
15 ５八金(49)   ( 0:22/00:02:56)
16 ８六歩(85)   ( 0:08/00:00:54)
17 ８六歩(87)   ( 0:22/00:03:18)
18 ８六飛(82)   ( 0:02/00:00:56)
19 ８七歩打     ( 0:03/00:03:21)
20 ８二飛(86)   ( 0:30/00:01:26)
21 ４六歩(47)   ( 0:03/00:03:24)
22 ３二金(41)   ( 0:02/00:01:28)
23 ２四歩(25)   ( 0:02/00:03:26)
24 ２四歩(23)   ( 1:00/00:02:28)
25 ３六歩(37)   ( 0:22/00:03:48)
26 ５二金(61)   ( 0:25/00:02:53)
27 ４七銀(48)   ( 0:03/00:03:51)
28 ４三金(52)   ( 0:06/00:02:59)
29 ３七桂(29)   ( 0:22/00:04:13)
30 ６二銀(71)   ( 0:04/00:03:03)
31 ５六銀(47)   ( 0:21/00:04:34)
32 ５三銀(62)   ( 0:06/00:03:09)
33 ４七金(58)   ( 0:22/00:04:56)
34 ９四歩(93)   ( 0:16/00:03:25)
35 ４五歩(46)   ( 0:23/00:05:19)
36 ６二玉(51)   ( 0:04/00:03:29)
37 ９六歩(97)   ( 0:21/00:05:40)
38 １四歩(13)   ( 0:08/00:03:37)
39 ４六金(47)   ( 0:22/00:06:02)
40 ９五歩(94)   ( 0:03/00:03:40)
41 ９五歩(96)   ( 0:22/00:06:24)
42 ９六歩打     ( 0:05/00:03:45)
43 ９六香(99)   ( 0:02/00:06:26)
44 投了
