開始日時：2018/05/07 14:49:19
棋戦：R対局(早指)
手合割：平手
先手：otosasi(1717)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:08/00:00:08)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:02/00:00:10)
4 ３三角(22)   ( 0:02/00:00:23)
5 ４八銀(39)   ( 0:02/00:00:12)
6 ４二銀(31)   ( 0:22/00:00:45)
7 ５六歩(57)   ( 0:06/00:00:18)
8 ８四歩(83)   ( 0:22/00:01:07)
9 ７八金(69)   ( 0:05/00:00:23)
10 ８五歩(84)   ( 0:22/00:01:29)
11 ５七銀(48)   ( 0:03/00:00:26)
12 ３二金(41)   ( 0:02/00:01:31)
13 ９六歩(97)   ( 0:02/00:00:28)
14 ４四歩(43)   ( 0:21/00:01:52)
15 ４六歩(47)   ( 0:03/00:00:31)
16 ６二銀(71)   ( 0:22/00:02:14)
17 ３六歩(37)   ( 0:04/00:00:35)
18 ４三銀(42)   ( 0:22/00:02:36)
19 ６六歩(67)   ( 0:09/00:00:44)
20 ７四歩(73)   ( 0:21/00:02:57)
21 ６八銀(79)   ( 0:04/00:00:48)
22 ７三桂(81)   ( 0:21/00:03:18)
23 ６七銀(68)   ( 0:06/00:00:54)
24 ８六歩(85)   ( 0:23/00:03:41)
25 ８六歩(87)   ( 0:03/00:00:57)
26 ８六飛(82)   ( 0:03/00:03:44)
27 ８七歩打     ( 0:03/00:01:00)
28 ８一飛(86)   ( 0:22/00:04:06)
29 ７六歩(77)   ( 0:08/00:01:08)
30 ５四歩(53)   ( 0:21/00:04:27)
31 ６九玉(59)   ( 0:03/00:01:11)
32 ９四歩(93)   ( 0:22/00:04:49)
33 １六歩(17)   ( 0:03/00:01:14)
34 １四歩(13)   ( 0:22/00:05:11)
35 ５八金(49)   ( 0:06/00:01:20)
36 ５二金(61)   ( 0:02/00:05:13)
37 ３八飛(28)   ( 0:07/00:01:27)
38 ４一玉(51)   ( 0:22/00:05:35)
39 ３五歩(36)   ( 0:04/00:01:31)
40 ３五歩(34)   ( 0:22/00:05:57)
41 ３五飛(38)   ( 0:06/00:01:37)
42 ４二角(33)   ( 0:03/00:06:00)
43 ３八飛(35)   ( 0:28/00:02:05)
44 ８六歩打     ( 0:22/00:06:22)
45 ８六歩(87)   ( 0:05/00:02:10)
46 ８五歩打     ( 0:02/00:06:24)
47 ８五歩(86)   ( 0:30/00:02:40)
48 ８五飛(81)   ( 0:03/00:06:27)
49 ３五歩打     ( 0:24/00:03:04)
50 ８六歩打     ( 0:22/00:06:49)
51 ７七桂(89)   ( 0:22/00:03:26)
52 ８四飛(85)   ( 0:22/00:07:11)
53 ８五歩打     ( 0:09/00:03:35)
54 ８五桂(73)   ( 0:03/00:07:14)
55 ８五桂(77)   ( 0:04/00:03:39)
56 ８五飛(84)   ( 0:03/00:07:17)
57 ９七桂打     ( 0:06/00:03:45)
58 ８一飛(85)   ( 0:21/00:07:38)
59 ８五歩打     ( 0:06/00:03:51)
60 ９五歩(94)   ( 0:02/00:07:40)
61 ６五歩(66)   ( 0:17/00:04:08)
62 ９六歩(95)   ( 0:22/00:08:02)
63 ６六角(88)   ( 0:20/00:04:28)
64 ９七歩成(96)   ( 0:22/00:08:24)
65 ４五歩(46)   ( 0:07/00:04:35)
66 ５三角(42)   ( 0:03/00:08:27)
67 ４四歩(45)   ( 0:30/00:05:05)
68 ４四角(53)   ( 0:21/00:08:48)
69 ４四角(66)   ( 0:30/00:05:35)
70 ４四銀(43)   ( 0:03/00:08:51)
71 ８四歩(85)   ( 0:21/00:05:56)
72 ８七歩成(86)   ( 0:22/00:09:13)
73 ６八金(78)   ( 0:06/00:06:02)
74 ４三歩打     ( 0:02/00:09:15)
75 ２四歩(25)   ( 0:22/00:06:24)
76 ８四飛(81)   ( 0:03/00:09:18)
77 ２三歩成(24)   ( 0:23/00:06:47)
78 ２三金(32)   ( 0:03/00:09:21)
79 ６六角打     ( 0:22/00:07:09)
80 ８六飛(84)   ( 0:03/00:09:24)
81 ８八歩打     ( 0:18/00:07:27)
82 ８八と(97)   ( 0:02/00:09:26)
83 ９一香成(99)   ( 0:12/00:07:39)
84 ９六飛(86)   ( 0:22/00:09:48)
85 ５九玉(69)   ( 0:13/00:07:52)
86 ９九飛成(96)   ( 0:03/00:09:51)
87 ６九香打     ( 0:05/00:07:57)
88 ８九龍(99)   ( 0:03/00:09:54)
89 ４八玉(59)   ( 0:29/00:08:26)
90 ７八と(88)   ( 0:21/00:10:15)
91 投了
