開始日時：2018/05/07 15:13:28
棋戦：R対局(15分)
手合割：平手
先手：furumasa1122(1924)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:08/00:00:10)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ２五歩(26)   ( 0:02/00:00:12)
6 ８四歩(83)   ( 0:21/00:01:04)
7 ２四歩(25)   ( 0:03/00:00:15)
8 ２四歩(23)   ( 0:21/00:01:25)
9 ２四飛(28)   ( 0:02/00:00:17)
10 ３二金(41)   ( 0:03/00:01:28)
11 ２八飛(24)   ( 0:06/00:00:23)
12 ２三歩打     ( 0:21/00:01:49)
13 ２二角成(88)   ( 0:07/00:00:30)
14 ２二銀(31)   ( 0:02/00:01:51)
15 ６八銀(79)   ( 0:03/00:00:33)
16 ７四歩(73)   ( 0:21/00:02:12)
17 ７八金(69)   ( 0:03/00:00:36)
18 ８五歩(84)   ( 0:03/00:02:15)
19 ７七銀(68)   ( 0:02/00:00:38)
20 ７二銀(71)   ( 0:02/00:02:17)
21 ４八銀(39)   ( 0:09/00:00:47)
22 ７三銀(72)   ( 0:22/00:02:39)
23 ４五角打     ( 0:46/00:01:33)
24 ５二金(61)   ( 0:22/00:03:01)
25 ３四角(45)   ( 0:02/00:01:35)
26 ８四銀(73)   ( 0:03/00:03:04)
27 ５六角(34)   ( 0:20/00:01:55)
28 ９五銀(84)   ( 0:22/00:03:26)
29 ７四角(56)   ( 0:19/00:02:14)
30 ８六歩(85)   ( 0:23/00:03:49)
31 ８六歩(87)   ( 0:02/00:02:16)
32 ８六銀(95)   ( 0:03/00:03:52)
33 ８三歩打     ( 0:09/00:02:25)
34 ７二飛(82)   ( 0:02/00:03:54)
35 ８五角(74)   ( 0:12/00:02:37)
36 ９五銀(86)   ( 0:03/00:03:57)
37 ２四歩打     ( 0:42/00:03:19)
38 ２四歩(23)   ( 0:22/00:04:19)
39 ２四飛(28)   ( 0:02/00:03:21)
40 ２三歩打     ( 0:03/00:04:22)
41 ７四飛(24)   ( 0:11/00:03:32)
42 ７四飛(72)   ( 0:22/00:04:44)
43 ７四角(85)   ( 0:02/00:03:34)
44 ８四飛打     ( 0:02/00:04:46)
45 ８五飛打     ( 0:30/00:04:04)
46 ７四飛(84)   ( 0:22/00:05:08)
47 ９五飛(85)   ( 0:02/00:04:06)
48 ８四飛(74)   ( 0:22/00:05:30)
49 投了
