開始日時：2018/05/07 15:29:45
棋戦：R対局(早指)
手合割：平手
先手：otsukicity(2350)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ６八銀(79)   ( 0:01/00:00:04)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ７七銀(68)   ( 0:01/00:00:05)
6 ６二銀(71)   ( 0:21/00:01:03)
7 ５六歩(57)   ( 0:03/00:00:08)
8 ７四歩(73)   ( 0:21/00:01:24)
9 ２六歩(27)   ( 0:13/00:00:21)
10 ３二金(41)   ( 0:03/00:01:27)
11 ２五歩(26)   ( 0:01/00:00:22)
12 ４一玉(51)   ( 0:02/00:01:29)
13 ７九角(88)   ( 0:09/00:00:31)
14 ７三銀(62)   ( 0:22/00:01:51)
15 ２四歩(25)   ( 0:11/00:00:42)
16 ２四歩(23)   ( 0:22/00:02:13)
17 ２四角(79)   ( 0:06/00:00:48)
18 ２三歩打     ( 0:22/00:02:35)
19 ４六角(24)   ( 0:01/00:00:49)
20 ５四歩(53)   ( 0:22/00:02:57)
21 ２四歩打     ( 0:40/00:01:29)
22 ２四歩(23)   ( 0:22/00:03:19)
23 ２四飛(28)   ( 0:01/00:01:30)
24 ６四銀(73)   ( 0:02/00:03:21)
25 ３四飛(24)   ( 0:03/00:01:33)
26 ５五歩(54)   ( 0:22/00:03:43)
27 ５五歩(56)   ( 0:28/00:02:01)
28 ５五銀(64)   ( 0:21/00:04:04)
29 ７九角(46)   ( 0:29/00:02:30)
30 ４二銀(31)   ( 0:22/00:04:26)
31 ２四歩打     ( 0:10/00:02:40)
32 ３三角(22)   ( 0:02/00:04:28)
33 ５八金(49)   ( 0:29/00:03:09)
34 ８五歩(84)   ( 0:22/00:04:50)
35 ５六歩打     ( 0:17/00:03:26)
36 ６四銀(55)   ( 0:22/00:05:12)
37 ３六飛(34)   ( 0:05/00:03:31)
38 ７三桂(81)   ( 0:21/00:05:33)
39 ６六歩(67)   ( 0:27/00:03:58)
40 ８六歩(85)   ( 0:02/00:05:35)
41 ８六歩(87)   ( 0:24/00:04:22)
42 ８五歩打     ( 0:03/00:05:38)
43 ７八金(69)   ( 0:26/00:04:48)
44 ８六歩(85)   ( 0:02/00:05:40)
45 ８八歩打     ( 0:02/00:04:50)
46 ８五飛(82)   ( 0:02/00:05:42)
47 ２六飛(36)   ( 0:27/00:05:17)
48 ４四角(33)   ( 0:22/00:06:04)
49 ２八飛(26)   ( 0:22/00:05:39)
50 ２七歩打     ( 0:03/00:06:07)
51 ２七飛(28)   ( 0:01/00:05:40)
52 ２六歩打     ( 0:02/00:06:09)
53 ２八飛(27)   ( 0:01/00:05:41)
54 ２五飛(85)   ( 0:02/00:06:11)
55 ３八銀(39)   ( 0:11/00:05:52)
56 ７五歩(74)   ( 0:02/00:06:13)
57 ３六歩(37)   ( 0:13/00:06:05)
58 ７六歩(75)   ( 0:22/00:06:35)
59 ７六銀(77)   ( 0:02/00:06:07)
60 ６六角(44)   ( 0:03/00:06:38)
61 ５七金(58)   ( 0:21/00:06:28)
62 ８七歩成(86)   ( 0:22/00:07:00)
63 ８七金(78)   ( 0:30/00:06:58)
64 ５七角成(66)   ( 0:23/00:07:23)
65 ５七角(79)   ( 0:02/00:07:00)
66 ６五桂(73)   ( 0:03/00:07:26)
67 ６六角(57)   ( 0:28/00:07:28)
68 ２七金打     ( 0:22/00:07:48)
69 ３七桂(29)   ( 0:22/00:07:50)
70 ２四飛(25)   ( 0:23/00:08:11)
71 ２七銀(38)   ( 0:26/00:08:16)
72 ２七歩成(26)   ( 0:03/00:08:14)
73 ２五歩打     ( 0:12/00:08:28)
74 ２八と(27)   ( 0:22/00:08:36)
75 ２四歩(25)   ( 0:01/00:08:29)
76 ５七銀打     ( 0:23/00:08:59)
77 ５七角(66)   ( 0:30/00:08:59)
78 ５七桂成(65)   ( 0:04/00:09:03)
79 投了
