開始日時：2018/05/07 16:15:31
棋戦：R対局(15分)
手合割：平手
先手：keita55(1465)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ５六歩(57)   ( 0:04/00:00:04)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:01/00:00:05)
4 ３四歩(33)   ( 0:03/00:00:24)
5 ５五歩(56)   ( 0:05/00:00:10)
6 ４二玉(51)   ( 0:02/00:00:26)
7 ５八飛(28)   ( 0:02/00:00:12)
8 ６二銀(71)   ( 0:03/00:00:29)
9 ４八玉(59)   ( 0:02/00:00:14)
10 ５二金(61)   ( 0:21/00:00:50)
11 ３八玉(48)   ( 0:02/00:00:16)
12 ３二玉(42)   ( 0:22/00:01:12)
13 ２八玉(38)   ( 0:03/00:00:19)
14 １四歩(13)   ( 0:03/00:01:15)
15 １六歩(17)   ( 0:02/00:00:21)
16 ４二銀(31)   ( 0:03/00:01:18)
17 ３八銀(39)   ( 0:03/00:00:24)
18 ７四歩(73)   ( 0:21/00:01:39)
19 ７七角(88)   ( 0:03/00:00:27)
20 ７三銀(62)   ( 0:21/00:02:00)
21 ６八銀(79)   ( 0:02/00:00:29)
22 ６四銀(73)   ( 0:02/00:02:02)
23 ５四歩(55)   ( 0:12/00:00:41)
24 ４四歩(43)   ( 0:03/00:02:05)
25 ５三歩成(54)   ( 0:03/00:00:44)
26 ５三銀(42)   ( 0:03/00:02:08)
27 ５四歩打     ( 0:13/00:00:57)
28 ４二銀(53)   ( 0:02/00:02:10)
29 ６六歩(67)   ( 0:01/00:00:58)
30 ４三金(52)   ( 0:22/00:02:32)
31 ６七銀(68)   ( 0:09/00:01:07)
32 ７三桂(81)   ( 0:23/00:02:55)
33 ６八角(77)   ( 0:36/00:01:43)
34 ５二飛(82)   ( 0:22/00:03:17)
35 ７七桂(89)   ( 0:17/00:02:00)
36 ５四金(43)   ( 0:22/00:03:39)
37 ６五歩(66)   ( 0:01/00:02:01)
38 ６五桂(73)   ( 0:22/00:04:01)
39 ６五桂(77)   ( 0:01/00:02:02)
40 ６五銀(64)   ( 0:03/00:04:04)
41 ７七桂打     ( 0:02/00:02:04)
42 ５五桂打     ( 0:22/00:04:26)
43 ７八金(69)   ( 0:49/00:02:53)
44 ６七桂成(55)   ( 0:03/00:04:29)
45 ６七金(78)   ( 0:01/00:02:54)
46 ６六銀打     ( 0:03/00:04:32)
47 ６六金(67)   ( 0:33/00:03:27)
48 ６六銀(65)   ( 0:22/00:04:54)
49 ４六桂打     ( 0:02/00:03:29)
50 ５七歩打     ( 0:02/00:04:56)
51 ５七角(68)   ( 0:23/00:03:52)
52 ６七銀成(66)   ( 0:03/00:04:59)
53 ５四桂(46)   ( 0:09/00:04:01)
54 ５四飛(52)   ( 0:22/00:05:21)
55 ５五歩打     ( 0:13/00:04:14)
56 ５五飛(54)   ( 0:22/00:05:43)
57 ４六角(57)   ( 0:02/00:04:16)
58 ５八飛成(55)   ( 0:22/00:06:05)
59 ５八金(49)   ( 0:02/00:04:18)
60 ５八成銀(67)   ( 0:05/00:06:10)
61 ４九銀打     ( 0:01/00:04:19)
62 ４九成銀(58)   ( 0:03/00:06:13)
63 ４九銀(38)   ( 0:01/00:04:20)
64 ７八飛打     ( 0:03/00:06:16)
65 ３八銀打     ( 0:02/00:04:22)
66 ４五歩(44)   ( 0:22/00:06:38)
67 ７三角成(46)   ( 0:07/00:04:29)
68 ７七角成(22)   ( 0:04/00:06:42)
69 ６三馬(73)   ( 0:02/00:04:31)
70 ５五馬(77)   ( 0:22/00:07:04)
71 ４六歩(47)   ( 0:16/00:04:47)
72 ４七桂打     ( 0:22/00:07:26)
73 ２六歩(27)   ( 0:25/00:05:12)
74 ３九銀打     ( 0:02/00:07:28)
75 １七玉(28)   ( 0:01/00:05:13)
76 ２七金打     ( 0:02/00:07:30)
77 ２七玉(17)   ( 0:01/00:05:14)
78 ３五桂打     ( 0:02/00:07:32)
79 １七玉(27)   ( 0:04/00:05:18)
80 ２七金打     ( 0:01/00:07:33)
81 ２七銀(38)   ( 0:01/00:05:19)
82 ２八飛成(78)   ( 0:02/00:07:35)
83 投了
