開始日時：2018/05/07 16:40:21
棋戦：R対局(早指2)
手合割：平手
先手：journey1(2038)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:02/00:00:05)
4 ３二金(41)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:02/00:00:07)
6 ３四歩(33)   ( 0:22/00:00:46)
7 ６六歩(67)   ( 0:01/00:00:08)
8 ７二飛(82)   ( 0:21/00:01:07)
9 ６八銀(79)   ( 0:13/00:00:21)
10 ７四歩(73)   ( 0:22/00:01:29)
11 ２四歩(25)   ( 0:09/00:00:30)
12 ２四歩(23)   ( 0:22/00:01:51)
13 ２四飛(28)   ( 0:02/00:00:32)
14 ２三歩打     ( 0:02/00:01:53)
15 ２五飛(24)   ( 0:23/00:00:55)
16 ６二銀(71)   ( 0:22/00:02:15)
17 ４八銀(39)   ( 0:10/00:01:05)
18 ７三銀(62)   ( 0:22/00:02:37)
19 ３六歩(37)   ( 0:14/00:01:19)
20 ８四銀(73)   ( 0:22/00:02:59)
21 ３五歩(36)   ( 0:39/00:01:58)
22 ３五歩(34)   ( 0:21/00:03:20)
23 ３五飛(25)   ( 0:02/00:02:00)
24 ７五歩(74)   ( 0:22/00:03:42)
25 ７五歩(76)   ( 0:35/00:02:35)
26 ７五銀(84)   ( 0:02/00:03:44)
27 ３七桂(29)   ( 0:03/00:02:38)
28 ７四飛(72)   ( 0:24/00:04:08)
29 ６七銀(68)   ( 0:36/00:03:14)
30 ７六歩打     ( 0:02/00:04:10)
31 ７八金(69)   ( 0:23/00:03:37)
32 ７三桂(81)   ( 0:22/00:04:32)
33 ５六歩(57)   ( 0:47/00:04:24)
34 ５二金(61)   ( 0:22/00:04:54)
35 ９六歩(97)   ( 0:27/00:04:51)
36 ４四角(22)   ( 0:22/00:05:16)
37 ３六飛(35)   ( 0:11/00:05:02)
38 ２四歩(23)   ( 0:03/00:05:19)
39 ５七銀(48)   ( 0:45/00:05:47)
40 ３五歩打     ( 0:03/00:05:22)
41 ２六飛(36)   ( 0:09/00:05:56)
42 ２三金(32)   ( 0:02/00:05:24)
43 ４六銀(57)   ( 0:04/00:06:00)
44 ８五桂(73)   ( 0:22/00:05:46)
45 ５五銀(46)   ( 0:31/00:06:31)
46 ３三角(44)   ( 0:22/00:06:08)
47 ６五歩(66)   ( 0:32/00:07:03)
48 ７七歩成(76)   ( 0:22/00:06:30)
49 ７七桂(89)   ( 0:02/00:07:05)
50 ７六銀(75)   ( 0:03/00:06:33)
51 ７六銀(67)   ( 0:28/00:07:33)
52 ７六飛(74)   ( 0:22/00:06:55)
53 ６七銀打     ( 0:27/00:08:00)
54 ５五角(33)   ( 0:21/00:07:16)
55 投了
