開始日時：2018/05/07 17:21:56
棋戦：R対局(15分)
手合割：平手
先手：rasukarusuzuka(2213)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ３二金(41)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:06/00:00:09)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ２四歩(25)   ( 0:02/00:00:11)
6 ２四歩(23)   ( 0:22/00:01:05)
7 ２四飛(28)   ( 0:02/00:00:13)
8 ２三歩打     ( 0:03/00:01:08)
9 ２六飛(24)   ( 0:02/00:00:15)
10 ３四歩(33)   ( 0:22/00:01:30)
11 ７八金(69)   ( 0:03/00:00:18)
12 ７二銀(71)   ( 0:22/00:01:52)
13 ３八銀(39)   ( 0:06/00:00:24)
14 ８五歩(84)   ( 0:02/00:01:54)
15 １六歩(17)   ( 0:06/00:00:30)
16 ４二玉(51)   ( 0:23/00:02:17)
17 ３六歩(37)   ( 0:10/00:00:40)
18 ４四角(22)   ( 0:22/00:02:39)
19 ２八飛(26)   ( 0:02/00:00:42)
20 ８六歩(85)   ( 0:02/00:02:41)
21 ８六歩(87)   ( 0:01/00:00:43)
22 ８六飛(82)   ( 0:03/00:02:44)
23 ８七歩打     ( 0:01/00:00:44)
24 ３六飛(86)   ( 0:03/00:02:47)
25 ３七銀(38)   ( 0:01/00:00:45)
26 ３五飛(36)   ( 0:02/00:02:49)
27 ４六銀(37)   ( 0:02/00:00:47)
28 ８五飛(35)   ( 0:02/00:02:51)
29 ６八玉(59)   ( 0:05/00:00:52)
30 ２二銀(31)   ( 0:22/00:03:13)
31 ７六歩(77)   ( 0:04/00:00:56)
32 ６四歩(63)   ( 0:03/00:03:16)
33 ４四角(88)   ( 0:02/00:00:58)
34 ４四歩(43)   ( 0:21/00:03:37)
35 ７七桂(89)   ( 0:19/00:01:17)
36 ８二飛(85)   ( 0:22/00:03:59)
37 ５五銀(46)   ( 0:02/00:01:19)
38 ６三銀(72)   ( 0:22/00:04:21)
39 ８八銀(79)   ( 0:50/00:02:09)
40 ７四歩(73)   ( 0:22/00:04:43)
41 ３七角打     ( 0:21/00:02:30)
42 ６二飛(82)   ( 0:22/00:05:05)
43 ４四銀(55)   ( 0:08/00:02:38)
44 ５二金(61)   ( 0:02/00:05:07)
45 ５五銀(44)   ( 0:03/00:02:41)
46 ７五歩(74)   ( 0:21/00:05:28)
47 ２六飛(28)   ( 0:03/00:02:44)
48 ５四歩(53)   ( 0:23/00:05:51)
49 ６六銀(55)   ( 0:47/00:03:31)
50 ７六歩(75)   ( 0:22/00:06:13)
51 ８五桂(77)   ( 0:02/00:03:33)
52 ７四銀(63)   ( 0:02/00:06:15)
53 ４六飛(26)   ( 0:06/00:03:39)
54 ４三金(32)   ( 0:22/00:06:37)
55 ２六角(37)   ( 0:04/00:03:43)
56 ４四歩打     ( 0:02/00:06:39)
57 ４四飛(46)   ( 0:06/00:03:49)
58 ５三金(52)   ( 0:22/00:07:01)
59 ４三飛成(44)   ( 0:06/00:03:55)
60 ４三玉(42)   ( 0:03/00:07:04)
61 投了
