開始日時：2018/05/07 17:38:04
棋戦：R対局(早指)
手合割：平手
先手：kei-taka(1164)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:15/00:00:17)
4 ３四歩(33)   ( 0:02/00:00:23)
5 ６六歩(67)   ( 0:03/00:00:20)
6 ６四歩(63)   ( 0:22/00:00:45)
7 ７八金(69)   ( 0:05/00:00:25)
8 ６二飛(82)   ( 0:22/00:01:07)
9 ７七角(88)   ( 0:06/00:00:31)
10 ７二銀(71)   ( 0:22/00:01:29)
11 ２五歩(26)   ( 0:03/00:00:34)
12 ３三角(22)   ( 0:21/00:01:50)
13 ３八銀(39)   ( 0:05/00:00:39)
14 ６三銀(72)   ( 0:23/00:02:13)
15 ４八玉(59)   ( 0:04/00:00:43)
16 ２二銀(31)   ( 0:21/00:02:34)
17 １六歩(17)   ( 0:10/00:00:53)
18 ５四銀(63)   ( 0:22/00:02:56)
19 ６八銀(79)   ( 0:08/00:01:01)
20 ５二金(61)   ( 0:02/00:02:58)
21 ２六飛(28)   ( 0:12/00:01:13)
22 １四歩(13)   ( 0:22/00:03:20)
23 ７五歩(76)   ( 0:12/00:01:25)
24 ４四角(33)   ( 0:22/00:03:42)
25 ２八飛(26)   ( 0:05/00:01:30)
26 ３三銀(22)   ( 0:22/00:04:04)
27 ３九玉(48)   ( 0:20/00:01:50)
28 ７四歩(73)   ( 0:22/00:04:26)
29 ７四歩(75)   ( 0:02/00:01:52)
30 ７二飛(62)   ( 0:03/00:04:29)
31 ６五歩(66)   ( 0:07/00:01:59)
32 ７四飛(72)   ( 0:22/00:04:51)
33 ２四歩(25)   ( 0:12/00:02:11)
34 ２四歩(23)   ( 0:22/00:05:13)
35 ２二歩打     ( 0:14/00:02:25)
36 ２二銀(33)   ( 0:02/00:05:15)
37 ４四角(77)   ( 0:02/00:02:27)
38 ４四歩(43)   ( 0:02/00:05:17)
39 ７七銀(68)   ( 0:16/00:02:43)
40 ７六歩打     ( 0:23/00:05:40)
41 ８五角打     ( 0:11/00:02:54)
42 ７一飛(74)   ( 0:22/00:06:02)
43 ７六角(85)   ( 0:05/00:02:59)
44 ６五銀(54)   ( 0:03/00:06:05)
45 ６七角(76)   ( 0:02/00:03:01)
46 ７六歩打     ( 0:22/00:06:27)
47 ８八銀(77)   ( 0:06/00:03:07)
48 ８四角打     ( 0:22/00:06:49)
49 ６八金(78)   ( 0:25/00:03:32)
50 ２三銀(22)   ( 0:22/00:07:11)
51 ４八金(49)   ( 0:09/00:03:41)
52 ３三桂(21)   ( 0:21/00:07:32)
53 ９六歩(97)   ( 0:14/00:03:55)
54 ６六角(84)   ( 0:22/00:07:54)
55 ７八金(68)   ( 0:07/00:04:02)
56 ４五桂(33)   ( 0:22/00:08:16)
57 ４六歩(47)   ( 0:28/00:04:30)
58 ５七桂成(45)   ( 0:22/00:08:38)
59 投了
