開始日時：2018/05/07 17:52:43
棋戦：R対局(早指)
手合割：平手
先手：kei-taka(1164)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:01/00:00:03)
4 ３三角(22)   ( 0:22/00:00:43)
5 ４八銀(39)   ( 0:03/00:00:06)
6 ３二金(41)   ( 0:22/00:01:05)
7 ３六歩(37)   ( 0:01/00:00:07)
8 ８四歩(83)   ( 0:22/00:01:27)
9 ３七銀(48)   ( 0:11/00:00:18)
10 ４二銀(31)   ( 0:22/00:01:49)
11 ４六銀(37)   ( 0:04/00:00:22)
12 ８五歩(84)   ( 0:22/00:02:11)
13 ７八銀(79)   ( 0:03/00:00:25)
14 ７二銀(71)   ( 0:02/00:02:13)
15 ７九角(88)   ( 0:07/00:00:32)
16 ４四歩(43)   ( 0:21/00:02:34)
17 ３七桂(29)   ( 0:26/00:00:58)
18 ７四歩(73)   ( 0:22/00:02:56)
19 １六歩(17)   ( 0:02/00:01:00)
20 ４三銀(42)   ( 0:22/00:03:18)
21 １五歩(16)   ( 0:28/00:01:28)
22 ７三桂(81)   ( 0:22/00:03:40)
23 ９六歩(97)   ( 0:14/00:01:42)
24 ６二玉(51)   ( 0:22/00:04:02)
25 ４八玉(59)   ( 0:23/00:02:05)
26 ８六歩(85)   ( 0:22/00:04:24)
27 ８六歩(87)   ( 0:01/00:02:06)
28 ８六飛(82)   ( 0:02/00:04:26)
29 ８七歩打     ( 0:02/00:02:08)
30 ８一飛(86)   ( 0:03/00:04:29)
31 ９五歩(96)   ( 0:07/00:02:15)
32 ５二金(61)   ( 0:22/00:04:51)
33 ２九飛(28)   ( 0:10/00:02:25)
34 ４五歩(44)   ( 0:21/00:05:12)
35 ４五銀(46)   ( 0:03/00:02:28)
36 ５四歩(53)   ( 0:02/00:05:14)
37 ５六歩(57)   ( 0:03/00:02:31)
38 ４四歩打     ( 0:21/00:05:35)
39 ２四歩(25)   ( 0:05/00:02:36)
40 ２四角(33)   ( 0:21/00:05:56)
41 ２四角(79)   ( 0:05/00:02:41)
42 ２四歩(23)   ( 0:02/00:05:58)
43 ２四飛(29)   ( 0:29/00:03:10)
44 ４五歩(44)   ( 0:22/00:06:20)
45 ２三歩打     ( 0:17/00:03:27)
46 ６五桂(73)   ( 0:22/00:06:42)
47 ５八金(49)   ( 0:20/00:03:47)
48 ３五歩(34)   ( 0:21/00:07:03)
49 ６六歩(67)   ( 0:07/00:03:54)
50 ３三角打     ( 0:22/00:07:25)
51 ２五飛(24)   ( 0:23/00:04:17)
52 ６六角(33)   ( 0:22/00:07:47)
53 ３八玉(48)   ( 0:10/00:04:27)
54 ３六歩(35)   ( 0:21/00:08:08)
55 ４五桂(37)   ( 0:16/00:04:43)
56 ３四銀(43)   ( 0:22/00:08:30)
57 ５三桂成(45)   ( 0:17/00:05:00)
58 ５三金(52)   ( 0:22/00:08:52)
59 ６五飛(25)   ( 0:01/00:05:01)
60 ３七歩成(36)   ( 0:02/00:08:54)
61 ３七玉(38)   ( 0:01/00:05:02)
62 ３九角成(66)   ( 0:03/00:08:57)
63 １七角打     ( 0:27/00:05:29)
64 ４五桂打     ( 0:22/00:09:19)
65 ４五飛(65)   ( 0:05/00:05:34)
66 ３六歩打     ( 0:03/00:09:22)
67 ３六玉(37)   ( 0:14/00:05:48)
68 ４五銀(34)   ( 0:05/00:09:27)
69 ４五玉(36)   ( 0:01/00:05:49)
70 ３三桂(21)   ( 0:02/00:09:29)
71 ４六玉(45)   ( 0:03/00:05:52)
72 ４五銀打     ( 0:02/00:09:31)
73 ３七玉(46)   ( 0:04/00:05:56)
74 ３八飛打     ( 0:02/00:09:33)
75 ２七玉(37)   ( 0:02/00:05:58)
76 ３六飛成(38)   ( 0:02/00:09:35)
77 １八玉(27)   ( 0:01/00:05:59)
78 ３八龍(36)   ( 0:02/00:09:37)
79 ２八桂打     ( 0:05/00:06:04)
80 ２九馬(39)   ( 0:02/00:09:39)
81 投了
