開始日時：2018/05/07 18:12:47
棋戦：R対局(早指)
手合割：平手
先手：kuwagatasuper(862)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ５六歩(57)   ( 0:01/00:00:04)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ５八飛(28)   ( 0:01/00:00:05)
6 １四歩(13)   ( 0:22/00:01:05)
7 ５五歩(56)   ( 0:01/00:00:06)
8 １五歩(14)   ( 0:21/00:01:26)
9 ９六歩(97)   ( 0:01/00:00:07)
10 ８五歩(84)   ( 0:22/00:01:48)
11 ５四歩(55)   ( 0:01/00:00:08)
12 ５四歩(53)   ( 0:22/00:02:10)
13 ２二角成(88)   ( 0:02/00:00:10)
14 ２二銀(31)   ( 0:22/00:02:32)
15 ５四飛(58)   ( 0:02/00:00:12)
16 ４二玉(51)   ( 0:02/00:02:34)
17 ３四飛(54)   ( 0:02/00:00:14)
18 ４五角打     ( 0:22/00:02:56)
19 ３五飛(34)   ( 0:10/00:00:24)
20 ６七角成(45)   ( 0:22/00:03:18)
21 ８六歩(87)   ( 0:18/00:00:42)
22 ８六歩(85)   ( 0:22/00:03:40)
23 ５五飛(35)   ( 0:06/00:00:48)
24 ８九馬(67)   ( 0:22/00:04:02)
25 ５四飛(55)   ( 0:01/00:00:49)
26 ９九馬(89)   ( 0:22/00:04:24)
27 ８三歩打     ( 0:02/00:00:51)
28 ８三飛(82)   ( 0:21/00:04:45)
29 ８四歩打     ( 0:01/00:00:52)
30 ８二飛(83)   ( 0:22/00:05:07)
31 ５三角打     ( 0:06/00:00:58)
32 ３二玉(42)   ( 0:22/00:05:29)
33 ７一角成(53)   ( 0:07/00:01:05)
34 ７一金(61)   ( 0:22/00:05:51)
35 ３四飛(54)   ( 0:13/00:01:18)
36 ３三銀(22)   ( 0:22/00:06:13)
37 ８三銀打     ( 0:07/00:01:25)
38 ５二飛(82)   ( 0:22/00:06:35)
39 ４八玉(59)   ( 0:06/00:01:31)
40 ５七角打     ( 0:02/00:06:37)
41 ３八玉(48)   ( 0:01/00:01:32)
42 ３四銀(33)   ( 0:03/00:06:40)
43 投了
