開始日時：2018/05/07 18:22:53
棋戦：R対局(15分)
手合割：平手
先手：tokinnoshochan(1790)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:04/00:00:04)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:07)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ２五歩(26)   ( 0:06/00:00:13)
6 ７二銀(71)   ( 0:22/00:01:05)
7 ４八銀(39)   ( 0:15/00:00:28)
8 ３二金(41)   ( 0:22/00:01:27)
9 ７八金(69)   ( 0:05/00:00:33)
10 ６四歩(63)   ( 0:22/00:01:49)
11 ６八玉(59)   ( 0:06/00:00:39)
12 ８四歩(83)   ( 0:22/00:02:11)
13 ６六歩(67)   ( 0:17/00:00:56)
14 ８五歩(84)   ( 0:22/00:02:33)
15 ７七角(88)   ( 0:03/00:00:59)
16 ８三銀(72)   ( 0:02/00:02:35)
17 ８八銀(79)   ( 0:04/00:01:03)
18 ７四歩(73)   ( 0:22/00:02:57)
19 ２四歩(25)   ( 0:05/00:01:08)
20 ２四歩(23)   ( 0:22/00:03:19)
21 ２四飛(28)   ( 0:03/00:01:11)
22 ７五歩(74)   ( 0:05/00:03:24)
23 ３四飛(24)   ( 0:08/00:01:19)
24 ７六歩(75)   ( 0:22/00:03:46)
25 ９五角(77)   ( 0:03/00:01:22)
26 ９四歩(93)   ( 0:03/00:03:49)
27 ６四飛(34)   ( 0:02/00:01:24)
28 ５二金(61)   ( 0:02/00:03:51)
29 ６一飛成(64)   ( 0:24/00:01:48)
30 ９五歩(94)   ( 0:23/00:04:14)
31 ７一龍(61)   ( 0:02/00:01:50)
32 ９三角打     ( 0:03/00:04:17)
33 ７四歩打     ( 0:06/00:01:56)
34 ７二銀(83)   ( 0:03/00:04:20)
35 ９六歩(97)   ( 0:06/00:02:02)
36 ６六角(22)   ( 0:22/00:04:42)
37 ９五歩(96)   ( 0:04/00:02:06)
38 ９二飛(82)   ( 0:22/00:05:04)
39 ９四歩(95)   ( 0:08/00:02:14)
40 ７一角(93)   ( 0:22/00:05:26)
41 ９三歩成(94)   ( 0:11/00:02:25)
42 ６七歩打     ( 0:22/00:05:48)
43 ６七玉(68)   ( 0:10/00:02:35)
44 ６九飛打     ( 0:02/00:05:50)
45 ５八玉(67)   ( 0:03/00:02:38)
46 ８九飛成(69)   ( 0:03/00:05:53)
47 ７九金(78)   ( 0:02/00:02:40)
48 ８八角成(66)   ( 0:22/00:06:15)
49 ８九金(79)   ( 0:03/00:02:43)
50 ６六桂打     ( 0:03/00:06:18)
51 ５九玉(58)   ( 0:05/00:02:48)
52 ８九馬(88)   ( 0:03/00:06:21)
53 ３九銀(48)   ( 0:08/00:02:56)
54 ６七馬(89)   ( 0:03/00:06:24)
55 ４八玉(59)   ( 0:05/00:03:01)
56 ２七銀打     ( 0:22/00:06:46)
57 ９二と(93)   ( 0:05/00:03:06)
58 ５八金打     ( 0:02/00:06:48)
59 ５八金(49)   ( 0:01/00:03:07)
60 ５八馬(67)   ( 0:01/00:06:49)
61 投了
