開始日時：2018/05/07 18:34:10
棋戦：R対局(早指2)
手合割：平手
先手：Hefeweizen(2811)
後手：CTF_CTF(2433)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:01/00:00:01)
3 ２六歩(27)   ( 0:21/00:00:43)
4 ８四歩(83)   ( 0:02/00:00:03)
5 ７八金(69)   ( 0:22/00:01:05)
6 ３二金(41)   ( 0:14/00:00:17)
7 ２五歩(26)   ( 0:02/00:01:07)
8 ８五歩(84)   ( 0:04/00:00:21)
9 ２四歩(25)   ( 0:03/00:01:10)
10 ２四歩(23)   ( 0:05/00:00:26)
11 ２四飛(28)   ( 0:03/00:01:13)
12 ８六歩(85)   ( 0:13/00:00:39)
13 ８六歩(87)   ( 0:03/00:01:16)
14 ８六飛(82)   ( 0:05/00:00:44)
15 ２八飛(24)   ( 0:03/00:01:19)
16 ２三歩打     ( 0:21/00:01:05)
17 ６八玉(59)   ( 0:03/00:01:22)
18 ７二銀(71)   ( 0:18/00:01:23)
19 ８七歩打     ( 0:22/00:01:44)
20 ８四飛(86)   ( 0:20/00:01:43)
21 ３八銀(39)   ( 0:22/00:02:06)
22 ５二玉(51)   ( 0:37/00:02:20)
23 ３六歩(37)   ( 0:21/00:02:27)
24 ９四歩(93)   ( 0:27/00:02:47)
25 ９六歩(97)   ( 0:21/00:02:48)
26 ７四飛(84)   ( 0:30/00:03:17)
27 ２二角成(88)   ( 0:22/00:03:10)
28 ２二銀(31)   ( 0:12/00:03:29)
29 ８八銀(79)   ( 0:02/00:03:12)
30 ７六飛(74)   ( 0:30/00:03:59)
31 ７七銀(88)   ( 0:03/00:03:15)
32 ７四飛(76)   ( 0:22/00:04:21)
33 ６六歩(67)   ( 0:03/00:03:18)
34 ８四飛(74)   ( 0:30/00:04:51)
35 ３七銀(38)   ( 0:02/00:03:20)
36 ７四歩(73)   ( 0:29/00:05:20)
37 ５八金(49)   ( 0:03/00:03:23)
38 ７五歩(74)   ( 0:43/00:06:03)
39 ４六銀(37)   ( 0:22/00:03:45)
40 ９五歩(94)   ( 0:43/00:06:46)
41 ９五歩(96)   ( 0:22/00:04:07)
42 ９六歩打     ( 0:53/00:07:39)
43 ８六銀(77)   ( 0:21/00:04:28)
44 ７六歩(75)   ( 0:31/00:08:10)
45 ７九玉(68)   ( 0:03/00:04:31)
46 ６四角打     ( 0:32/00:08:42)
47 ７五角打     ( 0:22/00:04:53)
48 ７五角(64)   ( 0:30/00:09:12)
49 ７五銀(86)   ( 0:02/00:04:55)
50 ８二飛(84)   ( 0:25/00:09:37)
51 ６八金(58)   ( 0:03/00:04:58)
52 ９七歩成(96)   ( 0:30/00:10:07)
53 ９七香(99)   ( 0:22/00:05:20)
54 ９六歩打     ( 0:30/00:10:37)
55 ９六香(97)   ( 0:22/00:05:42)
56 ８五角打     ( 0:14/00:10:51)
57 ７四角打     ( 0:03/00:05:45)
58 ７七歩成(76)   ( 0:23/00:11:14)
59 ７七金(68)   ( 0:21/00:06:06)
60 ４九角成(85)   ( 0:09/00:11:23)
61 ３七桂(29)   ( 0:03/00:06:09)
62 ８五飛(82)   ( 0:30/00:11:53)
63 ７六歩打     ( 0:21/00:06:30)
64 ８二飛(85)   ( 0:10/00:12:03)
65 ８八玉(79)   ( 0:22/00:06:52)
66 ６二金(61)   ( 0:28/00:12:31)
67 ５六角(74)   ( 0:22/00:07:14)
68 ３三銀(22)   ( 0:23/00:12:54)
69 ３五歩(36)   ( 0:21/00:07:35)
70 ３五歩(34)   ( 0:30/00:13:24)
71 ２三角成(56)   ( 0:22/00:07:57)
72 ２七歩打     ( 0:16/00:13:40)
73 ３二馬(23)   ( 0:02/00:07:59)
74 ２八歩成(27)   ( 0:01/00:13:41)
75 ２一馬(32)   ( 0:03/00:08:02)
76 ３八飛打     ( 0:30/00:14:11)
77 ７四桂打     ( 0:21/00:08:23)
78 ８三飛(82)   ( 0:24/00:14:35)
79 １一馬(21)   ( 0:03/00:08:26)
80 ４二銀(33)   ( 0:23/00:14:58)
81 ８六香打     ( 0:02/00:08:28)
82 ７三飛(83)   ( 0:16/00:15:14)
83 ８一香成(86)   ( 0:22/00:08:50)
84 ８一銀(72)   ( 0:24/00:15:38)
85 ６二桂成(74)   ( 0:21/00:09:11)
86 ６二玉(52)   ( 0:05/00:15:43)
87 ７四桂打     ( 0:02/00:09:13)
88 ５二玉(62)   ( 0:22/00:16:05)
89 ６二金打     ( 0:03/00:09:16)
90 ４一玉(52)   ( 0:02/00:16:07)
91 ２二馬(11)   ( 0:02/00:09:18)
92 ８五桂打     ( 0:02/00:16:09)
93 ３二金打     ( 0:03/00:09:21)
94 投了
