開始日時：2018/05/07 19:09:42
棋戦：R対局(早指2)
手合割：平手
先手：tokinnoshochan(1790)
後手：Hefeweizen(2812)
手数----指手---------消費時間--
1 ５六歩(57)   ( 0:07/00:00:07)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ５八飛(28)   ( 0:04/00:00:11)
4 ４二玉(51)   ( 0:03/00:00:24)
5 ４八玉(59)   ( 0:22/00:00:33)
6 １四歩(13)   ( 0:22/00:00:46)
7 １六歩(17)   ( 0:06/00:00:39)
8 ６二銀(71)   ( 0:02/00:00:48)
9 ７六歩(77)   ( 0:29/00:01:08)
10 ５二金(61)   ( 0:22/00:01:10)
11 ５五歩(56)   ( 0:02/00:01:10)
12 ７四歩(73)   ( 0:03/00:01:13)
13 ６八銀(79)   ( 0:04/00:01:14)
14 ７三銀(62)   ( 0:22/00:01:35)
15 ５七銀(68)   ( 0:05/00:01:19)
16 ８四歩(83)   ( 0:02/00:01:37)
17 ６六銀(57)   ( 0:01/00:01:20)
18 ６四銀(73)   ( 0:23/00:02:00)
19 ３八玉(48)   ( 0:05/00:01:25)
20 ４四歩(43)   ( 0:03/00:02:03)
21 ５四歩(55)   ( 0:15/00:01:40)
22 ５四歩(53)   ( 0:22/00:02:25)
23 ５四飛(58)   ( 0:03/00:01:43)
24 ４三金(52)   ( 0:02/00:02:27)
25 ５九飛(54)   ( 0:08/00:01:51)
26 ３二玉(42)   ( 0:03/00:02:30)
27 ５五銀(66)   ( 0:08/00:01:59)
28 ４五歩(44)   ( 0:22/00:02:52)
29 ７八金(69)   ( 0:12/00:02:11)
30 ５五銀(64)   ( 0:03/00:02:55)
31 ５五飛(59)   ( 0:02/00:02:13)
32 ５四歩打     ( 0:22/00:03:17)
33 ５九飛(55)   ( 0:06/00:02:19)
34 ８八角成(22)   ( 0:03/00:03:20)
35 ８八金(78)   ( 0:01/00:02:20)
36 ６八角打     ( 0:03/00:03:23)
37 ５八飛(59)   ( 0:04/00:02:24)
38 ３五角成(68)   ( 0:22/00:03:45)
39 ７七桂(89)   ( 0:19/00:02:43)
40 ５七銀打     ( 0:22/00:04:07)
41 ５九飛(58)   ( 0:03/00:02:46)
42 ６八銀成(57)   ( 0:03/00:04:10)
43 ５六飛(59)   ( 0:05/00:02:51)
44 ６七成銀(68)   ( 0:03/00:04:13)
45 ６五桂(77)   ( 0:02/00:02:53)
46 ５七成銀(67)   ( 0:21/00:04:34)
47 ６六飛(56)   ( 0:02/00:02:55)
48 ４四馬(35)   ( 0:22/00:04:56)
49 ６九飛(66)   ( 0:08/00:03:03)
50 ８八馬(44)   ( 0:03/00:04:59)
51 ７一角打     ( 0:04/00:03:07)
52 ５二飛(82)   ( 0:22/00:05:21)
53 ５三歩打     ( 0:18/00:03:25)
54 ７二飛(52)   ( 0:22/00:05:43)
55 ７三桂成(65)   ( 0:27/00:03:52)
56 ７一飛(72)   ( 0:22/00:06:05)
57 ６三飛成(69)   ( 0:04/00:03:56)
58 ７三飛(71)   ( 0:22/00:06:27)
59 ６二龍(63)   ( 0:01/00:03:57)
60 ４二金打     ( 0:03/00:06:30)
61 ５二銀打     ( 0:04/00:04:01)
62 ５三飛(73)   ( 0:03/00:06:33)
63 ４一銀(52)   ( 0:04/00:04:05)
64 ４一玉(32)   ( 0:03/00:06:36)
65 ６三金打     ( 0:02/00:04:07)
66 ６三飛(53)   ( 0:23/00:06:59)
67 ６三龍(62)   ( 0:03/00:04:10)
68 ３二玉(41)   ( 0:03/00:07:02)
69 ６一龍(63)   ( 0:08/00:04:18)
70 ４四馬(88)   ( 0:23/00:07:25)
71 ８一龍(61)   ( 0:05/00:04:23)
72 ３五桂打     ( 0:22/00:07:47)
73 ２五飛打     ( 0:22/00:04:45)
74 ３三桂(21)   ( 0:03/00:07:50)
75 ３五飛(25)   ( 0:06/00:04:51)
76 ３五歩(34)   ( 0:02/00:07:52)
77 ９一龍(81)   ( 0:05/00:04:56)
78 ６八飛打     ( 0:23/00:08:15)
79 ４八香打     ( 0:08/00:05:04)
80 ５八銀打     ( 0:23/00:08:38)
81 ５九歩打     ( 0:07/00:05:11)
82 ４九銀(58)   ( 0:15/00:08:53)
83 ４九玉(38)   ( 0:13/00:05:24)
84 ４八飛成(68)   ( 0:03/00:08:56)
85 ４八銀(39)   ( 0:02/00:05:26)
86 ４八成銀(57)   ( 0:01/00:08:57)
87 ４八玉(49)   ( 0:02/00:05:28)
88 ５七銀打     ( 0:01/00:08:58)
89 ５七玉(48)   ( 0:02/00:05:30)
90 ６六角打     ( 0:03/00:09:01)
91 ６七玉(57)   ( 0:31/00:06:01)
92 ５七金打     ( 0:01/00:09:02)
93 ７八玉(67)   ( 0:14/00:06:15)
94 ７七角成(66)   ( 0:02/00:09:04)
95 ７九玉(78)   ( 0:02/00:06:17)
96 ７八金打     ( 0:02/00:09:06)
97 投了
