開始日時：2018/05/07 19:28:35
棋戦：R対局(早指)
手合割：平手
先手：BrackRock(2007)
後手：Hefeweizen(2812)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:07/00:00:07)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:10)
4 ８四歩(83)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:03/00:00:13)
6 ８五歩(84)   ( 0:03/00:00:27)
7 ７八金(69)   ( 0:02/00:00:15)
8 ３二金(41)   ( 0:21/00:00:48)
9 ２四歩(25)   ( 0:05/00:00:20)
10 ２四歩(23)   ( 0:02/00:00:50)
11 ２四飛(28)   ( 0:01/00:00:21)
12 ８六歩(85)   ( 0:02/00:00:52)
13 ８六歩(87)   ( 0:02/00:00:23)
14 ８六飛(82)   ( 0:03/00:00:55)
15 ３四飛(24)   ( 0:02/00:00:25)
16 ３三角(22)   ( 0:22/00:01:17)
17 ６八玉(59)   ( 0:14/00:00:39)
18 ２二銀(31)   ( 0:22/00:01:39)
19 ３六歩(37)   ( 0:22/00:01:01)
20 ８二飛(86)   ( 0:02/00:01:41)
21 ８四歩打     ( 0:11/00:01:12)
22 ４二玉(51)   ( 0:21/00:02:02)
23 ３七桂(29)   ( 0:20/00:01:32)
24 ２三銀(22)   ( 0:23/00:02:25)
25 ３五飛(34)   ( 0:25/00:01:57)
26 ８四飛(82)   ( 0:02/00:02:27)
27 ８五歩打     ( 0:27/00:02:24)
28 ２四飛(84)   ( 0:23/00:02:50)
29 ２五桂(37)   ( 0:24/00:02:48)
30 ８八角成(33)   ( 0:22/00:03:12)
31 ８八銀(79)   ( 0:02/00:02:50)
32 ３四歩打     ( 0:03/00:03:15)
33 ６五飛(35)   ( 0:17/00:03:07)
34 ６四歩(63)   ( 0:03/00:03:18)
35 ５五飛(65)   ( 0:29/00:03:36)
36 ３七角打     ( 0:21/00:03:39)
37 ４六角打     ( 0:20/00:03:56)
38 ４六角成(37)   ( 0:23/00:04:02)
39 ４六歩(47)   ( 0:05/00:04:01)
40 ３七角打     ( 0:03/00:04:05)
41 ４五飛(55)   ( 0:22/00:04:23)
42 １九角成(37)   ( 0:23/00:04:28)
43 １五角打     ( 0:22/00:04:45)
44 ４四香打     ( 0:23/00:04:51)
45 ２四角(15)   ( 0:27/00:05:12)
46 ２四銀(23)   ( 0:22/00:05:13)
47 ５五飛(45)   ( 0:03/00:05:15)
48 ４六馬(19)   ( 0:22/00:05:35)
49 ６三飛打     ( 0:02/00:05:17)
50 ６二金(61)   ( 0:25/00:06:00)
51 投了
