開始日時：2018/05/07 19:41:44
棋戦：R対局(早指)
手合割：平手
先手：momozukin2(2037)
後手：Hefeweizen(2812)
手数----指手---------消費時間--
1 ５六歩(57)   ( 0:04/00:00:04)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ５八飛(28)   ( 0:03/00:00:07)
4 ４二玉(51)   ( 0:03/00:00:24)
5 ４八玉(59)   ( 0:03/00:00:10)
6 １四歩(13)   ( 0:22/00:00:46)
7 １六歩(17)   ( 0:44/00:00:54)
8 ８四歩(83)   ( 0:03/00:00:49)
9 ５五歩(56)   ( 0:02/00:00:56)
10 ３二玉(42)   ( 0:22/00:01:11)
11 ７六歩(77)   ( 0:16/00:01:12)
12 ６二銀(71)   ( 0:02/00:01:13)
13 ３八玉(48)   ( 0:03/00:01:15)
14 ４二銀(31)   ( 0:03/00:01:16)
15 ７七角(88)   ( 0:30/00:01:45)
16 ３三銀(42)   ( 0:03/00:01:19)
17 ５四歩(55)   ( 0:28/00:02:13)
18 ４四銀(33)   ( 0:22/00:01:41)
19 ５三歩成(54)   ( 0:19/00:02:32)
20 ５三銀(62)   ( 0:23/00:02:04)
21 ２八玉(38)   ( 0:03/00:02:35)
22 ６四銀(53)   ( 0:21/00:02:25)
23 ６六歩(67)   ( 0:28/00:03:03)
24 ５五銀(64)   ( 0:21/00:02:46)
25 ７八銀(79)   ( 0:29/00:03:32)
26 ５二飛(82)   ( 0:22/00:03:08)
27 ６七銀(78)   ( 0:02/00:03:34)
28 ５六歩打     ( 0:03/00:03:11)
29 ３八銀(39)   ( 0:13/00:03:47)
30 ４五銀(44)   ( 0:22/00:03:33)
31 ６八金(69)   ( 0:29/00:04:16)
32 ７四歩(73)   ( 0:22/00:03:55)
33 ５九飛(58)   ( 0:17/00:04:33)
34 ６二金(61)   ( 0:22/00:04:17)
35 ２六歩(27)   ( 0:25/00:04:58)
36 ６四歩(63)   ( 0:22/00:04:39)
37 ９六歩(97)   ( 0:30/00:05:28)
38 ４四角(22)   ( 0:21/00:05:00)
39 ２七銀(38)   ( 0:03/00:05:31)
40 ６五歩(64)   ( 0:22/00:05:22)
41 ６五歩(66)   ( 0:06/00:05:37)
42 ７三桂(81)   ( 0:03/00:05:25)
43 ５八歩打     ( 0:19/00:05:56)
44 ６五桂(73)   ( 0:02/00:05:27)
45 ８八角(77)   ( 0:08/00:06:04)
46 ６六歩打     ( 0:03/00:05:30)
47 ７八銀(67)   ( 0:03/00:06:07)
48 ３三桂(21)   ( 0:02/00:05:32)
49 ３八金(49)   ( 0:16/00:06:23)
50 ６四銀(55)   ( 0:03/00:05:35)
51 ７七桂(89)   ( 0:30/00:06:53)
52 ３五角(44)   ( 0:22/00:05:57)
53 ７九角(88)   ( 0:29/00:07:22)
54 ７七桂成(65)   ( 0:22/00:06:19)
55 ７七金(68)   ( 0:26/00:07:48)
56 ７九角成(35)   ( 0:22/00:06:41)
57 ７九飛(59)   ( 0:11/00:07:59)
58 ３五桂打     ( 0:02/00:06:43)
59 ８二角打     ( 0:29/00:08:28)
60 ２七桂成(35)   ( 0:03/00:06:46)
61 ２七金(38)   ( 0:07/00:08:35)
62 ５七歩成(56)   ( 0:22/00:07:08)
63 ６四角成(82)   ( 0:19/00:08:54)
64 ６八と(57)   ( 0:22/00:07:30)
65 ５五桂打     ( 0:10/00:09:04)
66 ７九と(68)   ( 0:22/00:07:52)
67 ４三桂成(55)   ( 0:26/00:09:30)
68 ４三玉(32)   ( 0:22/00:08:14)
69 投了
