開始日時：2018/05/07 20:01:16
棋戦：R対局(早指2)
手合割：平手
先手：momozukin2(2037)
後手：Hefeweizen(2812)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:02/00:00:02)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:04/00:00:06)
4 ８五歩(84)   ( 0:23/00:00:44)
5 ２四歩(25)   ( 0:29/00:00:35)
6 ２四歩(23)   ( 0:22/00:01:06)
7 ７八金(69)   ( 0:09/00:00:44)
8 ３二金(41)   ( 0:03/00:01:09)
9 ２四飛(28)   ( 0:01/00:00:45)
10 ２三歩打     ( 0:03/00:01:12)
11 ２五飛(24)   ( 0:24/00:01:09)
12 ７二銀(71)   ( 0:22/00:01:34)
13 ５八玉(59)   ( 0:31/00:01:40)
14 ４二玉(51)   ( 0:22/00:01:56)
15 ４八銀(39)   ( 0:30/00:02:10)
16 ３四歩(33)   ( 0:22/00:02:18)
17 ３六歩(37)   ( 0:40/00:02:50)
18 ８六歩(85)   ( 0:02/00:02:20)
19 ８六歩(87)   ( 0:01/00:02:51)
20 ８六飛(82)   ( 0:02/00:02:22)
21 ８七歩打     ( 0:20/00:03:11)
22 ３六飛(86)   ( 0:02/00:02:24)
23 ３七銀(48)   ( 0:23/00:03:34)
24 ３五飛(36)   ( 0:03/00:02:27)
25 ３五飛(25)   ( 0:02/00:03:36)
26 ３五歩(34)   ( 0:22/00:02:49)
27 ３八金(49)   ( 0:30/00:04:06)
28 ５二玉(42)   ( 0:22/00:03:11)
29 ９六歩(97)   ( 0:28/00:04:34)
30 ４二銀(31)   ( 0:02/00:03:13)
31 ７六歩(77)   ( 0:19/00:04:53)
32 ８八角成(22)   ( 0:22/00:03:35)
33 ８八銀(79)   ( 0:09/00:05:02)
34 ６二玉(52)   ( 0:03/00:03:38)
35 ９五歩(96)   ( 0:24/00:05:26)
36 ７一玉(62)   ( 0:22/00:04:00)
37 ７五歩(76)   ( 0:30/00:05:56)
38 ３六歩(35)   ( 0:22/00:04:22)
39 ２八銀(37)   ( 0:29/00:06:25)
40 ８二歩打     ( 0:21/00:04:43)
41 ７四歩(75)   ( 0:33/00:06:58)
42 ７四歩(73)   ( 0:21/00:05:04)
43 ７七銀(88)   ( 0:24/00:07:22)
44 ３三桂(21)   ( 0:22/00:05:26)
45 ９四歩(95)   ( 1:13/00:08:35)
46 ４五桂(33)   ( 0:23/00:05:49)
47 ７三歩打     ( 0:27/00:09:02)
48 ７三桂(81)   ( 0:22/00:06:11)
49 ９三歩成(94)   ( 0:30/00:09:32)
50 ５七桂成(45)   ( 0:04/00:06:15)
51 ５七玉(58)   ( 0:31/00:10:03)
52 ５九飛打     ( 0:02/00:06:17)
53 ４八玉(57)   ( 0:30/00:10:33)
54 １五角打     ( 0:22/00:06:39)
55 ３七歩打     ( 0:30/00:11:03)
56 ２九飛成(59)   ( 0:22/00:07:01)
57 投了
