開始日時：2018/05/07 20:37:02
棋戦：R対局(早指)
手合割：平手
先手：in0326(1564)
後手：Hefeweizen(2812)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ９六歩(97)   ( 0:02/00:00:04)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ６六歩(67)   ( 0:03/00:00:07)
6 ４二玉(51)   ( 0:22/00:01:05)
7 ７八金(69)   ( 0:04/00:00:11)
8 ８五歩(84)   ( 0:22/00:01:27)
9 ７七角(88)   ( 0:04/00:00:15)
10 ７四歩(73)   ( 0:03/00:01:30)
11 ６八銀(79)   ( 0:04/00:00:19)
12 ６二銀(71)   ( 0:03/00:01:33)
13 １六歩(17)   ( 0:06/00:00:25)
14 ５二金(61)   ( 0:22/00:01:55)
15 １五歩(16)   ( 0:01/00:00:26)
16 ５四歩(53)   ( 0:21/00:02:16)
17 ５六歩(57)   ( 0:01/00:00:27)
18 ７五歩(74)   ( 0:21/00:02:37)
19 ７五歩(76)   ( 0:03/00:00:30)
20 ３二玉(42)   ( 0:03/00:02:40)
21 ６七銀(68)   ( 0:01/00:00:31)
22 ７三銀(62)   ( 0:02/00:02:42)
23 ５八飛(28)   ( 0:03/00:00:34)
24 ６四銀(73)   ( 0:22/00:03:04)
25 ７四歩(75)   ( 0:03/00:00:37)
26 ８四飛(82)   ( 0:03/00:03:07)
27 ４八玉(59)   ( 0:08/00:00:45)
28 ７五銀(64)   ( 0:03/00:03:10)
29 ６五歩(66)   ( 0:09/00:00:54)
30 ７七角成(22)   ( 0:23/00:03:33)
31 ７七金(78)   ( 0:14/00:01:08)
32 ８六歩(85)   ( 0:02/00:03:35)
33 ８六歩(87)   ( 0:03/00:01:11)
34 ８六銀(75)   ( 0:03/00:03:38)
35 ７六金(77)   ( 0:09/00:01:20)
36 ７五銀(86)   ( 0:22/00:04:00)
37 ７五金(76)   ( 0:11/00:01:31)
38 ８九飛成(84)   ( 0:03/00:04:03)
39 ６六角打     ( 0:04/00:01:35)
40 ２二角打     ( 0:22/00:04:25)
41 ２二角成(66)   ( 0:08/00:01:43)
42 ２二銀(31)   ( 0:02/00:04:27)
43 ６六角打     ( 0:03/00:01:46)
44 ３三角打     ( 0:03/00:04:30)
45 ３三角成(66)   ( 0:20/00:02:06)
46 ３三桂(21)   ( 0:03/00:04:33)
47 ６六角打     ( 0:03/00:02:09)
48 ７七歩打     ( 0:03/00:04:36)
49 ８二歩打     ( 0:17/00:02:26)
50 ６九龍(89)   ( 0:22/00:04:58)
51 ７六銀打     ( 0:27/00:02:53)
52 ８九角打     ( 0:22/00:05:20)
53 ５九飛(58)   ( 0:23/00:03:16)
54 ６七龍(69)   ( 0:22/00:05:42)
55 ６七銀(76)   ( 0:03/00:03:19)
56 ６七角成(89)   ( 0:03/00:05:45)
57 ３三角成(66)   ( 0:05/00:03:24)
58 ３三銀(22)   ( 0:03/00:05:48)
59 ８一歩成(82)   ( 0:01/00:03:25)
60 ７八歩成(77)   ( 0:22/00:06:10)
61 １四歩(15)   ( 0:11/00:03:36)
62 ６八と(78)   ( 0:22/00:06:32)
63 １三歩成(14)   ( 0:06/00:03:42)
64 ５九と(68)   ( 0:22/00:06:54)
65 ５九金(49)   ( 0:02/00:03:44)
66 ２八飛打     ( 0:03/00:06:57)
67 ２八銀(39)   ( 0:15/00:03:59)
68 ５七角打     ( 0:02/00:06:59)
69 ３八玉(48)   ( 0:02/00:04:01)
70 ４九銀打     ( 0:01/00:07:00)
71 投了
