開始日時：2018/05/07 21:10:14
棋戦：R対局(早指2)
手合割：平手
先手：Hefeweizen(2812)
後手：chibi-syougiman(2691)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:22/00:00:22)
2 ８四歩(83)   ( 0:01/00:00:01)
3 ７七角(88)   ( 0:22/00:00:44)
4 ３四歩(33)   ( 0:15/00:00:16)
5 ８八銀(79)   ( 0:02/00:00:46)
6 ６二銀(71)   ( 0:22/00:00:38)
7 ２六歩(27)   ( 0:21/00:01:07)
8 ７七角成(22)   ( 0:05/00:00:43)
9 ７七銀(88)   ( 0:03/00:01:10)
10 ２二銀(31)   ( 0:01/00:00:44)
11 ３六歩(37)   ( 0:02/00:01:12)
12 ３二金(41)   ( 0:03/00:00:47)
13 ３八銀(39)   ( 0:02/00:01:14)
14 ７四歩(73)   ( 0:04/00:00:51)
15 ６八玉(59)   ( 0:22/00:01:36)
16 ６四歩(63)   ( 0:08/00:00:59)
17 ７八金(69)   ( 0:03/00:01:39)
18 ６三銀(62)   ( 0:25/00:01:24)
19 ３七銀(38)   ( 0:03/00:01:42)
20 ３三銀(22)   ( 0:08/00:01:32)
21 ４六銀(37)   ( 0:23/00:02:05)
22 ４四歩(43)   ( 0:11/00:01:43)
23 ２五歩(26)   ( 0:02/00:02:07)
24 ４二飛(82)   ( 0:14/00:01:57)
25 ３七桂(29)   ( 0:22/00:02:29)
26 ７三桂(81)   ( 0:12/00:02:09)
27 ９六歩(97)   ( 0:22/00:02:51)
28 ９四歩(93)   ( 0:15/00:02:24)
29 ４八金(49)   ( 0:03/00:02:54)
30 ７二金(61)   ( 1:06/00:03:30)
31 ７九玉(68)   ( 0:02/00:02:56)
32 ５四銀(63)   ( 0:04/00:03:34)
33 ５六歩(57)   ( 0:23/00:03:19)
34 ４五歩(44)   ( 0:03/00:03:37)
35 ５五歩(56)   ( 0:23/00:03:42)
36 ４六歩(45)   ( 0:02/00:03:39)
37 ５四歩(55)   ( 0:02/00:03:44)
38 ５四歩(53)   ( 0:30/00:04:09)
39 ８一角打     ( 0:02/00:03:46)
40 ６二玉(51)   ( 0:20/00:04:29)
41 ４六歩(47)   ( 0:22/00:04:08)
42 ４六飛(42)   ( 0:36/00:05:05)
43 ７二角成(81)   ( 0:23/00:04:31)
44 ７二玉(62)   ( 0:02/00:05:07)
45 ４五金打     ( 0:03/00:04:34)
46 ５七角打     ( 0:29/00:05:36)
47 ８八玉(79)   ( 0:03/00:04:37)
48 ６九銀打     ( 0:44/00:06:20)
49 ５七金(48)   ( 0:23/00:05:00)
50 ４九飛成(46)   ( 0:28/00:06:48)
51 ７九金(78)   ( 0:03/00:05:03)
52 ３九角打     ( 0:19/00:07:07)
53 １六角打     ( 0:22/00:05:25)
54 ５九龍(49)   ( 0:32/00:07:39)
55 ６八銀(77)   ( 0:22/00:05:47)
56 投了
