開始日時：2018/05/07 21:25:39
棋戦：R対局(早指2)
手合割：平手
先手：chikara takano(1586)
後手：Hefeweizen(2823)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:02/00:00:05)
4 ３二金(41)   ( 0:22/00:00:43)
5 ７八金(69)   ( 0:02/00:00:07)
6 ３四歩(33)   ( 0:22/00:01:05)
7 ２五歩(26)   ( 0:02/00:00:09)
8 ８五歩(84)   ( 0:02/00:01:07)
9 ２四歩(25)   ( 0:02/00:00:11)
10 ２四歩(23)   ( 0:22/00:01:29)
11 ２四飛(28)   ( 0:02/00:00:13)
12 ８六歩(85)   ( 0:02/00:01:31)
13 ８六歩(87)   ( 0:02/00:00:15)
14 ８六飛(82)   ( 0:02/00:01:33)
15 ３四飛(24)   ( 0:25/00:00:40)
16 ４二玉(51)   ( 0:03/00:01:36)
17 ３六飛(34)   ( 0:02/00:00:42)
18 ８四飛(86)   ( 0:22/00:01:58)
19 ８七歩打     ( 0:08/00:00:50)
20 ２四飛(84)   ( 0:21/00:02:19)
21 ２八歩打     ( 0:04/00:00:54)
22 ５二玉(42)   ( 0:03/00:02:22)
23 ５八玉(59)   ( 0:04/00:00:58)
24 ３三角(22)   ( 0:02/00:02:24)
25 ３八金(49)   ( 0:02/00:01:00)
26 ８三歩打     ( 0:22/00:02:46)
27 ２七歩(28)   ( 0:02/00:01:02)
28 ６二玉(52)   ( 0:21/00:03:07)
29 ７五歩(76)   ( 0:03/00:01:05)
30 ４二銀(31)   ( 0:21/00:03:28)
31 ９六歩(97)   ( 0:03/00:01:08)
32 ２五飛(24)   ( 0:03/00:03:31)
33 ３三角成(88)   ( 0:26/00:01:34)
34 ３三桂(21)   ( 0:22/00:03:53)
35 ６六飛(36)   ( 0:07/00:01:41)
36 ４四角打     ( 0:23/00:04:16)
37 ３六角打     ( 0:34/00:02:15)
38 ６六角(44)   ( 0:22/00:04:38)
39 ６六歩(67)   ( 0:06/00:02:21)
40 ２一飛(25)   ( 0:03/00:04:41)
41 ６八銀(79)   ( 0:26/00:02:47)
42 ３五歩打     ( 0:22/00:05:03)
43 ６三角成(36)   ( 0:24/00:03:11)
44 ６三玉(62)   ( 0:03/00:05:06)
45 １八角打     ( 0:32/00:03:43)
46 ７六角打     ( 0:22/00:05:28)
47 ６七銀(68)   ( 0:07/00:03:50)
48 ６七角成(76)   ( 0:22/00:05:50)
49 ６七玉(58)   ( 0:25/00:04:15)
50 ６九飛打     ( 0:22/00:06:12)
51 ６八金(78)   ( 0:04/00:04:19)
52 ８九飛成(69)   ( 0:03/00:06:15)
53 ２六歩(27)   ( 0:02/00:04:21)
54 ５四歩(53)   ( 0:22/00:06:37)
55 ３六歩(37)   ( 0:37/00:04:58)
56 ８七龍(89)   ( 0:22/00:06:59)
57 ５八玉(67)   ( 0:23/00:05:21)
58 ６七歩打     ( 0:03/00:07:02)
59 ６九金(68)   ( 0:45/00:06:06)
60 ８八龍(87)   ( 0:22/00:07:24)
61 ６七玉(58)   ( 0:08/00:06:14)
62 ５五桂打     ( 0:25/00:07:49)
63 ７六玉(67)   ( 0:27/00:06:41)
64 ６七銀打     ( 0:17/00:08:06)
65 ６五玉(76)   ( 0:23/00:07:04)
66 ５三銀(42)   ( 0:02/00:08:08)
67 投了
