開始日時：2018/05/07 21:45:00
棋戦：R対局(早指)
手合割：平手
先手：m-nozo(2241)
後手：Hefeweizen(2823)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ７五歩(76)   ( 0:05/00:00:08)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ７八飛(28)   ( 0:02/00:00:10)
6 ３四歩(33)   ( 0:22/00:01:05)
7 ６六歩(67)   ( 0:02/00:00:12)
8 ６四歩(63)   ( 0:21/00:01:26)
9 ４八玉(59)   ( 0:04/00:00:16)
10 １四歩(13)   ( 0:22/00:01:48)
11 １六歩(17)   ( 0:06/00:00:22)
12 ３二銀(31)   ( 0:02/00:01:50)
13 ６八銀(79)   ( 0:06/00:00:28)
14 ６二銀(71)   ( 0:21/00:02:11)
15 ３八銀(39)   ( 0:06/00:00:34)
16 ６三銀(62)   ( 0:22/00:02:33)
17 ３九玉(48)   ( 0:02/00:00:36)
18 ５二金(61)   ( 0:03/00:02:36)
19 ５八金(69)   ( 0:03/00:00:39)
20 ８五歩(84)   ( 0:21/00:02:57)
21 ７六飛(78)   ( 0:05/00:00:44)
22 ７二飛(82)   ( 0:22/00:03:19)
23 ７七角(88)   ( 0:04/00:00:48)
24 ４四歩(43)   ( 0:03/00:03:22)
25 ８八角(77)   ( 0:40/00:01:28)
26 ７四歩(73)   ( 0:22/00:03:44)
27 ７四歩(75)   ( 0:07/00:01:35)
28 ７四銀(63)   ( 0:03/00:03:47)
29 ６五歩(66)   ( 0:02/00:01:37)
30 ７五銀(74)   ( 0:03/00:03:50)
31 ７八飛(76)   ( 0:13/00:01:50)
32 ７六歩打     ( 0:22/00:04:12)
33 ６四歩(65)   ( 0:12/00:02:02)
34 ８六歩(85)   ( 0:03/00:04:15)
35 ８六歩(87)   ( 0:03/00:02:05)
36 ８二飛(72)   ( 0:02/00:04:17)
37 ５五角(88)   ( 0:04/00:02:09)
38 ８六飛(82)   ( 0:03/00:04:20)
39 ６三歩成(64)   ( 0:14/00:02:23)
40 ６三金(52)   ( 0:22/00:04:42)
41 ９一角成(55)   ( 0:04/00:02:27)
42 ８九飛成(86)   ( 0:24/00:05:06)
43 ７九飛(78)   ( 0:01/00:02:28)
44 ８四龍(89)   ( 0:21/00:05:27)
45 ６七銀(68)   ( 0:09/00:02:37)
46 ７七歩成(76)   ( 0:23/00:05:50)
47 ７七飛(79)   ( 0:07/00:02:44)
48 ４五歩(44)   ( 0:22/00:06:12)
49 ６六歩打     ( 0:02/00:02:46)
50 ５二金(41)   ( 0:21/00:06:33)
51 ７九飛(77)   ( 0:26/00:03:12)
52 ７六歩打     ( 0:23/00:06:56)
53 ７六銀(67)   ( 0:29/00:03:41)
54 ８八龍(84)   ( 0:21/00:07:17)
55 ７五銀(76)   ( 0:03/00:03:44)
56 ７九龍(88)   ( 0:03/00:07:20)
57 ６四銀(75)   ( 0:02/00:03:46)
58 ６二金(63)   ( 0:02/00:07:22)
59 ２八玉(39)   ( 0:29/00:04:15)
60 ８九飛打     ( 0:22/00:07:44)
61 ５九香打     ( 0:06/00:04:21)
62 ６三歩打     ( 0:23/00:08:07)
63 ８七歩打     ( 0:16/00:04:37)
64 ６四歩(63)   ( 0:21/00:08:28)
65 ８一馬(91)   ( 0:03/00:04:40)
66 ５四銀打     ( 0:03/00:08:31)
67 ２六桂打     ( 0:24/00:05:04)
68 ４三銀(32)   ( 0:23/00:08:54)
69 １五歩(16)   ( 0:30/00:05:34)
70 ６六角(22)   ( 0:23/00:09:17)
71 １四歩(15)   ( 0:06/00:05:40)
72 ８七飛成(89)   ( 0:22/00:09:39)
73 ９二馬(81)   ( 0:09/00:05:49)
74 ９九角成(66)   ( 0:22/00:10:01)
75 １三歩成(14)   ( 0:08/00:05:57)
76 １三香(11)   ( 0:03/00:10:04)
77 １四歩打     ( 0:02/00:05:59)
78 １四香(13)   ( 0:03/00:10:07)
79 １四香(19)   ( 0:06/00:06:05)
80 １三歩打     ( 0:22/00:10:29)
81 ８八歩打     ( 0:10/00:06:15)
82 ８八馬(99)   ( 0:23/00:10:52)
83 ８九歩打     ( 0:02/00:06:17)
84 ２二馬(88)   ( 0:22/00:11:14)
85 ８八銀打     ( 0:04/00:06:21)
86 ７二龍(79)   ( 0:22/00:11:36)
87 投了
