開始日時：2018/05/07 22:07:21
棋戦：R対局(早指2)
手合割：平手
先手：yuitsu(303)
後手：Hefeweizen(2823)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:02/00:00:02)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:01/00:00:03)
4 ８五歩(84)   ( 0:02/00:00:23)
5 ２四歩(25)   ( 0:01/00:00:04)
6 ２四歩(23)   ( 0:22/00:00:45)
7 ２四飛(28)   ( 0:20/00:00:24)
8 ８六歩(85)   ( 0:22/00:01:07)
9 ８六歩(87)   ( 0:04/00:00:28)
10 ８七歩打     ( 0:03/00:01:10)
11 ２三歩打     ( 0:08/00:00:36)
12 ８八歩成(87)   ( 0:03/00:01:13)
13 ６八銀(79)   ( 0:09/00:00:45)
14 ３二金(41)   ( 0:22/00:01:35)
15 ２二歩成(23)   ( 0:02/00:00:47)
16 ２二銀(31)   ( 0:21/00:01:56)
17 ４五角打     ( 0:06/00:00:53)
18 ２三歩打     ( 0:22/00:02:18)
19 ２六飛(24)   ( 0:02/00:00:55)
20 ５二玉(51)   ( 0:03/00:02:21)
21 ６六歩(67)   ( 0:07/00:01:02)
22 ８六飛(82)   ( 0:22/00:02:43)
23 ６七銀(68)   ( 0:24/00:01:26)
24 ８九と(88)   ( 0:21/00:03:04)
25 ４六歩(47)   ( 0:07/00:01:33)
26 ８八飛成(86)   ( 0:23/00:03:27)
27 ５八金(69)   ( 0:07/00:01:40)
28 ７九と(89)   ( 0:22/00:03:49)
29 ４八玉(59)   ( 0:03/00:01:43)
30 ６九と(79)   ( 0:03/00:03:52)
31 ３八玉(48)   ( 0:22/00:02:05)
32 ６八と(69)   ( 0:23/00:04:15)
33 ８九歩打     ( 0:07/00:02:12)
34 ７七龍(88)   ( 0:22/00:04:37)
35 ６八金(58)   ( 0:21/00:02:33)
36 ６八龍(77)   ( 0:22/00:04:59)
37 ５八金(49)   ( 0:01/00:02:34)
38 ７九龍(68)   ( 0:22/00:05:21)
39 ５六角(45)   ( 0:05/00:02:39)
40 ８九龍(79)   ( 0:22/00:05:43)
41 ７八銀(67)   ( 0:12/00:02:51)
42 ９九龍(89)   ( 0:23/00:06:06)
43 ８三角成(56)   ( 0:03/00:02:54)
44 ２四香打     ( 0:22/00:06:28)
45 ２五歩打     ( 0:09/00:03:03)
46 ３四桂打     ( 0:21/00:06:49)
47 ２八飛(26)   ( 0:22/00:03:25)
48 ４六桂(34)   ( 0:22/00:07:11)
49 ４七玉(38)   ( 0:02/00:03:27)
50 ３九龍(99)   ( 0:22/00:07:33)
51 投了
