開始日時：2018/05/07 22:20:04
棋戦：R対局(早指2)
手合割：平手
先手：7775553(1629)
後手：Hefeweizen(2823)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:05/00:00:05)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:13/00:00:18)
4 ３四歩(33)   ( 0:02/00:00:23)
5 ２五歩(26)   ( 0:11/00:00:29)
6 ３二金(41)   ( 0:02/00:00:25)
7 ２四歩(25)   ( 0:11/00:00:40)
8 ２四歩(23)   ( 0:22/00:00:47)
9 ２四飛(28)   ( 0:02/00:00:42)
10 ２三歩打     ( 0:03/00:00:50)
11 ２八飛(24)   ( 0:05/00:00:47)
12 ８四歩(83)   ( 0:03/00:00:53)
13 ６六歩(67)   ( 0:19/00:01:06)
14 ６四歩(63)   ( 0:22/00:01:15)
15 ７八金(69)   ( 0:15/00:01:21)
16 ６二銀(71)   ( 0:03/00:01:18)
17 ５八金(49)   ( 0:25/00:01:46)
18 ８五歩(84)   ( 0:23/00:01:41)
19 ７七角(88)   ( 0:03/00:01:49)
20 ７四歩(73)   ( 0:02/00:01:43)
21 ６七金(58)   ( 0:16/00:02:05)
22 ７三銀(62)   ( 0:21/00:02:04)
23 ８八銀(79)   ( 0:19/00:02:24)
24 ８四銀(73)   ( 0:21/00:02:25)
25 ５六歩(57)   ( 0:29/00:02:53)
26 ７五歩(74)   ( 0:23/00:02:48)
27 ６八角(77)   ( 0:16/00:03:09)
28 ３三角(22)   ( 0:03/00:02:51)
29 ２四歩打     ( 0:29/00:03:38)
30 ２四歩(23)   ( 0:23/00:03:14)
31 ２四角(68)   ( 0:03/00:03:41)
32 ２四角(33)   ( 0:03/00:03:17)
33 ２四飛(28)   ( 0:02/00:03:43)
34 ２二銀(31)   ( 0:03/00:03:20)
35 ２八飛(24)   ( 0:17/00:04:00)
36 ７六歩(75)   ( 0:22/00:03:42)
37 ４八銀(39)   ( 0:29/00:04:29)
38 ５二金(61)   ( 0:23/00:04:05)
39 ６五歩(66)   ( 0:28/00:04:57)
40 ７五銀(84)   ( 0:22/00:04:27)
41 ６四歩(65)   ( 0:16/00:05:13)
42 ４四角打     ( 0:02/00:04:29)
43 ４六角打     ( 0:31/00:05:44)
44 ６二飛(82)   ( 0:22/00:04:51)
45 ５七銀(48)   ( 1:20/00:07:04)
46 ２七歩打     ( 0:22/00:05:13)
47 ２七飛(28)   ( 0:16/00:07:20)
48 ３三桂(21)   ( 0:02/00:05:15)
49 ６三歩成(64)   ( 0:33/00:07:53)
50 ６三飛(62)   ( 0:23/00:05:38)
51 ６六歩打     ( 0:06/00:07:59)
52 ２六歩打     ( 0:22/00:06:00)
53 ２八飛(27)   ( 0:09/00:08:08)
54 ４五桂(33)   ( 0:03/00:06:03)
55 ９一角成(46)   ( 0:30/00:08:38)
56 ５七桂成(45)   ( 0:23/00:06:26)
57 ５七金(67)   ( 0:12/00:08:50)
58 ６六銀(75)   ( 0:04/00:06:30)
59 ５八金(57)   ( 0:29/00:09:19)
60 ３九銀打     ( 0:21/00:06:51)
61 ３八飛(28)   ( 0:25/00:09:44)
62 ２七歩成(26)   ( 0:04/00:06:55)
63 ３九飛(38)   ( 0:27/00:10:11)
64 ２八と(27)   ( 0:03/00:06:58)
65 ６四歩打     ( 0:24/00:10:35)
66 ６二飛(63)   ( 0:03/00:07:01)
67 ４六香打     ( 0:31/00:11:06)
68 ３九と(28)   ( 0:22/00:07:23)
69 ４四香(46)   ( 0:04/00:11:10)
70 ６七歩打     ( 0:03/00:07:26)
71 ６七金(78)   ( 0:28/00:11:38)
72 ６七銀成(66)   ( 0:23/00:07:49)
73 ６七金(58)   ( 0:11/00:11:49)
74 ２八飛打     ( 0:02/00:07:51)
75 投了
