開始日時：2018/05/07 23:27:07
棋戦：R対局(早指)
手合割：平手
先手：Hefeweizen(2823)
後手：Fujitora(2626)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:22/00:00:22)
2 ８四歩(83)   ( 0:05/00:00:05)
3 ２五歩(26)   ( 0:22/00:00:44)
4 ８五歩(84)   ( 0:03/00:00:08)
5 ７六歩(77)   ( 0:21/00:01:05)
6 ３二金(41)   ( 0:05/00:00:13)
7 ７七角(88)   ( 0:22/00:01:27)
8 ６二銀(71)   ( 0:05/00:00:18)
9 ６八銀(79)   ( 0:23/00:01:50)
10 １四歩(13)   ( 0:15/00:00:33)
11 ７八金(69)   ( 0:22/00:02:12)
12 ４二銀(31)   ( 0:11/00:00:44)
13 ３八銀(39)   ( 0:22/00:02:34)
14 ５四歩(53)   ( 0:07/00:00:51)
15 ３六歩(37)   ( 0:22/00:02:56)
16 ５三銀(62)   ( 0:04/00:00:55)
17 ３七銀(38)   ( 0:03/00:02:59)
18 ４四銀(53)   ( 0:21/00:01:16)
19 ５八金(49)   ( 0:22/00:03:21)
20 ３四歩(33)   ( 0:09/00:01:25)
21 ２四歩(25)   ( 0:03/00:03:24)
22 ２四歩(23)   ( 0:01/00:01:26)
23 ２四飛(28)   ( 0:02/00:03:26)
24 ２三歩打     ( 0:01/00:01:27)
25 ２八飛(24)   ( 0:03/00:03:29)
26 ３三銀(42)   ( 0:06/00:01:33)
27 ４六歩(47)   ( 0:21/00:03:50)
28 ５五歩(54)   ( 0:07/00:01:40)
29 ６六歩(67)   ( 0:22/00:04:12)
30 ３一角(22)   ( 0:03/00:01:43)
31 ６七銀(68)   ( 0:22/00:04:34)
32 ４一玉(51)   ( 0:02/00:01:45)
33 ２六銀(37)   ( 0:02/00:04:36)
34 ８六歩(85)   ( 0:10/00:01:55)
35 ８六角(77)   ( 0:22/00:04:58)
36 ８六角(31)   ( 0:01/00:01:56)
37 ８六歩(87)   ( 0:02/00:05:00)
38 ８六飛(82)   ( 0:01/00:01:57)
39 ８七歩打     ( 0:02/00:05:02)
40 ８二飛(86)   ( 0:01/00:01:58)
41 ６八玉(59)   ( 0:22/00:05:24)
42 １五歩(14)   ( 0:12/00:02:10)
43 ３七桂(29)   ( 0:22/00:05:46)
44 ２四銀(33)   ( 0:28/00:02:38)
45 ７九玉(68)   ( 0:03/00:05:49)
46 ９四歩(93)   ( 0:19/00:02:57)
47 ４五桂(37)   ( 0:22/00:06:11)
48 ９五歩(94)   ( 0:29/00:03:26)
49 ８八玉(79)   ( 0:22/00:06:33)
50 ７四歩(73)   ( 0:14/00:03:40)
51 ３五歩(36)   ( 0:02/00:06:35)
52 ７五歩(74)   ( 0:29/00:04:09)
53 ７五歩(76)   ( 0:23/00:06:58)
54 ５六歩(55)   ( 0:04/00:04:13)
55 ５六歩(57)   ( 0:03/00:07:01)
56 ６四角打     ( 0:15/00:04:28)
57 ４八飛(28)   ( 0:05/00:07:06)
58 ４五銀(44)   ( 0:17/00:04:45)
59 ４五歩(46)   ( 0:22/00:07:28)
60 １九角成(64)   ( 0:02/00:04:47)
61 ２二歩打     ( 0:03/00:07:31)
62 ８六歩打     ( 0:28/00:05:15)
63 ８六歩(87)   ( 0:21/00:07:52)
64 １三桂(21)   ( 0:03/00:05:18)
65 ２一歩成(22)   ( 0:22/00:08:14)
66 ９四桂打     ( 0:01/00:05:19)
67 ２八歩打     ( 0:21/00:08:35)
68 ８六桂(94)   ( 0:12/00:05:31)
69 ７七金(78)   ( 0:22/00:08:57)
70 ９六歩(95)   ( 0:02/00:05:33)
71 ８五歩打     ( 0:03/00:09:00)
72 ９七歩成(96)   ( 0:21/00:05:54)
73 ９七香(99)   ( 0:22/00:09:22)
74 ９七香成(91)   ( 0:02/00:05:56)
75 ９七玉(88)   ( 0:22/00:09:44)
76 ７三桂(81)   ( 0:10/00:06:06)
77 ８六金(77)   ( 0:22/00:10:06)
78 投了
