開始日時：2018/05/07 23:45:11
棋戦：R対局(早指2)
手合割：平手
先手：Manchester_city(2014)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:05)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ７八金(69)   ( 0:05/00:00:10)
6 ８五歩(84)   ( 0:03/00:00:45)
7 ２五歩(26)   ( 0:05/00:00:15)
8 ３二金(41)   ( 0:02/00:00:47)
9 ２四歩(25)   ( 0:03/00:00:18)
10 ２四歩(23)   ( 0:03/00:00:50)
11 ２四飛(28)   ( 0:03/00:00:21)
12 ４二玉(51)   ( 0:02/00:00:52)
13 ２六飛(24)   ( 0:21/00:00:42)
14 ２三歩打     ( 0:22/00:01:14)
15 ６八玉(59)   ( 0:09/00:00:51)
16 ７二銀(71)   ( 0:03/00:01:17)
17 ３八銀(39)   ( 0:15/00:01:06)
18 ７四歩(73)   ( 0:22/00:01:39)
19 ３六歩(37)   ( 0:28/00:01:34)
20 ８六歩(85)   ( 0:21/00:02:00)
21 ８六歩(87)   ( 0:11/00:01:45)
22 ８六飛(82)   ( 0:03/00:02:03)
23 ３五歩(36)   ( 0:14/00:01:59)
24 ８八飛成(86)   ( 0:23/00:02:26)
25 ８八銀(79)   ( 0:02/00:02:01)
26 ５五角打     ( 0:03/00:02:29)
27 ８二歩打     ( 0:10/00:02:11)
28 ７三桂(81)   ( 0:22/00:02:51)
29 ７七銀(88)   ( 0:37/00:02:48)
30 ８八歩打     ( 0:22/00:03:13)
31 ８一歩成(82)   ( 0:18/00:03:06)
32 ８一銀(72)   ( 0:22/00:03:35)
33 ８三飛打     ( 0:27/00:03:33)
34 ７二銀(81)   ( 0:22/00:03:57)
35 ８八飛成(83)   ( 0:12/00:03:45)
36 １九角成(55)   ( 0:03/00:04:00)
37 ３七桂(29)   ( 0:25/00:04:10)
38 ５五角(22)   ( 0:22/00:04:22)
39 ４六歩(47)   ( 0:37/00:04:47)
40 ４四角(55)   ( 0:21/00:04:43)
41 ４五桂(37)   ( 0:39/00:05:26)
42 ３五角(44)   ( 0:22/00:05:05)
43 １六飛(26)   ( 0:39/00:06:05)
44 ４四歩(43)   ( 0:02/00:05:07)
45 ３三歩打     ( 0:19/00:06:24)
46 ４三金(32)   ( 0:23/00:05:30)
47 ２二歩打     ( 0:30/00:06:54)
48 ２二銀(31)   ( 0:22/00:05:52)
49 ５三桂成(45)   ( 0:23/00:07:17)
50 ５三金(43)   ( 0:22/00:06:14)
51 ８二龍(88)   ( 0:39/00:07:56)
52 ５六歩打     ( 0:22/00:06:36)
53 ５六歩(57)   ( 0:25/00:08:21)
54 ４六馬(19)   ( 0:22/00:06:58)
55 ４六飛(16)   ( 0:22/00:08:43)
56 ４六角(35)   ( 0:02/00:07:00)
57 投了
