開始日時：2018/05/08 01:15:51
棋戦：R対局(15分)
手合割：平手
先手：koronkoron(1011)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:09/00:00:09)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:07/00:00:16)
4 ４二玉(51)   ( 0:22/00:00:43)
5 ２五歩(26)   ( 0:05/00:00:21)
6 ３二金(41)   ( 0:22/00:01:05)
7 ７八金(69)   ( 0:04/00:00:25)
8 ８四歩(83)   ( 0:21/00:01:26)
9 ５八玉(59)   ( 0:04/00:00:29)
10 ８五歩(84)   ( 0:21/00:01:47)
11 ２四歩(25)   ( 0:04/00:00:33)
12 ２四歩(23)   ( 0:03/00:01:50)
13 ２四飛(28)   ( 0:04/00:00:37)
14 ８六歩(85)   ( 0:03/00:01:53)
15 ８六歩(87)   ( 0:04/00:00:41)
16 ８六飛(82)   ( 0:02/00:01:55)
17 ３四飛(24)   ( 0:02/00:00:43)
18 ３三角(22)   ( 0:21/00:02:16)
19 ３六飛(34)   ( 0:07/00:00:50)
20 ２二銀(31)   ( 0:03/00:02:19)
21 ３八金(49)   ( 0:12/00:01:02)
22 ８四飛(86)   ( 0:22/00:02:41)
23 ８七歩打     ( 0:13/00:01:15)
24 ２四飛(84)   ( 0:23/00:03:04)
25 ２八銀(39)   ( 0:05/00:01:20)
26 １四歩(13)   ( 0:22/00:03:26)
27 ７五歩(76)   ( 0:06/00:01:26)
28 ２七歩打     ( 0:03/00:03:29)
29 ２七銀(28)   ( 0:23/00:01:49)
30 ８八角成(33)   ( 0:23/00:03:52)
31 ８八銀(79)   ( 0:06/00:01:55)
32 ５四角打     ( 0:03/00:03:55)
33 ２六飛(36)   ( 0:09/00:02:04)
34 ２六飛(24)   ( 0:23/00:04:18)
35 ２六銀(27)   ( 0:15/00:02:19)
36 ７六飛打     ( 0:02/00:04:20)
37 ７七桂(89)   ( 0:14/00:02:33)
38 ２六飛(76)   ( 0:23/00:04:43)
39 ２八歩打     ( 0:04/00:02:37)
40 ２七歩打     ( 0:03/00:04:46)
41 ７四歩(75)   ( 0:18/00:02:55)
42 ２八歩成(27)   ( 0:23/00:05:09)
43 ４八金(38)   ( 0:14/00:03:09)
44 １九と(28)   ( 0:22/00:05:31)
45 ７三歩成(74)   ( 0:11/00:03:20)
46 ２九飛成(26)   ( 0:23/00:05:54)
47 ４九飛打     ( 0:53/00:04:13)
48 ３九銀打     ( 0:22/00:06:16)
49 ６八玉(58)   ( 0:13/00:04:26)
50 ４八銀成(39)   ( 0:23/00:06:39)
51 ２九飛(49)   ( 0:07/00:04:33)
52 ２九と(19)   ( 0:03/00:06:42)
53 投了
