開始日時：2018/05/08 01:34:20
棋戦：R対局(早指2)
手合割：平手
先手：rasukarusuzuka(2248)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:05)
4 ８四歩(83)   ( 0:02/00:00:23)
5 ２五歩(26)   ( 0:02/00:00:07)
6 ８五歩(84)   ( 0:02/00:00:25)
7 ７八金(69)   ( 0:02/00:00:09)
8 ３二金(41)   ( 0:03/00:00:28)
9 ２四歩(25)   ( 0:02/00:00:11)
10 ２四歩(23)   ( 0:03/00:00:31)
11 ２四飛(28)   ( 0:03/00:00:14)
12 ８六歩(85)   ( 0:02/00:00:33)
13 ８六歩(87)   ( 0:02/00:00:16)
14 ８六飛(82)   ( 0:04/00:00:37)
15 ３四飛(24)   ( 0:03/00:00:19)
16 ３三角(22)   ( 0:22/00:00:59)
17 ５八玉(59)   ( 0:17/00:00:36)
18 ２二銀(31)   ( 0:22/00:01:21)
19 ３六歩(37)   ( 0:19/00:00:55)
20 ８二飛(86)   ( 0:22/00:01:43)
21 ３七桂(29)   ( 0:08/00:01:03)
22 ４二玉(51)   ( 0:21/00:02:04)
23 ８四歩打     ( 0:23/00:01:26)
24 ９四歩(93)   ( 0:02/00:02:06)
25 ４五桂(37)   ( 0:11/00:01:37)
26 ８八角成(33)   ( 0:22/00:02:28)
27 ８八銀(79)   ( 0:12/00:01:49)
28 ３三桂(21)   ( 0:03/00:02:31)
29 ３五飛(34)   ( 1:29/00:03:18)
30 ４五桂(33)   ( 0:21/00:02:52)
31 ４五飛(35)   ( 0:02/00:03:20)
32 ８四飛(82)   ( 0:02/00:02:54)
33 ６六角打     ( 0:19/00:03:39)
34 ２四飛(84)   ( 0:23/00:03:17)
35 ２五歩打     ( 0:10/00:03:49)
36 ６四飛(24)   ( 0:22/00:03:39)
37 ８五飛(45)   ( 0:16/00:04:05)
38 ８四歩打     ( 0:22/00:04:01)
39 ８四飛(85)   ( 0:06/00:04:11)
40 ８四飛(64)   ( 0:02/00:04:03)
41 ８四角(66)   ( 0:02/00:04:13)
42 ５二玉(42)   ( 0:03/00:04:06)
43 ６六角(84)   ( 0:21/00:04:34)
44 ２七角打     ( 0:03/00:04:09)
45 ３八銀(39)   ( 0:06/00:04:40)
46 ２八飛打     ( 0:02/00:04:11)
47 ３七桂打     ( 0:19/00:04:59)
48 反則勝ち
