開始日時：2018/05/08 01:48:08
棋戦：R対局(早指)
手合割：平手
先手：kokepiyoko(2498)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ３二金(41)   ( 0:21/00:00:21)
3 ７五歩(76)   ( 0:14/00:00:17)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ７八飛(28)   ( 0:14/00:00:31)
6 ８八角成(22)   ( 0:24/00:01:06)
7 ８八銀(79)   ( 0:03/00:00:34)
8 ４五角打     ( 0:03/00:01:09)
9 ７四歩(75)   ( 0:02/00:00:36)
10 ７四歩(73)   ( 0:22/00:01:31)
11 ５八金(69)   ( 0:16/00:00:52)
12 ２七角成(45)   ( 0:23/00:01:54)
13 ５五角打     ( 0:01/00:00:53)
14 ２二銀(31)   ( 0:22/00:02:16)
15 ８二角成(55)   ( 0:22/00:01:15)
16 ８二銀(71)   ( 0:22/00:02:38)
17 ７四飛(78)   ( 0:03/00:01:18)
18 ７三銀(82)   ( 0:02/00:02:40)
19 ７八飛(74)   ( 0:16/00:01:34)
20 １四歩(13)   ( 0:03/00:02:43)
21 ３八金(49)   ( 0:27/00:02:01)
22 ５四馬(27)   ( 0:23/00:03:06)
23 ２八銀(39)   ( 0:03/00:02:04)
24 ４二玉(51)   ( 0:22/00:03:28)
25 ２七銀(28)   ( 0:23/00:02:27)
26 １五歩(14)   ( 0:03/00:03:31)
27 ３六歩(37)   ( 0:14/00:02:41)
28 ２四歩(23)   ( 0:23/00:03:54)
29 ４八玉(59)   ( 0:25/00:03:06)
30 ６四歩(63)   ( 0:03/00:03:57)
31 ３九玉(48)   ( 0:28/00:03:34)
32 ２五歩(24)   ( 0:22/00:04:19)
33 ４六歩(47)   ( 0:29/00:04:03)
34 ２六歩(25)   ( 0:21/00:04:40)
35 ２六銀(27)   ( 0:10/00:04:13)
36 ３六馬(54)   ( 0:21/00:05:01)
37 ３七銀(26)   ( 0:17/00:04:30)
38 ６九角打     ( 0:03/00:05:04)
39 ３六銀(37)   ( 0:22/00:04:52)
40 ７八角成(69)   ( 0:03/00:05:07)
41 ６三角打     ( 0:01/00:04:53)
42 ３一金(32)   ( 0:02/00:05:09)
43 ２三歩打     ( 0:28/00:05:21)
44 ３三銀(22)   ( 0:03/00:05:12)
45 ８一角成(63)   ( 0:28/00:05:49)
46 ８八馬(78)   ( 0:03/00:05:15)
47 ９一馬(81)   ( 0:28/00:06:17)
48 ７九飛打     ( 0:22/00:05:37)
49 ５九香打     ( 0:05/00:06:22)
50 ８九馬(88)   ( 0:03/00:05:40)
51 ４五桂打     ( 0:08/00:06:30)
52 ６七馬(89)   ( 0:03/00:05:43)
53 ６七金(58)   ( 0:29/00:06:59)
54 ５九飛成(79)   ( 0:03/00:05:46)
55 ４九飛打     ( 0:22/00:07:21)
56 ５八龍(59)   ( 0:03/00:05:49)
57 ７三馬(91)   ( 0:17/00:07:38)
58 ２四香打     ( 0:22/00:06:11)
59 ４八飛(49)   ( 0:30/00:08:08)
60 ２八銀打     ( 0:22/00:06:33)
61 ２八金(38)   ( 0:04/00:08:12)
62 ２八香成(24)   ( 0:04/00:06:37)
63 ２八玉(39)   ( 0:03/00:08:15)
64 ４八龍(58)   ( 0:03/00:06:40)
65 ３八歩打     ( 0:05/00:08:20)
66 ４九飛打     ( 0:22/00:07:02)
67 ７四馬(73)   ( 0:29/00:08:49)
68 ３九飛成(49)   ( 0:04/00:07:06)
69 投了
