開始日時：2018/05/08 02:11:30
棋戦：R対局(早指2)
手合割：平手
先手：FF10GT(874)
後手：Hefeweizen(2834)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:09/00:00:09)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:12/00:00:21)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ４八銀(39)   ( 0:27/00:00:48)
6 ８四歩(83)   ( 0:22/00:01:04)
7 ２五歩(26)   ( 0:20/00:01:08)
8 ８五歩(84)   ( 0:22/00:01:26)
9 ７八金(69)   ( 0:06/00:01:14)
10 ３二金(41)   ( 0:02/00:01:28)
11 ２四歩(25)   ( 0:13/00:01:27)
12 ２四歩(23)   ( 0:22/00:01:50)
13 ２四飛(28)   ( 0:03/00:01:30)
14 ８六歩(85)   ( 0:03/00:01:53)
15 ８六歩(87)   ( 0:02/00:01:32)
16 ８六飛(82)   ( 0:02/00:01:55)
17 ２六飛(24)   ( 0:10/00:01:42)
18 ８八角成(22)   ( 0:23/00:02:18)
19 ８八銀(79)   ( 0:04/00:01:46)
20 ４四角打     ( 0:03/00:02:21)
21 ７七角打     ( 1:25/00:03:11)
22 ８八飛成(86)   ( 0:22/00:02:43)
23 ８八角(77)   ( 0:01/00:03:12)
24 ２六角(44)   ( 0:03/00:02:46)
25 １一角成(88)   ( 0:03/00:03:15)
26 ４四角(26)   ( 0:03/00:02:49)
27 ２一馬(11)   ( 0:23/00:03:38)
28 ２七飛打     ( 0:21/00:03:10)
29 ３二馬(21)   ( 0:25/00:04:03)
30 ３二銀(31)   ( 0:04/00:03:14)
31 ６六香打     ( 0:28/00:04:31)
32 ２九飛成(27)   ( 0:22/00:03:36)
33 ３六桂打     ( 0:23/00:04:54)
34 ３八銀打     ( 0:22/00:03:58)
35 ３九金打     ( 0:15/00:05:09)
36 ４九銀成(38)   ( 0:22/00:04:20)
37 ４九金(39)   ( 0:23/00:05:32)
38 ３五角(44)   ( 0:02/00:04:22)
39 ６三香成(66)   ( 0:31/00:06:03)
40 ３八金打     ( 0:21/00:04:43)
41 ５八銀打     ( 0:12/00:06:15)
42 ８六角打     ( 0:22/00:05:05)
43 投了
