開始日時：2018/05/08 02:26:43
棋戦：R対局(早指2)
手合割：平手
先手：Hefeweizen(2834)
後手：Programmer(3050)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:01/00:00:01)
3 ２五歩(26)   ( 0:21/00:00:43)
4 ３三角(22)   ( 0:06/00:00:07)
5 ７六歩(77)   ( 0:03/00:00:46)
6 ４四歩(43)   ( 0:03/00:00:10)
7 ５八金(49)   ( 0:22/00:01:08)
8 ３二銀(31)   ( 0:05/00:00:15)
9 ６八玉(59)   ( 0:21/00:01:29)
10 ４二飛(82)   ( 0:02/00:00:17)
11 ９六歩(97)   ( 0:21/00:01:50)
12 ９四歩(93)   ( 0:01/00:00:18)
13 ４八銀(39)   ( 0:03/00:01:53)
14 ７二銀(71)   ( 0:02/00:00:20)
15 ７八玉(68)   ( 0:03/00:01:56)
16 ６二玉(51)   ( 0:05/00:00:25)
17 ５六歩(57)   ( 0:02/00:01:58)
18 ７一玉(62)   ( 0:03/00:00:28)
19 ７七角(88)   ( 0:22/00:02:20)
20 ５二金(41)   ( 0:12/00:00:40)
21 ８八玉(78)   ( 0:02/00:02:22)
22 ６四歩(63)   ( 0:24/00:01:04)
23 ７八金(69)   ( 0:22/00:02:44)
24 ７四歩(73)   ( 0:07/00:01:11)
25 ９八香(99)   ( 0:02/00:02:46)
26 ７三桂(81)   ( 0:05/00:01:16)
27 ９九玉(88)   ( 0:02/00:02:48)
28 ４三銀(32)   ( 0:25/00:01:41)
29 ６六歩(67)   ( 0:03/00:02:51)
30 ８二玉(71)   ( 0:26/00:02:07)
31 ６七金(58)   ( 0:22/00:03:13)
32 ８四歩(83)   ( 0:19/00:02:26)
33 ３六歩(37)   ( 0:22/00:03:35)
34 ８三銀(72)   ( 0:14/00:02:40)
35 ８八銀(79)   ( 0:22/00:03:57)
36 ７二金(61)   ( 0:03/00:02:43)
37 ５七銀(48)   ( 0:02/00:03:59)
38 ４五歩(44)   ( 0:30/00:03:13)
39 ２四歩(25)   ( 0:21/00:04:20)
40 ２四歩(23)   ( 0:57/00:04:10)
41 ６五歩(66)   ( 0:21/00:04:41)
42 ７七角成(33)   ( 0:02/00:04:12)
43 ７七桂(89)   ( 0:02/00:04:43)
44 ２二飛(42)   ( 0:03/00:04:15)
45 ６四歩(65)   ( 0:02/00:04:45)
46 ３三角打     ( 0:11/00:04:26)
47 ７五歩(76)   ( 0:02/00:04:47)
48 ７五歩(74)   ( 0:06/00:04:32)
49 ６六銀(57)   ( 0:02/00:04:49)
