開始日時：2018/05/08 02:52:51
棋戦：R対局(早指)
手合割：平手
先手：Programmer(3025)
後手：Hefeweizen(2859)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:01/00:00:01)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:01/00:00:02)
4 ３二金(41)   ( 0:02/00:00:23)
5 ７八金(69)   ( 0:03/00:00:05)
6 ８五歩(84)   ( 0:03/00:00:26)
7 ７七角(88)   ( 0:02/00:00:07)
8 ４二銀(31)   ( 0:02/00:00:28)
9 ６八銀(79)   ( 0:14/00:00:21)
10 ３四歩(33)   ( 0:22/00:00:50)
11 ２二角成(77)   ( 0:10/00:00:31)
12 ２二金(32)   ( 0:23/00:01:13)
13 ７七銀(68)   ( 0:02/00:00:33)
14 ３三銀(42)   ( 0:02/00:01:15)
15 ３八銀(39)   ( 0:07/00:00:40)
16 ７四歩(73)   ( 0:22/00:01:37)
17 ３六歩(37)   ( 0:21/00:01:01)
18 ７二銀(71)   ( 0:22/00:01:59)
19 ２五歩(26)   ( 0:09/00:01:10)
20 ７三銀(72)   ( 0:22/00:02:21)
21 ４六歩(47)   ( 0:27/00:01:37)
22 ４二玉(51)   ( 0:22/00:02:43)
23 ４七銀(38)   ( 0:23/00:02:00)
24 ６四銀(73)   ( 0:21/00:03:04)
25 ３七桂(29)   ( 0:29/00:02:29)
26 ５二金(61)   ( 0:03/00:03:07)
27 ２九飛(28)   ( 0:24/00:02:53)
28 ４四歩(43)   ( 0:21/00:03:28)
29 ４八金(49)   ( 0:17/00:03:10)
30 ３二金(22)   ( 0:24/00:03:52)
31 ５八玉(59)   ( 0:20/00:03:30)
32 １四歩(13)   ( 0:23/00:04:15)
33 １六歩(17)   ( 0:11/00:03:41)
34 ３一玉(42)   ( 0:22/00:04:37)
35 ９六歩(97)   ( 0:30/00:04:11)
36 ４二金(52)   ( 0:22/00:04:59)
37 ６六銀(77)   ( 0:28/00:04:39)
38 ５四角打     ( 0:02/00:05:01)
39 ７七金(78)   ( 0:29/00:05:08)
40 ７三桂(81)   ( 0:03/00:05:04)
41 ５六歩(57)   ( 0:15/00:05:23)
42 ２二玉(31)   ( 0:03/00:05:07)
43 ５五銀(66)   ( 0:26/00:05:49)
44 ５五銀(64)   ( 0:22/00:05:29)
45 ５五歩(56)   ( 0:04/00:05:53)
46 ４三角(54)   ( 0:02/00:05:31)
47 ４五歩(46)   ( 0:26/00:06:19)
48 ６五桂(73)   ( 0:03/00:05:34)
49 ６六金(77)   ( 0:26/00:06:45)
50 ８六歩(85)   ( 0:22/00:05:56)
51 ７三角打     ( 0:05/00:06:50)
52 ８五飛(82)   ( 0:03/00:05:59)
53 ９五角成(73)   ( 0:29/00:07:19)
54 ９五飛(85)   ( 0:22/00:06:21)
55 ９五歩(96)   ( 0:05/00:07:24)
56 ４五歩(44)   ( 0:03/00:06:24)
57 ２四歩(25)   ( 0:26/00:07:50)
58 ２四銀(33)   ( 0:23/00:06:47)
59 ８二飛打     ( 0:27/00:08:17)
60 ４六銀打     ( 0:22/00:07:09)
61 ５六銀打     ( 0:30/00:08:47)
62 ８七歩成(86)   ( 0:03/00:07:12)
63 ４六銀(47)   ( 0:27/00:09:14)
64 ４六歩(45)   ( 0:23/00:07:35)
65 ４四銀打     ( 0:03/00:09:17)
66 ７八と(87)   ( 0:03/00:07:38)
67 ４三銀成(44)   ( 0:08/00:09:25)
68 ５七銀打     ( 0:03/00:07:41)
69 ５七金(48)   ( 0:02/00:09:27)
70 ５七桂成(65)   ( 0:04/00:07:45)
71 ５七玉(58)   ( 0:02/00:09:29)
72 ６八角打     ( 0:02/00:07:47)
73 ４八玉(57)   ( 0:06/00:09:35)
74 ４三金(32)   ( 0:03/00:07:50)
75 ５一銀打     ( 0:27/00:10:02)
76 ４七銀打     ( 0:23/00:08:13)
77 ４七銀(56)   ( 0:09/00:10:11)
78 ４七歩成(46)   ( 0:03/00:08:16)
79 ４七玉(48)   ( 0:03/00:10:14)
80 ４六銀打     ( 0:02/00:08:18)
81 ３八玉(47)   ( 0:03/00:10:17)
82 ４七金打     ( 0:02/00:08:20)
83 ２八玉(38)   ( 0:02/00:10:19)
84 ３七銀成(46)   ( 0:22/00:08:42)
85 １八玉(28)   ( 0:01/00:10:20)
86 ４六角成(68)   ( 0:22/00:09:04)
87 ３一銀打     ( 0:28/00:10:48)
88 ３一玉(22)   ( 0:22/00:09:26)
89 ４二銀成(51)   ( 0:28/00:11:16)
90 ４二金(43)   ( 0:03/00:09:29)
91 投了
