開始日時：2018/05/08 03:19:37
棋戦：R対局(早指2)
手合割：平手
先手：yoshi.mili.36(698)
後手：Hefeweizen(2882)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:06)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ７八金(69)   ( 0:07/00:00:13)
6 ８四歩(83)   ( 0:22/00:01:04)
7 ２五歩(26)   ( 0:03/00:00:16)
8 ３二金(41)   ( 0:22/00:01:26)
9 １六歩(17)   ( 0:04/00:00:20)
10 ８五歩(84)   ( 0:21/00:01:47)
11 ２四歩(25)   ( 0:03/00:00:23)
12 ２四歩(23)   ( 0:21/00:02:08)
13 ２四飛(28)   ( 0:02/00:00:25)
14 ８六歩(85)   ( 0:02/00:02:10)
15 ８六歩(87)   ( 0:03/00:00:28)
16 ８六飛(82)   ( 0:03/00:02:13)
17 ３四飛(24)   ( 0:02/00:00:30)
18 ８二飛(86)   ( 0:22/00:02:35)
19 ５八玉(59)   ( 0:06/00:00:36)
20 ８六歩打     ( 0:22/00:02:57)
21 ８四歩打     ( 0:06/00:00:42)
22 ７二銀(71)   ( 0:02/00:02:59)
23 ２二角成(88)   ( 0:06/00:00:48)
24 ２二銀(31)   ( 0:21/00:03:20)
25 ７五角打     ( 0:04/00:00:52)
26 ３三銀(22)   ( 0:22/00:03:42)
27 ３六飛(34)   ( 0:04/00:00:56)
28 ７四歩(73)   ( 0:03/00:03:45)
29 ８六角(75)   ( 0:05/00:01:01)
30 ８四飛(82)   ( 0:03/00:03:48)
31 ８七歩打     ( 0:16/00:01:17)
32 ２四歩打     ( 0:03/00:03:51)
33 ５六飛(36)   ( 0:03/00:01:20)
34 ５二金(61)   ( 0:21/00:04:12)
35 ７七桂(89)   ( 0:03/00:01:23)
36 ７三桂(81)   ( 0:22/00:04:34)
37 ９六歩(97)   ( 0:04/00:01:27)
38 ９四歩(93)   ( 0:03/00:04:37)
39 ２八銀(39)   ( 0:20/00:01:47)
40 ８五歩打     ( 0:22/00:04:59)
41 ９七角(86)   ( 0:04/00:01:51)
42 ９五歩(94)   ( 0:21/00:05:20)
43 ８八角(97)   ( 0:04/00:01:55)
44 ９六歩(95)   ( 0:03/00:05:23)
45 ９八歩打     ( 0:07/00:02:02)
46 ４四歩(43)   ( 0:02/00:05:25)
47 ６六歩(67)   ( 0:08/00:02:10)
48 ９七歩成(96)   ( 0:22/00:05:47)
49 ９七歩(98)   ( 0:02/00:02:12)
50 ９八歩打     ( 0:03/00:05:50)
51 ６五桂(77)   ( 0:07/00:02:19)
52 ９九歩成(98)   ( 0:21/00:06:11)
53 ７三桂成(65)   ( 0:07/00:02:26)
54 ７三銀(72)   ( 0:02/00:06:13)
55 ６五歩(66)   ( 0:03/00:02:29)
56 ８九と(99)   ( 0:22/00:06:35)
57 ６六角(88)   ( 0:04/00:02:33)
58 ９四飛(84)   ( 0:21/00:06:56)
59 ５五角(66)   ( 0:07/00:02:40)
60 ６二銀(73)   ( 0:22/00:07:18)
61 ８二角成(55)   ( 0:17/00:02:57)
62 ７九と(89)   ( 0:22/00:07:40)
63 ７九金(78)   ( 0:03/00:03:00)
64 ９七飛成(94)   ( 0:22/00:08:02)
65 ４八玉(58)   ( 0:09/00:03:09)
66 ９八龍(97)   ( 0:02/00:08:04)
67 ３九玉(48)   ( 0:29/00:03:38)
68 ２七桂打     ( 0:02/00:08:06)
69 投了
