開始日時：2018/05/08 03:41:15
棋戦：R対局(長考)
手合割：平手
先手：81Universe(1552)
後手：Hefeweizen(2882)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:06/00:00:06)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:07/00:00:13)
4 ６二銀(71)   ( 0:21/00:00:42)
5 ６八飛(28)   ( 0:07/00:00:20)
6 １四歩(13)   ( 0:22/00:01:04)
7 ４八玉(59)   ( 0:06/00:00:26)
8 １五歩(14)   ( 0:22/00:01:26)
9 ３八玉(48)   ( 0:02/00:00:28)
10 ４二玉(51)   ( 0:22/00:01:48)
11 ２八玉(38)   ( 0:05/00:00:33)
12 ５四歩(53)   ( 0:22/00:02:10)
13 １八香(19)   ( 0:04/00:00:37)
14 ４四角(22)   ( 0:03/00:02:13)
15 ７八銀(79)   ( 0:43/00:01:20)
16 ２四歩(23)   ( 0:23/00:02:36)
17 １九玉(28)   ( 0:25/00:01:45)
18 ２二銀(31)   ( 0:22/00:02:58)
19 ２八銀(39)   ( 0:09/00:01:54)
20 ２三銀(22)   ( 0:23/00:03:21)
21 ３九金(49)   ( 0:13/00:02:07)
22 ３二玉(42)   ( 0:22/00:03:43)
23 ６七銀(78)   ( 0:12/00:02:19)
24 ８四歩(83)   ( 0:22/00:04:05)
25 ５八金(69)   ( 0:09/00:02:28)
26 ２二玉(32)   ( 0:02/00:04:07)
27 ７七角(88)   ( 0:57/00:03:25)
28 ５二金(61)   ( 0:03/00:04:10)
29 ３六歩(37)   ( 1:12/00:04:37)
30 ５三銀(62)   ( 0:22/00:04:32)
31 ４六歩(47)   ( 0:32/00:05:09)
32 ３二金(41)   ( 0:03/00:04:35)
33 ９八香(99)   ( 0:12/00:05:21)
34 ３三角(44)   ( 0:21/00:04:56)
35 ９六歩(97)   ( 0:08/00:05:29)
36 ４二金(52)   ( 0:22/00:05:18)
37 ７八飛(68)   ( 0:08/00:05:37)
38 ７二飛(82)   ( 0:22/00:05:40)
39 ５六歩(57)   ( 0:31/00:06:08)
40 １二香(11)   ( 0:22/00:06:02)
41 ４八金(58)   ( 1:30/00:07:38)
42 １一玉(22)   ( 0:23/00:06:25)
43 ３八金(48)   ( 0:03/00:07:41)
44 ８五歩(84)   ( 0:22/00:06:47)
45 ７五歩(76)   ( 4:54/00:12:35)
46 ２二金(32)   ( 0:03/00:06:50)
47 ８八角(77)   ( 0:10/00:12:45)
48 ２五歩(24)   ( 0:22/00:07:12)
49 ７六飛(78)   ( 0:15/00:13:00)
50 ３二金(42)   ( 0:03/00:07:15)
51 ９七角(88)   ( 0:10/00:13:10)
52 ４四銀(53)   ( 0:22/00:07:37)
53 ７七桂(89)   ( 0:22/00:13:32)
54 ２四角(33)   ( 0:22/00:07:59)
55 ４七金(38)   ( 0:10/00:13:42)
56 ３五歩(34)   ( 0:22/00:08:21)
57 ３五歩(36)   ( 0:15/00:13:57)
58 ３五銀(44)   ( 0:02/00:08:23)
59 ７九角(97)   ( 0:11/00:14:08)
60 ３六歩打     ( 0:02/00:08:25)
61 ５八銀(67)   ( 0:11/00:14:19)
62 ２六歩(25)   ( 0:23/00:08:48)
63 ２六歩(27)   ( 0:02/00:14:21)
64 ２六銀(35)   ( 0:03/00:08:51)
65 ２七歩打     ( 0:02/00:14:23)
66 ３七歩成(36)   ( 0:03/00:08:54)
67 ３七銀(28)   ( 0:11/00:14:34)
68 ２七銀成(26)   ( 0:23/00:09:17)
69 ６五桂(77)   ( 0:26/00:15:00)
70 ４二角(24)   ( 0:22/00:09:39)
71 ７四歩(75)   ( 0:40/00:15:40)
72 ７四歩(73)   ( 0:22/00:10:01)
73 ７三歩打     ( 0:02/00:15:42)
74 ７五歩(74)   ( 0:22/00:10:23)
75 ７二歩成(73)   ( 0:12/00:15:54)
76 ７六歩(75)   ( 0:23/00:10:46)
77 ５七角(79)   ( 0:15/00:16:09)
78 ８八飛打     ( 0:02/00:10:48)
79 ４八金(47)   ( 0:10/00:16:19)
80 １六歩(15)   ( 0:22/00:11:10)
81 １六歩(17)   ( 0:03/00:16:22)
82 １七歩打     ( 0:22/00:11:32)
83 １七桂(29)   ( 0:02/00:16:24)
84 ３七成銀(27)   ( 0:05/00:11:37)
85 投了
