開始日時：2018/05/08 04:56:54
棋戦：R対局(早指)
手合割：平手
先手：momozukin2(1946)
後手：Hefeweizen(2882)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:02/00:00:05)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ２五歩(26)   ( 0:02/00:00:07)
6 ８五歩(84)   ( 0:03/00:00:46)
7 ７八金(69)   ( 0:01/00:00:08)
8 ３二金(41)   ( 0:03/00:00:49)
9 ２四歩(25)   ( 0:04/00:00:12)
10 ２四歩(23)   ( 0:02/00:00:51)
11 ２四飛(28)   ( 0:01/00:00:13)
12 ８六歩(85)   ( 0:03/00:00:54)
13 ８六歩(87)   ( 0:02/00:00:15)
14 ８六飛(82)   ( 0:02/00:00:56)
15 ３四飛(24)   ( 0:01/00:00:16)
16 ４二玉(51)   ( 0:22/00:01:18)
17 ２四飛(34)   ( 0:27/00:00:43)
18 ８八角成(22)   ( 0:23/00:01:41)
19 ８八銀(79)   ( 0:03/00:00:46)
20 ３三角打     ( 0:03/00:01:44)
21 ２一飛成(24)   ( 0:10/00:00:56)
22 ８八角成(33)   ( 0:23/00:02:07)
23 ７五角打     ( 0:28/00:01:24)
24 ７六飛(86)   ( 0:22/00:02:29)
25 ７七歩打     ( 0:20/00:01:44)
26 ７五飛(76)   ( 0:02/00:02:31)
27 ８八金(78)   ( 0:02/00:01:46)
28 ２三角打     ( 0:03/00:02:34)
29 ５八金(49)   ( 0:30/00:02:16)
30 ２二銀打     ( 0:22/00:02:56)
31 ２八歩打     ( 0:30/00:02:46)
32 ３三金(32)   ( 0:22/00:03:18)
33 ８七歩打     ( 0:30/00:03:16)
34 ３二角(23)   ( 0:22/00:03:40)
35 ３二龍(21)   ( 0:25/00:03:41)
36 ３二玉(42)   ( 0:02/00:03:42)
37 ６八玉(59)   ( 0:22/00:04:03)
38 ８六歩打     ( 0:22/00:04:04)
39 ２七角打     ( 0:29/00:04:32)
40 ８七歩成(86)   ( 0:23/00:04:27)
41 ８七金(88)   ( 0:04/00:04:36)
42 ８六歩打     ( 0:03/00:04:30)
43 ８八金(87)   ( 0:08/00:04:44)
44 ８五飛(75)   ( 0:03/00:04:33)
45 ７九桂打     ( 0:04/00:04:48)
46 ８七歩成(86)   ( 0:22/00:04:55)
47 ８七金(88)   ( 0:10/00:04:58)
48 ８七飛成(85)   ( 0:03/00:04:58)
49 ８七桂(79)   ( 0:01/00:04:59)
50 ８八飛打     ( 0:02/00:05:00)
51 ７八角打     ( 0:04/00:05:03)
52 ８六歩打     ( 0:22/00:05:22)
53 ８三飛打     ( 0:21/00:05:24)
54 ８七歩成(86)   ( 0:22/00:05:44)
55 ８七飛成(83)   ( 0:07/00:05:31)
56 ８七飛成(88)   ( 0:04/00:05:48)
57 ８七角(78)   ( 0:01/00:05:32)
58 ８八飛打     ( 0:02/00:05:50)
59 ７八角(87)   ( 0:02/00:05:34)
60 ８六桂打     ( 0:22/00:06:12)
61 ７九飛打     ( 0:01/00:05:35)
62 ７八桂成(86)   ( 0:22/00:06:34)
63 ７八飛(79)   ( 0:02/00:05:37)
64 ８七角打     ( 0:02/00:06:36)
65 ５六歩(57)   ( 0:05/00:05:42)
66 ７八角成(87)   ( 0:03/00:06:39)
67 ５七玉(68)   ( 0:02/00:05:44)
68 ７九馬(78)   ( 0:03/00:06:42)
69 ６八桂打     ( 0:01/00:05:45)
70 ６九飛打     ( 0:03/00:06:45)
71 ４八銀(39)   ( 0:10/00:05:55)
72 ６八飛成(69)   ( 0:03/00:06:48)
73 ６八金(58)   ( 0:03/00:05:58)
74 ６八馬(79)   ( 0:02/00:06:50)
75 ６六玉(57)   ( 0:02/00:06:00)
76 ８六飛成(88)   ( 0:03/00:06:53)
77 ７六飛打     ( 0:07/00:06:07)
78 ６四金打     ( 0:02/00:06:55)
79 ８七歩打     ( 0:14/00:06:21)
80 ６五金打     ( 0:01/00:06:56)
81 投了
