開始日時：2018/05/08 05:12:40
棋戦：R対局(早指2)
手合割：平手
先手：fwpower(1658)
後手：Hefeweizen(2882)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:01/00:00:02)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:02/00:00:04)
6 ８五歩(84)   ( 0:03/00:00:45)
7 ７八金(69)   ( 0:02/00:00:06)
8 ３二金(41)   ( 0:22/00:01:07)
9 ２四歩(25)   ( 0:18/00:00:24)
10 ２四歩(23)   ( 0:22/00:01:29)
11 ２四飛(28)   ( 0:11/00:00:35)
12 ８六歩(85)   ( 0:03/00:01:32)
13 ８六歩(87)   ( 0:20/00:00:55)
14 ８六飛(82)   ( 0:03/00:01:35)
15 ３四飛(24)   ( 0:14/00:01:09)
16 ３三角(22)   ( 0:22/00:01:57)
17 ３六飛(34)   ( 0:27/00:01:36)
18 ２二銀(31)   ( 0:02/00:01:59)
19 ８七歩打     ( 0:06/00:01:42)
20 ８四飛(86)   ( 0:03/00:02:02)
21 ２六飛(36)   ( 0:01/00:01:43)
22 ５二玉(51)   ( 0:02/00:02:04)
23 ３八銀(39)   ( 0:01/00:01:44)
24 ７四歩(73)   ( 0:21/00:02:25)
25 ６八玉(59)   ( 0:01/00:01:45)
26 ７二銀(71)   ( 0:02/00:02:27)
27 ３六歩(37)   ( 0:02/00:01:47)
28 ７五歩(74)   ( 0:22/00:02:49)
29 ７五歩(76)   ( 0:03/00:01:50)
30 ８六歩打     ( 0:03/00:02:52)
31 ８六歩(87)   ( 0:03/00:01:53)
32 ８六飛(84)   ( 0:02/00:02:54)
33 ８七歩打     ( 0:03/00:01:56)
34 ７六飛(86)   ( 0:03/00:02:57)
35 ３七桂(29)   ( 0:03/00:01:59)
36 ８八角成(33)   ( 0:23/00:03:20)
37 ８八銀(79)   ( 0:02/00:02:01)
38 ４四角打     ( 0:03/00:03:23)
39 ２四飛(26)   ( 0:07/00:02:08)
40 ８八角成(44)   ( 0:23/00:03:46)
41 ８八金(78)   ( 0:02/00:02:10)
42 ７九銀打     ( 0:03/00:03:49)
43 ５八玉(68)   ( 0:04/00:02:14)
44 ８八銀成(79)   ( 0:04/00:03:53)
45 ４八玉(58)   ( 0:04/00:02:18)
46 ７八飛成(76)   ( 0:22/00:04:15)
47 ３九玉(48)   ( 0:02/00:02:20)
48 ９九成銀(88)   ( 0:22/00:04:37)
49 ３四飛(24)   ( 0:09/00:02:29)
50 ３三銀(22)   ( 0:24/00:05:01)
51 ３五飛(34)   ( 0:10/00:02:39)
52 ２七歩打     ( 0:03/00:05:04)
53 ２九歩打     ( 0:06/00:02:45)
54 ２六香打     ( 0:22/00:05:26)
55 ５八角打     ( 0:20/00:03:05)
56 ６八金打     ( 0:03/00:05:29)
57 ８六角打     ( 0:05/00:03:10)
58 ５八金(68)   ( 0:03/00:05:32)
59 ５八金(49)   ( 0:02/00:03:12)
60 ５八龍(78)   ( 0:03/00:05:35)
61 ４九金打     ( 0:03/00:03:15)
62 ２八金打     ( 0:02/00:05:37)
63 ２八歩(29)   ( 0:02/00:03:17)
64 ２八歩成(27)   ( 0:02/00:05:39)
65 投了
