開始日時：2018/05/08 05:31:54
棋戦：R対局(早指)
手合割：平手
先手：ryouko makoto(595)
後手：Hefeweizen(2882)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 １六歩(17)   ( 0:01/00:00:03)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ６八飛(28)   ( 0:02/00:00:05)
6 ７四歩(73)   ( 0:22/00:01:05)
7 ７八銀(79)   ( 0:01/00:00:06)
8 ７三桂(81)   ( 0:22/00:01:27)
9 ４八玉(59)   ( 0:02/00:00:08)
10 １四歩(13)   ( 0:21/00:01:48)
11 ３八玉(48)   ( 0:01/00:00:09)
12 ８五歩(84)   ( 0:22/00:02:10)
13 ７七角(88)   ( 0:02/00:00:11)
14 ６二銀(71)   ( 0:22/00:02:32)
15 ２八玉(38)   ( 0:02/00:00:13)
16 １三角(22)   ( 0:21/00:02:53)
17 ５八金(69)   ( 0:02/00:00:15)
18 ６五桂(73)   ( 0:22/00:03:15)
19 ６六角(77)   ( 0:04/00:00:19)
20 ８六歩(85)   ( 0:02/00:03:17)
21 ８六歩(87)   ( 0:02/00:00:21)
22 ８六飛(82)   ( 0:03/00:03:20)
23 ８七歩打     ( 0:01/00:00:22)
24 ７六飛(86)   ( 0:22/00:03:42)
25 １五歩(16)   ( 0:02/00:00:24)
26 ６六飛(76)   ( 0:21/00:04:03)
27 ６六歩(67)   ( 0:01/00:00:25)
28 ５七桂成(65)   ( 0:04/00:04:07)
29 ５七金(58)   ( 0:02/00:00:27)
30 ５七角成(13)   ( 0:22/00:04:29)
31 ５八金(49)   ( 0:02/00:00:29)
32 ６八馬(57)   ( 0:03/00:04:32)
33 ６八金(58)   ( 0:01/00:00:30)
34 １五歩(14)   ( 0:03/00:04:35)
35 ８一飛打     ( 0:04/00:00:34)
36 ７一金(61)   ( 0:23/00:04:58)
37 ９一飛成(81)   ( 0:02/00:00:36)
38 １六歩(15)   ( 0:04/00:05:02)
39 ８六香打     ( 0:16/00:00:52)
40 １七歩成(16)   ( 0:23/00:05:25)
41 １七香(19)   ( 0:02/00:00:54)
42 １七香成(11)   ( 0:22/00:05:47)
43 １七桂(29)   ( 0:01/00:00:55)
44 投了
