開始日時：2018/05/08 05:53:59
棋戦：R対局(早指)
手合割：平手
先手：Hefeweizen(2882)
後手：tanabekun(2516)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:03/00:00:03)
3 ２六歩(27)   ( 0:21/00:00:43)
4 ４四歩(43)   ( 0:02/00:00:05)
5 ４八銀(39)   ( 0:21/00:01:04)
6 ３三角(22)   ( 0:01/00:00:06)
7 ６八玉(59)   ( 0:21/00:01:25)
8 ４二飛(82)   ( 0:01/00:00:07)
9 ９六歩(97)   ( 0:02/00:01:27)
10 ３二銀(31)   ( 0:01/00:00:08)
11 ９五歩(96)   ( 0:21/00:01:48)
12 ６二玉(51)   ( 0:01/00:00:09)
13 ５六歩(57)   ( 0:22/00:02:10)
14 ７二玉(62)   ( 0:02/00:00:11)
15 ５八金(49)   ( 0:03/00:02:13)
16 ８二玉(72)   ( 0:01/00:00:12)
17 ７八玉(68)   ( 0:22/00:02:35)
18 ９二香(91)   ( 0:02/00:00:14)
19 ７七角(88)   ( 0:21/00:02:56)
20 ４三銀(32)   ( 0:03/00:00:17)
21 ８六歩(87)   ( 0:22/00:03:18)
22 ９一玉(82)   ( 0:04/00:00:21)
23 ５七銀(48)   ( 0:02/00:03:20)
24 ８二銀(71)   ( 0:02/00:00:23)
25 ８八玉(78)   ( 0:21/00:03:41)
26 ７一金(61)   ( 0:01/00:00:24)
27 ７八銀(79)   ( 0:22/00:04:03)
28 ５二金(41)   ( 0:03/00:00:27)
29 ２五歩(26)   ( 0:22/00:04:25)
30 ６四歩(63)   ( 0:03/00:00:30)
31 ８七銀(78)   ( 0:22/00:04:47)
32 ７四歩(73)   ( 0:02/00:00:32)
33 ７八金(69)   ( 0:02/00:04:49)
34 ６三金(52)   ( 0:12/00:00:44)
35 ９八玉(88)   ( 0:03/00:04:52)
36 ７二飛(42)   ( 0:02/00:00:46)
37 ６六銀(57)   ( 0:03/00:04:55)
38 ６五歩(64)   ( 0:02/00:00:48)
39 ６五銀(66)   ( 0:22/00:05:17)
40 ７三桂(81)   ( 0:02/00:00:50)
41 ６六歩(67)   ( 0:22/00:05:39)
42 ６五桂(73)   ( 0:06/00:00:56)
43 ６五歩(66)   ( 0:03/00:05:42)
44 ５四銀(43)   ( 0:01/00:00:57)
45 ６七金(58)   ( 0:03/00:05:45)
46 ７五歩(74)   ( 0:03/00:01:00)
47 ７五歩(76)   ( 0:03/00:05:48)
48 ７五飛(72)   ( 0:01/00:01:01)
49 ６六金(67)   ( 0:22/00:06:10)
50 ７七飛成(75)   ( 0:05/00:01:06)
51 ７七金(78)   ( 0:22/00:06:32)
52 ４五歩(44)   ( 0:01/00:01:07)
53 ５五桂打     ( 0:02/00:06:34)
54 ３九角打     ( 0:22/00:01:29)
55 ７八飛(28)   ( 0:04/00:06:38)
56 ５五銀(54)   ( 0:14/00:01:43)
57 ５五歩(56)   ( 0:03/00:06:41)
58 ７四桂打     ( 0:01/00:01:44)
59 ５六金(66)   ( 0:03/00:06:44)
60 ６六銀打     ( 0:04/00:01:48)
61 ７二歩打     ( 0:22/00:07:06)
62 ７二金(71)   ( 0:01/00:01:49)
63 ６六金(77)   ( 0:21/00:07:27)
64 ７一歩打     ( 0:25/00:02:14)
65 ３一飛打     ( 0:03/00:07:30)
66 ９四歩(93)   ( 0:09/00:02:23)
67 ８五銀打     ( 0:22/00:07:52)
68 ６六角成(39)   ( 0:20/00:02:43)
69 ６六金(56)   ( 0:02/00:07:54)
70 ９五歩(94)   ( 0:18/00:03:01)
71 ７四銀(85)   ( 0:21/00:08:15)
72 ７四金(63)   ( 0:07/00:03:08)
73 ７四飛(78)   ( 0:03/00:08:18)
74 ８一銀打     ( 0:04/00:03:12)
75 ２一飛成(31)   ( 0:22/00:08:40)
76 ９六歩(95)   ( 0:07/00:03:19)
77 投了
