開始日時：2018/05/08 06:09:02
棋戦：R対局(早指2)
手合割：平手
先手：hana-no-keiji(1327)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:04/00:00:07)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ２二角成(88)   ( 0:07/00:00:14)
6 ２二銀(31)   ( 0:22/00:01:05)
7 ８八銀(79)   ( 0:02/00:00:16)
8 ６二銀(71)   ( 0:02/00:01:07)
9 ２五歩(26)   ( 0:02/00:00:18)
10 ３三銀(22)   ( 0:22/00:01:29)
11 ４八銀(39)   ( 0:02/00:00:20)
12 ８五歩(84)   ( 0:24/00:01:53)
13 ７七銀(88)   ( 0:03/00:00:23)
14 ７四歩(73)   ( 0:03/00:01:56)
15 ４六歩(47)   ( 0:11/00:00:34)
16 ７三銀(62)   ( 0:22/00:02:18)
17 ３六歩(37)   ( 0:10/00:00:44)
18 ３二金(41)   ( 0:22/00:02:40)
19 ３七桂(29)   ( 0:01/00:00:45)
20 ４二玉(51)   ( 0:22/00:03:02)
21 ６八玉(59)   ( 0:26/00:01:11)
22 ８六歩(85)   ( 0:22/00:03:24)
23 ８六歩(87)   ( 0:06/00:01:17)
24 ７五歩(74)   ( 0:02/00:03:26)
25 ７八金(69)   ( 0:33/00:01:50)
26 ７六歩(75)   ( 0:22/00:03:48)
27 ７六銀(77)   ( 0:02/00:01:52)
28 ８六飛(82)   ( 0:02/00:03:50)
29 ８七銀(76)   ( 0:10/00:02:02)
30 ８二飛(86)   ( 0:02/00:03:52)
31 ８六歩打     ( 0:02/00:02:04)
32 ５五角打     ( 0:03/00:03:55)
33 ７七桂(89)   ( 0:25/00:02:29)
34 ６四銀(73)   ( 0:22/00:04:17)
35 ５八金(49)   ( 0:27/00:02:56)
36 ７五銀(64)   ( 0:22/00:04:39)
37 ４五桂(37)   ( 0:02/00:02:58)
38 ４六角(55)   ( 0:21/00:05:00)
39 ３三桂成(45)   ( 0:24/00:03:22)
40 ３三桂(21)   ( 0:22/00:05:22)
41 ３七角打     ( 0:03/00:03:25)
42 ３七角成(46)   ( 0:23/00:05:45)
43 ３七銀(48)   ( 0:03/00:03:28)
44 ６四角打     ( 0:03/00:05:48)
45 ４六歩打     ( 0:07/00:03:35)
46 ７六歩打     ( 0:23/00:06:11)
47 ６五桂(77)   ( 0:03/00:03:38)
48 ８六銀(75)   ( 0:21/00:06:32)
49 ７六銀(87)   ( 0:27/00:04:05)
50 ７五歩打     ( 0:02/00:06:34)
51 ８三歩打     ( 0:18/00:04:23)
52 ７二飛(82)   ( 0:02/00:06:36)
53 ８五銀(76)   ( 0:07/00:04:30)
54 ７六歩(75)   ( 0:22/00:06:58)
55 ７四銀打     ( 0:03/00:04:33)
56 ７七歩成(76)   ( 0:24/00:07:22)
57 ７七金(78)   ( 0:02/00:04:35)
58 ７七銀(86)   ( 0:03/00:07:25)
59 ７七玉(68)   ( 0:02/00:04:37)
60 ７六歩打     ( 0:03/00:07:28)
61 ７八玉(77)   ( 0:33/00:05:10)
62 ４五桂打     ( 0:22/00:07:50)
63 ７三歩打     ( 0:04/00:05:14)
64 ３七桂成(45)   ( 0:23/00:08:13)
65 ２九飛(28)   ( 0:07/00:05:21)
66 ７七銀打     ( 0:22/00:08:35)
67 ６九玉(78)   ( 0:03/00:05:24)
68 ８六角(64)   ( 0:02/00:08:37)
69 投了
