開始日時：2018/05/08 06:25:31
棋戦：R対局(早指2)
手合割：平手
先手：suitemelody(1231)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:01/00:00:02)
4 ４二玉(51)   ( 0:22/00:00:43)
5 ７八金(69)   ( 0:09/00:00:11)
6 ６二銀(71)   ( 0:22/00:01:05)
7 ２六歩(27)   ( 0:05/00:00:16)
8 ６四歩(63)   ( 0:22/00:01:27)
9 ５八金(49)   ( 0:06/00:00:22)
10 ６三銀(62)   ( 0:22/00:01:49)
11 ６八銀(79)   ( 0:05/00:00:27)
12 ５四銀(63)   ( 0:22/00:02:11)
13 ４八銀(39)   ( 0:05/00:00:32)
14 ６二飛(82)   ( 0:22/00:02:33)
15 ５六歩(57)   ( 0:12/00:00:44)
16 ６五歩(64)   ( 0:22/00:02:55)
17 ６五歩(66)   ( 0:04/00:00:48)
18 ８八角成(22)   ( 0:03/00:02:58)
19 ８八金(78)   ( 0:01/00:00:49)
20 ６五銀(54)   ( 0:02/00:03:00)
21 ５七銀(48)   ( 0:28/00:01:17)
22 ７六銀(65)   ( 0:02/00:03:02)
23 ７四歩打     ( 0:31/00:01:48)
24 ６七歩打     ( 0:21/00:03:23)
25 ７九銀(68)   ( 0:04/00:01:52)
26 ３九角打     ( 0:04/00:03:27)
27 ３八飛(28)   ( 0:10/00:02:02)
28 ５七角成(39)   ( 0:22/00:03:49)
29 ５七金(58)   ( 0:01/00:02:03)
30 ６八銀打     ( 0:03/00:03:52)
31 ６八銀(79)   ( 0:01/00:02:04)
32 ６八歩成(67)   ( 0:23/00:04:15)
33 ６八飛(38)   ( 0:02/00:02:06)
34 ６八飛成(62)   ( 0:04/00:04:19)
35 ６八玉(59)   ( 0:02/00:02:08)
36 ２八飛打     ( 0:03/00:04:22)
37 ５八角打     ( 0:02/00:02:10)
38 ６七歩打     ( 0:22/00:04:44)
39 ６七金(57)   ( 0:01/00:02:11)
40 ６七銀(76)   ( 0:04/00:04:48)
41 ６七玉(68)   ( 0:01/00:02:12)
42 ６六銀打     ( 0:02/00:04:50)
43 ６六玉(67)   ( 0:02/00:02:14)
44 ５八飛成(28)   ( 0:03/00:04:53)
45 ６五飛打     ( 0:32/00:02:46)
46 ６八龍(58)   ( 0:21/00:05:14)
47 ６七歩打     ( 0:04/00:02:50)
48 ３九角打     ( 0:03/00:05:17)
49 ７六玉(66)   ( 0:07/00:02:57)
50 ７四歩(73)   ( 0:03/00:05:20)
51 ８六銀打     ( 0:19/00:03:16)
52 ７三桂(81)   ( 0:22/00:05:42)
53 ４六角打     ( 0:53/00:04:09)
54 ７五歩(74)   ( 0:02/00:05:44)
55 ７五銀(86)   ( 0:07/00:04:16)
56 ８五金打     ( 0:02/00:05:46)
57 投了
