開始日時：2018/05/08 06:49:33
棋戦：R対局(早指2)
手合割：平手
先手：noridar(2135)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:05/00:00:07)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:01/00:00:08)
6 ８四歩(83)   ( 0:22/00:01:04)
7 ２四歩(25)   ( 0:02/00:00:10)
8 ２四歩(23)   ( 0:21/00:01:25)
9 ２四飛(28)   ( 0:02/00:00:12)
10 ３二金(41)   ( 0:02/00:01:27)
11 ７八金(69)   ( 0:05/00:00:17)
12 ２三歩打     ( 0:02/00:01:29)
13 ３四飛(24)   ( 0:04/00:00:21)
14 ８五歩(84)   ( 0:22/00:01:51)
15 ７七角(88)   ( 0:04/00:00:25)
16 ７七角成(22)   ( 0:23/00:02:14)
17 ７七金(78)   ( 0:01/00:00:26)
18 ２二銀(31)   ( 0:22/00:02:36)
19 ３八金(49)   ( 0:08/00:00:34)
20 ３三銀(22)   ( 0:22/00:02:58)
21 ３六飛(34)   ( 0:02/00:00:36)
22 ８四飛(82)   ( 0:03/00:03:01)
23 ２六飛(36)   ( 0:08/00:00:44)
24 ４四角打     ( 0:22/00:03:23)
25 ６六角打     ( 0:06/00:00:50)
26 ６六角(44)   ( 0:02/00:03:25)
27 ６六歩(67)   ( 0:02/00:00:52)
28 ６四歩(63)   ( 0:02/00:03:27)
29 ４八銀(39)   ( 0:26/00:01:18)
30 ７二銀(71)   ( 0:22/00:03:49)
31 ３六歩(37)   ( 0:14/00:01:32)
32 ６五歩(64)   ( 0:22/00:04:11)
33 ６五歩(66)   ( 0:16/00:01:48)
34 ７四歩(73)   ( 0:22/00:04:33)
35 ３七桂(29)   ( 0:17/00:02:05)
36 ７三桂(81)   ( 0:22/00:04:55)
37 ５六角打     ( 0:22/00:02:27)
38 ４四角打     ( 0:22/00:05:17)
39 ２九飛(26)   ( 0:02/00:02:29)
40 ７五歩(74)   ( 0:22/00:05:39)
41 ７五歩(76)   ( 0:03/00:02:32)
42 ５四飛(84)   ( 0:22/00:06:01)
43 ８八銀(79)   ( 1:23/00:03:55)
44 ５六飛(54)   ( 0:22/00:06:23)
45 ５六歩(57)   ( 0:01/00:03:56)
46 ６五桂(73)   ( 0:03/00:06:26)
47 ７八金(77)   ( 0:01/00:03:57)
48 ６六角打     ( 0:03/00:06:29)
49 ５八飛打     ( 0:03/00:04:00)
50 ８八角成(66)   ( 0:22/00:06:51)
51 ８八金(78)   ( 0:02/00:04:02)
52 ６七銀打     ( 0:03/00:06:54)
53 ５五角打     ( 0:03/00:04:05)
54 ５五角(44)   ( 0:21/00:07:15)
55 ５五歩(56)   ( 0:01/00:04:06)
56 ７六角打     ( 0:03/00:07:18)
57 ７八飛(58)   ( 0:06/00:04:12)
58 ７八銀成(67)   ( 0:23/00:07:41)
59 ７八金(88)   ( 0:02/00:04:14)
60 ５八飛打     ( 0:03/00:07:44)
61 ６九玉(59)   ( 0:01/00:04:15)
62 ７七歩打     ( 0:22/00:08:06)
63 ７七桂(89)   ( 0:04/00:04:19)
64 ７八飛成(58)   ( 0:12/00:08:18)
65 ７八玉(69)   ( 0:01/00:04:20)
66 ６七金打     ( 0:02/00:08:20)
67 ８九玉(78)   ( 0:13/00:04:33)
68 ８七角成(76)   ( 0:04/00:08:24)
69 ８八飛打     ( 0:14/00:04:47)
70 ７七桂(65)   ( 0:03/00:08:27)
71 ７九玉(89)   ( 0:04/00:04:51)
72 ７八歩打     ( 0:01/00:08:28)
73 投了
