開始日時：2018/05/08 07:08:04
棋戦：R対局(早指2)
手合割：平手
先手：shirokumapon(1461)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:04/00:00:04)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ４八銀(39)   ( 0:03/00:00:07)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ３九銀(48)   ( 0:02/00:00:09)
6 ８四歩(83)   ( 0:21/00:01:03)
7 ２六歩(27)   ( 0:02/00:00:11)
8 ８五歩(84)   ( 0:22/00:01:25)
9 ７八金(69)   ( 0:03/00:00:14)
10 ８六歩(85)   ( 0:22/00:01:47)
11 ８六歩(87)   ( 0:02/00:00:16)
12 ８六飛(82)   ( 0:03/00:01:50)
13 ６九玉(59)   ( 0:03/00:00:19)
14 ３二金(41)   ( 0:23/00:02:13)
15 ９六歩(97)   ( 0:03/00:00:22)
16 １四歩(13)   ( 0:02/00:02:15)
17 １六歩(17)   ( 0:03/00:00:25)
18 ７四歩(73)   ( 0:23/00:02:38)
19 ２五歩(26)   ( 0:05/00:00:30)
20 ７三桂(81)   ( 0:22/00:03:00)
21 ４八銀(39)   ( 0:13/00:00:43)
22 ７六飛(86)   ( 0:22/00:03:22)
23 ２四歩(25)   ( 0:23/00:01:06)
24 ２四歩(23)   ( 0:21/00:03:43)
25 ２四飛(28)   ( 0:03/00:01:09)
26 ７二銀(71)   ( 0:03/00:03:46)
27 ８七歩打     ( 0:03/00:01:12)
28 ８六歩打     ( 0:02/00:03:48)
29 ７七歩打     ( 0:05/00:01:17)
30 ８七歩成(86)   ( 0:04/00:03:52)
31 ８七金(78)   ( 0:03/00:01:20)
32 ７五飛(76)   ( 0:03/00:03:55)
33 ７八銀(79)   ( 0:11/00:01:31)
34 ３三桂(21)   ( 0:22/00:04:17)
35 １七桂(29)   ( 0:20/00:01:51)
36 １五歩(14)   ( 0:22/00:04:39)
37 ７六金(87)   ( 0:03/00:01:54)
38 ４五飛(75)   ( 0:22/00:05:01)
39 ４六歩(47)   ( 0:16/00:02:10)
40 ４六飛(45)   ( 0:22/00:05:23)
41 ２五桂(17)   ( 0:10/00:02:20)
42 ２三歩打     ( 0:02/00:05:25)
43 ３三桂成(25)   ( 0:03/00:02:23)
44 ３三角(22)   ( 0:03/00:05:28)
45 投了
