開始日時：2018/05/08 07:45:22
棋戦：R対局(早指2)
手合割：平手
先手：musashi7(1748)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:05/00:00:05)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ６八飛(28)   ( 0:05/00:00:10)
4 １四歩(13)   ( 0:22/00:00:43)
5 １六歩(17)   ( 0:03/00:00:13)
6 ７二金(61)   ( 0:22/00:01:05)
7 ４八玉(59)   ( 0:09/00:00:22)
8 ５四歩(53)   ( 0:23/00:01:28)
9 ３八銀(39)   ( 0:04/00:00:26)
10 ６二銀(71)   ( 0:21/00:01:49)
11 ３九玉(48)   ( 0:02/00:00:28)
12 ８四歩(83)   ( 0:22/00:02:11)
13 ９六歩(97)   ( 0:22/00:00:50)
14 ３四歩(33)   ( 0:21/00:02:32)
15 ６六歩(67)   ( 0:16/00:01:06)
16 ７四歩(73)   ( 0:21/00:02:53)
17 ５八金(69)   ( 0:11/00:01:17)
18 ５二金(41)   ( 0:21/00:03:14)
19 ７八銀(79)   ( 0:02/00:01:19)
20 ７三桂(81)   ( 0:02/00:03:16)
21 ６七銀(78)   ( 0:03/00:01:22)
22 ６四歩(63)   ( 0:03/00:03:19)
23 ５六銀(67)   ( 0:05/00:01:27)
24 ８五歩(84)   ( 0:03/00:03:22)
25 ７七角(88)   ( 0:06/00:01:33)
26 ４四歩(43)   ( 0:02/00:03:24)
27 ４六歩(47)   ( 0:03/00:01:36)
28 ６三銀(62)   ( 0:03/00:03:27)
29 ４五歩(46)   ( 0:16/00:01:52)
30 ５五歩(54)   ( 0:22/00:03:49)
31 ５五銀(56)   ( 0:13/00:02:05)
32 ４五歩(44)   ( 0:22/00:04:11)
33 ６五歩(66)   ( 0:02/00:02:07)
34 ６五桂(73)   ( 0:02/00:04:13)
35 ６六角(77)   ( 0:30/00:02:37)
36 ３二玉(42)   ( 0:22/00:04:35)
37 ９五歩(96)   ( 0:30/00:03:07)
38 ８六歩(85)   ( 0:22/00:04:57)
39 ９四歩(95)   ( 0:02/00:03:09)
40 ９四歩(93)   ( 0:22/00:05:19)
41 ９二歩打     ( 0:07/00:03:16)
42 ８七歩成(86)   ( 0:22/00:05:41)
43 ９一歩成(92)   ( 0:44/00:04:00)
44 ７八と(87)   ( 0:02/00:05:43)
45 ７八飛(68)   ( 0:10/00:04:10)
46 ８九飛成(82)   ( 0:03/00:05:46)
47 ８八飛(78)   ( 0:03/00:04:13)
48 ８八龍(89)   ( 0:02/00:05:48)
49 ８八角(66)   ( 0:02/00:04:15)
50 ８九飛打     ( 0:03/00:05:51)
51 ８一飛打     ( 0:17/00:04:32)
52 ８八飛成(89)   ( 0:04/00:05:55)
53 ８八飛成(81)   ( 0:06/00:04:38)
54 ５五角(22)   ( 0:02/00:05:57)
55 ８一龍(88)   ( 0:03/00:04:41)
56 ３六桂打     ( 0:03/00:06:00)
57 ３六歩(37)   ( 0:15/00:04:56)
58 ２八角打     ( 0:22/00:06:22)
59 ４八玉(39)   ( 0:05/00:05:01)
60 ５六歩打     ( 0:02/00:06:24)
61 ５六歩(57)   ( 1:03/00:06:04)
62 ５七銀打     ( 0:22/00:06:46)
63 ５九玉(48)   ( 0:27/00:06:31)
64 ７七角成(55)   ( 0:03/00:06:49)
65 ６八歩打     ( 0:13/00:06:44)
66 ５八銀成(57)   ( 0:03/00:06:52)
67 ５八金(49)   ( 0:12/00:06:56)
68 ５七歩打     ( 0:03/00:06:55)
69 投了
