開始日時：2018/05/08 08:01:53
棋戦：R対局(早指)
手合割：平手
先手：momozukin2(1967)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ３四歩(33)   ( 0:22/00:00:22)
3 ６六歩(67)   ( 0:19/00:00:20)
4 ６二銀(71)   ( 0:22/00:00:44)
5 ６八飛(28)   ( 0:14/00:00:34)
6 １四歩(13)   ( 0:22/00:01:06)
7 １六歩(17)   ( 0:02/00:00:36)
8 ４二玉(51)   ( 0:02/00:01:08)
9 ７八銀(79)   ( 0:16/00:00:52)
10 ９四歩(93)   ( 0:03/00:01:11)
11 ４八玉(59)   ( 0:15/00:01:07)
12 ５四歩(53)   ( 0:03/00:01:14)
13 ３八玉(48)   ( 0:02/00:01:09)
14 ５三銀(62)   ( 0:22/00:01:36)
15 ４八銀(39)   ( 0:20/00:01:29)
16 ３二玉(42)   ( 0:22/00:01:58)
17 ５八金(49)   ( 0:22/00:01:51)
18 ７四歩(73)   ( 0:22/00:02:20)
19 ６七金(58)   ( 0:23/00:02:14)
20 ５二金(61)   ( 0:22/00:02:42)
21 ５八金(69)   ( 0:11/00:02:25)
22 ７三桂(81)   ( 0:22/00:03:04)
23 ４六歩(47)   ( 0:30/00:02:55)
24 ８四歩(83)   ( 0:22/00:03:26)
25 ６九飛(68)   ( 0:29/00:03:24)
26 ８五歩(84)   ( 0:22/00:03:48)
27 ７七角(88)   ( 0:05/00:03:29)
28 ５五歩(54)   ( 0:02/00:03:50)
29 ４七銀(48)   ( 0:23/00:03:52)
30 ５四銀(53)   ( 0:22/00:04:12)
31 ３六歩(37)   ( 0:21/00:04:13)
32 ６四歩(63)   ( 0:02/00:04:14)
33 ３七桂(29)   ( 0:03/00:04:16)
34 ４二銀(31)   ( 0:02/00:04:16)
35 ２六歩(27)   ( 0:26/00:04:42)
36 ４四歩(43)   ( 0:22/00:04:38)
37 ９六歩(97)   ( 0:27/00:05:09)
38 ３一角(22)   ( 0:22/00:05:00)
39 ９五歩(96)   ( 0:29/00:05:38)
40 ９五歩(94)   ( 0:23/00:05:23)
41 ９五香(99)   ( 0:10/00:05:48)
42 ９四歩打     ( 0:22/00:05:45)
43 ７五歩(76)   ( 0:30/00:06:18)
44 ８四飛(82)   ( 0:21/00:06:06)
45 ７四歩(75)   ( 0:29/00:06:47)
46 ７四飛(84)   ( 0:22/00:06:28)
47 ７二歩打     ( 0:22/00:07:09)
48 ９五歩(94)   ( 0:22/00:06:50)
49 ７一歩成(72)   ( 0:18/00:07:27)
50 ９六歩(95)   ( 0:02/00:06:52)
51 ７二と(71)   ( 0:20/00:07:47)
52 ８六歩(85)   ( 0:03/00:06:55)
53 ８六歩(87)   ( 0:24/00:08:11)
54 ９七歩成(96)   ( 0:23/00:07:18)
55 ７三と(72)   ( 0:26/00:08:37)
56 ７三飛(74)   ( 0:22/00:07:40)
57 ４五歩(46)   ( 0:19/00:08:56)
58 ８八と(97)   ( 0:22/00:08:02)
59 投了
