開始日時：2018/05/08 08:38:24
棋戦：R対局(15分)
手合割：平手
先手：rasukarusuzuka(2248)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:04/00:00:07)
4 ６二銀(71)   ( 0:23/00:00:44)
5 ６八飛(28)   ( 0:03/00:00:10)
6 １四歩(13)   ( 0:22/00:01:06)
7 ４八玉(59)   ( 0:04/00:00:14)
8 １五歩(14)   ( 0:22/00:01:28)
9 ３八玉(48)   ( 0:03/00:00:17)
10 ４二玉(51)   ( 0:22/00:01:50)
11 ２八玉(38)   ( 0:40/00:00:57)
12 ５二金(61)   ( 0:22/00:02:12)
13 １八香(19)   ( 0:35/00:01:32)
14 ８四歩(83)   ( 0:22/00:02:34)
15 １九玉(28)   ( 0:07/00:01:39)
16 ３三角(22)   ( 0:03/00:02:37)
17 ２八銀(39)   ( 0:05/00:01:44)
18 ３二玉(42)   ( 0:03/00:02:40)
19 ７八銀(79)   ( 0:03/00:01:47)
20 ２二玉(32)   ( 0:22/00:03:02)
21 ６七銀(78)   ( 0:34/00:02:21)
22 ２四歩(23)   ( 0:22/00:03:24)
23 ３九金(49)   ( 0:05/00:02:26)
24 ３二銀(31)   ( 0:21/00:03:45)
25 ５八金(69)   ( 0:02/00:02:28)
26 ５四歩(53)   ( 0:22/00:04:07)
27 ４六歩(47)   ( 0:11/00:02:39)
28 ２三銀(32)   ( 0:22/00:04:29)
29 ３六歩(37)   ( 0:09/00:02:48)
30 ３二金(41)   ( 0:02/00:04:31)
31 ４七金(58)   ( 0:10/00:02:58)
32 ５三銀(62)   ( 0:02/00:04:33)
33 ３八飛(68)   ( 0:06/00:03:04)
34 ７四歩(73)   ( 0:02/00:04:35)
35 ３五歩(36)   ( 0:03/00:03:07)
36 ３五歩(34)   ( 0:03/00:04:38)
37 ３五飛(38)   ( 0:02/00:03:09)
38 ３四歩打     ( 0:02/00:04:40)
39 ３八飛(35)   ( 0:03/00:03:12)
40 ４四歩(43)   ( 0:03/00:04:43)
41 ５六歩(57)   ( 0:19/00:03:31)
42 ４三金(52)   ( 0:22/00:05:05)
43 ６五歩(66)   ( 0:22/00:03:53)
44 ８五歩(84)   ( 0:22/00:05:27)
45 ７七角(88)   ( 0:02/00:03:55)
46 ８六歩(85)   ( 0:03/00:05:30)
47 ８六歩(87)   ( 0:02/00:03:57)
48 ７三桂(81)   ( 0:03/00:05:33)
49 ６六銀(67)   ( 0:03/00:04:00)
50 ７五歩(74)   ( 0:23/00:05:56)
51 ７五歩(76)   ( 0:04/00:04:04)
52 ８四飛(82)   ( 0:03/00:05:59)
53 ５五歩(56)   ( 4:23/00:08:27)
54 ５五歩(54)   ( 0:21/00:06:20)
55 ５二歩打     ( 0:31/00:08:58)
56 ７六歩打     ( 0:23/00:06:43)
57 ５九角(77)   ( 0:06/00:09:04)
58 ５四銀(53)   ( 0:02/00:06:45)
59 ７八飛(38)   ( 0:48/00:09:52)
60 ６五銀(54)   ( 0:23/00:07:08)
61 ６五銀(66)   ( 0:29/00:10:21)
62 ６五桂(73)   ( 0:22/00:07:30)
63 ５一歩成(52)   ( 0:32/00:10:53)
64 ５六歩(55)   ( 0:22/00:07:52)
65 ５二銀打     ( 0:28/00:11:21)
66 ５七歩成(56)   ( 0:22/00:08:14)
67 ３六金(47)   ( 0:46/00:12:07)
68 ４二金(43)   ( 0:23/00:08:37)
69 ４五歩(46)   ( 0:39/00:12:46)
70 ５八歩打     ( 0:23/00:09:00)
71 ３七角(59)   ( 0:51/00:13:37)
72 ８六飛(84)   ( 0:23/00:09:23)
73 ８八歩打     ( 0:04/00:13:41)
74 ７七歩成(76)   ( 0:23/00:09:46)
75 ７七桂(89)   ( 0:03/00:13:44)
76 ３六飛(86)   ( 0:23/00:10:09)
77 ６五桂(77)   ( 0:03/00:13:47)
78 ４七金打     ( 0:22/00:10:31)
79 ３八歩打     ( 0:07/00:13:54)
80 ３七飛成(36)   ( 0:23/00:10:54)
81 ３七銀(28)   ( 0:13/00:14:07)
82 ４八銀打     ( 0:22/00:11:16)
83 投了
