開始日時：2018/05/08 09:10:36
棋戦：R対局(早指2)
手合割：平手
先手：mohikantarou(1753)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:03/00:00:03)
2 ３二金(41)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:03/00:00:06)
4 ３四歩(33)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:02/00:00:08)
6 ８四歩(83)   ( 0:03/00:00:27)
7 ７八金(69)   ( 0:09/00:00:17)
8 ８五歩(84)   ( 0:22/00:00:49)
9 ２四歩(25)   ( 0:02/00:00:19)
10 ２四歩(23)   ( 0:03/00:00:52)
11 ２四飛(28)   ( 0:02/00:00:21)
12 ８六歩(85)   ( 0:03/00:00:55)
13 ８六歩(87)   ( 0:01/00:00:22)
14 ８六飛(82)   ( 0:03/00:00:58)
15 ３四飛(24)   ( 0:02/00:00:24)
16 ４二玉(51)   ( 0:22/00:01:20)
17 ３六飛(34)   ( 0:08/00:00:32)
18 ８四飛(86)   ( 0:22/00:01:42)
19 ２六飛(36)   ( 0:10/00:00:42)
20 ８八角成(22)   ( 0:03/00:01:45)
21 ８八銀(79)   ( 0:03/00:00:45)
22 ４四角打     ( 0:03/00:01:48)
23 ２八飛(26)   ( 0:07/00:00:52)
24 ２七歩打     ( 0:02/00:01:50)
25 ５八飛(28)   ( 0:08/00:01:00)
26 ７四歩(73)   ( 0:03/00:01:53)
27 ８七歩打     ( 0:05/00:01:05)
28 ７二銀(71)   ( 0:23/00:02:16)
29 ３八金(49)   ( 0:13/00:01:18)
30 ７五歩(74)   ( 0:22/00:02:38)
31 ７五歩(76)   ( 0:04/00:01:22)
32 ３三桂(21)   ( 0:22/00:03:00)
33 ２七金(38)   ( 0:08/00:01:30)
34 ７三桂(81)   ( 0:22/00:03:22)
35 ２八金(27)   ( 0:05/00:01:35)
36 ６五桂(73)   ( 0:23/00:03:45)
37 ６六角打     ( 0:16/00:01:51)
38 ５四飛(84)   ( 0:22/00:04:07)
39 ４八銀(39)   ( 0:07/00:01:58)
40 ６六角(44)   ( 0:22/00:04:29)
41 ６六歩(67)   ( 0:04/00:02:02)
42 ２七歩打     ( 0:03/00:04:32)
43 ３八金(28)   ( 0:10/00:02:12)
44 ２八角打     ( 0:03/00:04:35)
45 ６五歩(66)   ( 0:23/00:02:35)
46 １九角成(28)   ( 0:23/00:04:58)
47 ２七金(38)   ( 0:04/00:02:39)
48 ２九馬(19)   ( 0:22/00:05:20)
49 ７七銀(88)   ( 0:03/00:02:42)
50 ３五桂打     ( 0:22/00:05:42)
51 ３六金(27)   ( 0:04/00:02:46)
52 ４七桂成(35)   ( 0:23/00:06:05)
53 ４七銀(48)   ( 0:04/00:02:50)
54 ４七馬(29)   ( 0:02/00:06:07)
55 ４六桂打     ( 0:14/00:03:04)
56 ５七飛成(54)   ( 0:22/00:06:29)
57 ３四桂(46)   ( 0:08/00:03:12)
58 ５一玉(42)   ( 0:22/00:06:51)
59 ５七飛(58)   ( 0:06/00:03:18)
60 ４八銀打     ( 0:02/00:06:53)
61 ６九玉(59)   ( 0:02/00:03:20)
62 ６九馬(47)   ( 0:02/00:06:55)
63 投了
