開始日時：2018/05/08 09:22:47
棋戦：R対局(早指2)
手合割：平手
先手：kansouario(2526)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:16/00:00:18)
4 ６四歩(63)   ( 0:22/00:00:43)
5 ６八飛(28)   ( 0:02/00:00:20)
6 ７二銀(71)   ( 0:21/00:01:04)
7 ４八玉(59)   ( 0:02/00:00:22)
8 ６三銀(72)   ( 0:22/00:01:26)
9 ７八銀(79)   ( 0:02/00:00:24)
10 １四歩(13)   ( 0:22/00:01:48)
11 ６七銀(78)   ( 0:08/00:00:32)
12 １五歩(14)   ( 0:22/00:02:10)
13 ３八玉(48)   ( 0:01/00:00:33)
14 ３四歩(33)   ( 0:22/00:02:32)
15 ２八玉(38)   ( 0:01/00:00:34)
16 ５四銀(63)   ( 0:22/00:02:54)
17 ５八金(69)   ( 0:03/00:00:37)
18 ８四歩(83)   ( 0:21/00:03:15)
19 ３八金(49)   ( 0:17/00:00:54)
20 ５二金(61)   ( 0:22/00:03:37)
21 １八香(19)   ( 0:02/00:00:56)
22 ３二玉(42)   ( 0:21/00:03:58)
23 １九玉(28)   ( 0:01/00:00:57)
24 ３三角(22)   ( 0:22/00:04:20)
25 ２八銀(39)   ( 0:02/00:00:59)
26 １二香(11)   ( 0:21/00:04:41)
27 ５六銀(67)   ( 0:05/00:01:04)
28 ８五歩(84)   ( 0:22/00:05:03)
29 ７七角(88)   ( 0:02/00:01:06)
30 ２二玉(32)   ( 0:03/00:05:06)
31 ４八金(58)   ( 0:14/00:01:20)
32 １一玉(22)   ( 0:22/00:05:28)
33 ６五歩(66)   ( 0:01/00:01:21)
34 ７七角成(33)   ( 0:03/00:05:31)
35 ７七桂(89)   ( 0:01/00:01:22)
36 ４四角打     ( 0:03/00:05:34)
37 ６七飛(68)   ( 0:01/00:01:23)
38 ８六歩(85)   ( 0:02/00:05:36)
39 ８六歩(87)   ( 0:08/00:01:31)
40 ８六飛(82)   ( 0:03/00:05:39)
41 ６四歩(65)   ( 0:20/00:01:51)
42 ６二歩打     ( 0:03/00:05:42)
43 ４六歩(47)   ( 0:27/00:02:18)
44 ９四歩(93)   ( 0:23/00:06:05)
45 ４五銀(56)   ( 0:11/00:02:29)
46 ４五銀(54)   ( 0:02/00:06:07)
47 ４五歩(46)   ( 0:01/00:02:30)
48 ２二角(44)   ( 0:03/00:06:10)
49 ５六歩(57)   ( 0:02/00:02:32)
50 ８九飛成(86)   ( 0:23/00:06:33)
51 ４四歩(45)   ( 0:29/00:03:01)
52 ９九龍(89)   ( 0:22/00:06:55)
53 ６三歩成(64)   ( 0:23/00:03:24)
54 ６三歩(62)   ( 0:22/00:07:17)
55 ４七飛(67)   ( 0:13/00:03:37)
56 ４四歩(43)   ( 0:22/00:07:39)
57 ７二角打     ( 0:04/00:03:41)
58 ４五歩(44)   ( 0:23/00:08:02)
59 投了
