開始日時：2018/05/08 09:39:41
棋戦：R対局(早指)
手合割：平手
先手：atugorow(1302)
後手：Hefeweizen(2854)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ７五歩(76)   ( 0:02/00:00:04)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ７八飛(28)   ( 0:03/00:00:07)
6 １四歩(13)   ( 0:22/00:01:05)
7 １六歩(17)   ( 0:01/00:00:08)
8 ３四歩(33)   ( 0:22/00:01:27)
9 ３八金(49)   ( 0:02/00:00:10)
10 ８五歩(84)   ( 0:22/00:01:49)
11 ７四歩(75)   ( 0:02/00:00:12)
12 ７四歩(73)   ( 0:22/00:02:11)
13 ７四飛(78)   ( 0:16/00:00:28)
14 ８八角成(22)   ( 0:03/00:02:14)
15 ８八銀(79)   ( 0:03/00:00:31)
16 ５五角打     ( 0:03/00:02:17)
17 ７八金(69)   ( 0:04/00:00:35)
18 ７二飛(82)   ( 0:21/00:02:38)
19 ７二飛成(74)   ( 0:07/00:00:42)
20 ７二銀(71)   ( 0:03/00:02:41)
21 ７七歩打     ( 0:12/00:00:54)
22 ２二銀(31)   ( 0:22/00:03:03)
23 ２八銀(39)   ( 0:28/00:01:22)
24 ３三桂(21)   ( 0:22/00:03:25)
25 ５八玉(59)   ( 0:13/00:01:35)
26 ７三桂(81)   ( 0:22/00:03:47)
27 ５六角打     ( 0:11/00:01:46)
28 ６四歩(63)   ( 0:03/00:03:50)
29 ３四角(56)   ( 0:21/00:02:07)
30 ６五桂(73)   ( 0:22/00:04:12)
31 ５六歩(57)   ( 0:28/00:02:35)
32 ４四角(55)   ( 0:22/00:04:34)
33 ３九金(38)   ( 0:21/00:02:56)
34 ２四飛打     ( 0:22/00:04:56)
35 投了
