開始日時：2018/05/08 10:16:14
棋戦：R対局(早指2)
手合割：平手
先手：mutekidazou(2019)
後手：Hefeweizen(2854)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:05/00:00:05)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:04/00:00:09)
4 ３四歩(33)   ( 0:02/00:00:23)
5 ２五歩(26)   ( 0:05/00:00:14)
6 ８五歩(84)   ( 0:02/00:00:25)
7 ７八金(69)   ( 0:02/00:00:16)
8 ３二金(41)   ( 0:21/00:00:46)
9 ２四歩(25)   ( 0:05/00:00:21)
10 ２四歩(23)   ( 0:03/00:00:49)
11 ２四飛(28)   ( 0:03/00:00:24)
12 ８六歩(85)   ( 0:02/00:00:51)
13 ８六歩(87)   ( 0:03/00:00:27)
14 ８六飛(82)   ( 0:03/00:00:54)
15 ３四飛(24)   ( 0:02/00:00:29)
16 ３三角(22)   ( 0:22/00:01:16)
17 ６八玉(59)   ( 0:23/00:00:52)
18 ２二銀(31)   ( 0:22/00:01:38)
19 ３六歩(37)   ( 0:13/00:01:05)
20 ８二飛(86)   ( 0:03/00:01:41)
21 ８七歩打     ( 0:28/00:01:33)
22 ８八角成(33)   ( 0:22/00:02:03)
23 ８八銀(79)   ( 0:22/00:01:55)
24 ３三銀(22)   ( 0:03/00:02:06)
25 ３五飛(34)   ( 0:22/00:02:17)
26 ２四銀(33)   ( 0:02/00:02:08)
27 ３二飛成(35)   ( 1:28/00:03:45)
28 ３二飛(82)   ( 0:03/00:02:11)
29 ２三金打     ( 0:24/00:04:09)
30 ３六飛(32)   ( 0:22/00:02:33)
31 ２四金(23)   ( 0:13/00:04:22)
32 ２八歩打     ( 0:23/00:02:56)
33 ４八銀(39)   ( 0:27/00:04:49)
34 ２九歩成(28)   ( 0:22/00:03:18)
35 ４五角打     ( 0:31/00:05:20)
36 ２六飛(36)   ( 0:22/00:03:40)
37 ３四金(24)   ( 0:27/00:05:47)
38 ６二玉(51)   ( 0:03/00:03:43)
39 ４三金(34)   ( 0:26/00:06:13)
40 ２八飛成(26)   ( 0:23/00:04:06)
41 ６四銀打     ( 0:29/00:06:42)
42 ６四歩(63)   ( 0:22/00:04:28)
43 ８一角成(45)   ( 0:18/00:07:00)
44 ７二銀(71)   ( 0:03/00:04:31)
45 ９一馬(81)   ( 0:23/00:07:23)
46 投了
