開始日時：2018/05/08 10:34:16
棋戦：R対局(15分)
手合割：平手
先手：_METALLICA_(1081)
後手：Hefeweizen(2854)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:01/00:00:03)
4 ４二玉(51)   ( 0:22/00:00:43)
5 ４八銀(39)   ( 0:04/00:00:07)
6 ６四歩(63)   ( 0:22/00:01:05)
7 ７八金(69)   ( 0:02/00:00:09)
8 ７四歩(73)   ( 0:22/00:01:27)
9 ５六歩(57)   ( 0:03/00:00:12)
10 ７二飛(82)   ( 0:22/00:01:49)
11 ５七銀(48)   ( 0:09/00:00:21)
12 ７五歩(74)   ( 0:23/00:02:12)
13 ７五歩(76)   ( 0:02/00:00:23)
14 ６二銀(71)   ( 0:03/00:02:15)
15 ５八金(49)   ( 0:03/00:00:26)
16 ５二金(61)   ( 0:22/00:02:37)
17 ２六歩(27)   ( 0:02/00:00:28)
18 ７三銀(62)   ( 0:02/00:02:39)
19 ２五歩(26)   ( 0:09/00:00:37)
20 ３二銀(31)   ( 0:03/00:02:42)
21 ２四歩(25)   ( 0:22/00:00:59)
22 ２四歩(23)   ( 0:03/00:02:45)
23 ２四飛(28)   ( 0:01/00:01:00)
24 ２三歩打     ( 0:03/00:02:48)
25 ２八飛(24)   ( 0:17/00:01:17)
26 ３一玉(42)   ( 0:03/00:02:51)
27 ６九玉(59)   ( 0:02/00:01:19)
28 ８四銀(73)   ( 0:22/00:03:13)
29 ７四歩(75)   ( 0:14/00:01:33)
30 ７四飛(72)   ( 0:21/00:03:34)
31 ９六歩(97)   ( 0:04/00:01:37)
32 ７三桂(81)   ( 0:23/00:03:57)
33 ３六歩(37)   ( 2:50/00:04:27)
34 ６五歩(64)   ( 0:22/00:04:19)
35 ６五歩(66)   ( 1:59/00:06:26)
36 ８八角成(22)   ( 0:23/00:04:42)
37 ８八銀(79)   ( 0:02/00:06:28)
38 ３九角打     ( 0:02/00:04:44)
39 ３八飛(28)   ( 0:19/00:06:47)
40 ５七角成(39)   ( 0:23/00:05:07)
41 ５七金(58)   ( 0:02/00:06:49)
42 ６五桂(73)   ( 0:03/00:05:10)
43 ６七金(57)   ( 0:35/00:07:24)
44 ６六歩打     ( 0:03/00:05:13)
45 ６八金(67)   ( 0:15/00:07:39)
46 ６七銀打     ( 0:23/00:05:36)
47 ７七歩打     ( 0:27/00:08:06)
48 ４四飛(74)   ( 0:23/00:05:59)
49 ４六歩(47)   ( 6:15/00:14:21)
50 ４六飛(44)   ( 0:22/00:06:21)
51 ４八歩打     ( 0:39/00:15:00)
52 ７八銀(67)   ( 0:03/00:06:24)
53 ７八玉(69)   ( 0:09/00:15:09)
54 ５六飛(46)   ( 0:02/00:06:26)
55 ５八歩打     ( 0:15/00:15:24)
56 ６七金打     ( 0:07/00:06:33)
57 ７九玉(78)   ( 0:39/00:16:03)
58 ６八金(67)   ( 0:01/00:06:34)
59 ６八玉(79)   ( 0:01/00:16:04)
60 ６七金打     ( 0:01/00:06:35)
61 ７九玉(68)   ( 0:01/00:16:05)
62 ７八歩打     ( 0:01/00:06:36)
63 投了
