開始日時：2018/05/08 10:59:08
棋戦：R対局(早指2)
手合割：平手
先手：SShina7(2691)
後手：Hefeweizen(2854)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:27/00:00:27)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:26/00:00:53)
4 ３四歩(33)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:05/00:00:58)
6 ７二銀(71)   ( 0:02/00:00:44)
7 ２四歩(25)   ( 0:21/00:01:19)
8 ２四歩(23)   ( 0:22/00:01:06)
9 ２四飛(28)   ( 0:02/00:01:21)
10 ３二金(41)   ( 0:21/00:01:27)
11 ７八金(69)   ( 0:29/00:01:50)
12 ８四歩(83)   ( 0:03/00:01:30)
13 ５八玉(59)   ( 0:23/00:02:13)
14 ８五歩(84)   ( 0:22/00:01:52)
15 ３四飛(24)   ( 0:05/00:02:18)
16 ８六歩(85)   ( 0:23/00:02:15)
17 ８六歩(87)   ( 0:03/00:02:21)
18 ８六飛(82)   ( 0:03/00:02:18)
19 ３六飛(34)   ( 0:25/00:02:46)
20 ８二飛(86)   ( 0:03/00:02:21)
21 ８七歩打     ( 0:07/00:02:53)
22 ２五歩打     ( 0:02/00:02:23)
23 ３八金(49)   ( 0:18/00:03:11)
24 ８八角成(22)   ( 0:22/00:02:45)
25 ８八銀(79)   ( 0:02/00:03:13)
26 ２二銀(31)   ( 0:03/00:02:48)
27 ４八銀(39)   ( 0:07/00:03:20)
28 １四歩(13)   ( 0:03/00:02:51)
29 ２六歩打     ( 0:05/00:03:25)
30 ３三銀(22)   ( 0:03/00:02:54)
31 ２五歩(26)   ( 0:10/00:03:35)
32 ２三歩打     ( 0:02/00:02:56)
33 ２六飛(36)   ( 0:06/00:03:41)
34 ７四歩(73)   ( 0:23/00:03:19)
35 ７七銀(88)   ( 0:12/00:03:53)
36 ７三銀(72)   ( 0:22/00:03:41)
37 ３六歩(37)   ( 0:13/00:04:06)
38 ６四銀(73)   ( 0:03/00:03:44)
39 ３七桂(29)   ( 0:17/00:04:23)
40 ５四角打     ( 0:21/00:04:05)
41 ４六歩(47)   ( 0:31/00:04:54)
42 ４四歩(43)   ( 0:03/00:04:08)
43 ４七銀(48)   ( 0:23/00:05:17)
44 ７五歩(74)   ( 0:22/00:04:30)
45 ２九飛(26)   ( 0:21/00:05:38)
46 ７六歩(75)   ( 0:22/00:04:52)
47 ６六銀(77)   ( 0:04/00:05:42)
48 １五歩(14)   ( 0:02/00:04:54)
49 ４八玉(58)   ( 0:30/00:06:12)
50 ５二金(61)   ( 0:03/00:04:57)
51 ７二歩打     ( 0:28/00:06:40)
52 ７七歩成(76)   ( 0:22/00:05:19)
53 ７七金(78)   ( 0:19/00:06:59)
54 ７二飛(82)   ( 0:22/00:05:41)
55 ８三角打     ( 0:10/00:07:09)
56 ７三飛(72)   ( 0:02/00:05:43)
57 ６一角成(83)   ( 0:15/00:07:24)
58 ３五歩打     ( 0:22/00:06:05)
59 ３五歩(36)   ( 0:25/00:07:49)
60 ８八歩打     ( 0:02/00:06:07)
61 ７四歩打     ( 0:29/00:08:18)
62 ７四飛(73)   ( 0:03/00:06:10)
63 ８三馬(61)   ( 0:02/00:08:20)
64 ７一飛(74)   ( 0:03/00:06:13)
65 ８二馬(83)   ( 0:02/00:08:22)
66 ４一飛(71)   ( 0:02/00:06:15)
67 ９一馬(82)   ( 0:01/00:08:23)
68 ３六歩打     ( 0:03/00:06:18)
69 ９二馬(91)   ( 0:22/00:08:45)
70 ８九歩成(88)   ( 0:03/00:06:21)
71 ８九飛(29)   ( 0:04/00:08:49)
72 ３七歩成(36)   ( 0:03/00:06:24)
73 ３七金(38)   ( 0:04/00:08:53)
74 １三桂(21)   ( 0:02/00:06:26)
75 ２九飛(89)   ( 0:06/00:08:59)
76 ２四歩(23)   ( 0:03/00:06:29)
77 ２四歩(25)   ( 0:14/00:09:13)
78 ２五桂打     ( 0:02/00:06:31)
79 ３六金(37)   ( 0:07/00:09:20)
80 ２四銀(33)   ( 0:02/00:06:33)
81 ４五歩(46)   ( 0:16/00:09:36)
82 ２六歩打     ( 0:03/00:06:36)
83 ２六飛(29)   ( 0:13/00:09:49)
84 ７三桂(81)   ( 0:21/00:06:57)
85 ４四歩(45)   ( 0:17/00:10:06)
86 ６五桂(73)   ( 0:22/00:07:19)
87 ７八金(77)   ( 0:04/00:10:10)
88 ７一飛(41)   ( 0:04/00:07:23)
89 ７七歩打     ( 0:12/00:10:22)
90 ５五桂打     ( 0:03/00:07:26)
91 ４五香打     ( 0:16/00:10:38)
92 ４七桂成(55)   ( 0:22/00:07:48)
93 ４七玉(48)   ( 0:02/00:10:40)
94 ３七桂成(25)   ( 0:03/00:07:51)
95 ３七玉(47)   ( 0:09/00:10:49)
96 ２五銀打     ( 0:02/00:07:53)
97 ２五金(36)   ( 0:13/00:11:02)
98 ２五桂(13)   ( 0:22/00:08:15)
99 ４六玉(37)   ( 0:16/00:11:18)
100 ３五銀(24)   ( 0:22/00:08:37)
101 ３五玉(46)   ( 0:02/00:11:20)
102 ３四歩打     ( 0:03/00:08:40)
103 ３四玉(35)   ( 0:02/00:11:22)
104 ３三金(32)   ( 0:22/00:09:02)
105 ３五玉(34)   ( 0:02/00:11:24)
106 ３四金(33)   ( 0:03/00:09:05)
107 投了
