開始日時：2018/05/08 11:28:10
棋戦：R対局(早指2)
手合割：平手
先手：math.k(451)
後手：Hefeweizen(2863)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:06/00:00:06)
2 ３二金(41)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:08/00:00:14)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ７七角(88)   ( 0:03/00:00:17)
6 ３四歩(33)   ( 0:02/00:00:44)
7 ７八銀(79)   ( 0:08/00:00:25)
8 ４二銀(31)   ( 0:03/00:00:47)
9 ２二角成(77)   ( 0:10/00:00:35)
10 ２二金(32)   ( 0:22/00:01:09)
11 ７七銀(78)   ( 0:10/00:00:45)
12 ３三銀(42)   ( 0:02/00:01:11)
13 ８八飛(28)   ( 0:36/00:01:21)
14 １四歩(13)   ( 0:21/00:01:32)
15 １六歩(17)   ( 0:33/00:01:54)
16 ３二金(22)   ( 0:23/00:01:55)
17 ２八銀(39)   ( 0:10/00:02:04)
18 ６二銀(71)   ( 0:03/00:01:58)
19 ４八玉(59)   ( 0:08/00:02:12)
20 ６四歩(63)   ( 0:03/00:02:01)
21 ６六銀(77)   ( 0:17/00:02:29)
22 ６三銀(62)   ( 0:03/00:02:04)
23 ３八玉(48)   ( 0:04/00:02:33)
24 ７四歩(73)   ( 0:03/00:02:07)
25 ２七銀(28)   ( 0:37/00:03:10)
26 ７二金(61)   ( 0:03/00:02:10)
27 ３六歩(37)   ( 0:10/00:03:20)
28 ５二玉(51)   ( 0:21/00:02:31)
29 ３七桂(29)   ( 0:05/00:03:25)
30 ７三桂(81)   ( 0:22/00:02:53)
31 ７七桂(89)   ( 0:33/00:03:58)
32 ３五歩(34)   ( 0:21/00:03:14)
33 ４五桂(37)   ( 0:39/00:04:37)
34 ４四銀(33)   ( 0:22/00:03:36)
35 ４六歩(47)   ( 0:04/00:04:41)
36 ６五歩(64)   ( 0:03/00:03:39)
37 ６五銀(66)   ( 0:25/00:05:06)
38 ５五角打     ( 0:22/00:04:01)
39 ６六角打     ( 0:13/00:05:19)
40 ４六角(55)   ( 0:21/00:04:22)
41 ２九玉(38)   ( 0:19/00:05:38)
42 ４五銀(44)   ( 0:22/00:04:44)
43 ４八飛(88)   ( 0:12/00:05:50)
44 ６五桂(73)   ( 0:22/00:05:06)
45 ４六飛(48)   ( 0:25/00:06:15)
46 ４六銀(45)   ( 0:22/00:05:28)
47 ６五桂(77)   ( 0:10/00:06:25)
48 ３七桂打     ( 0:22/00:05:50)
49 投了
